Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
Asian Development Bank,Australia,,2009,2009,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,2009,2006,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,,,,,0.00,0.21,,,0.21,DVA,,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,,,01/19/2009,12/20/1972,,09/30/1993,,Sovereign,,,,,
Australia,Australia,,2009,2009,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,,,,,0.00,1.87,,,1.87,DVA,,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,,,05/20/2009,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",,2012,2012,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,3701,Road Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,"Australia,Australia",Australia,2012,2012,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0.00,0.74,,,0.74,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,Yes,,11/27/2012,,,,,Sovereign,,,,"$743,331.01 actual amount",
0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2008,2008,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,2008,2008,0049,0049/0050,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,,,,,0.00,0.47,,,0.47,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,Yes,,04/30/2008,12/20/1972,,09/30/1993,,Sovereign,,,,,
0.00,27.00,0.00,27.00,14.50,0.00,0.00,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Korea,OFID",OFID,2007,2007,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0.00,0.00,27.00,,27.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
Australia,Australia,,2007,2007,0082,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0.00,14.50,,,14.50,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,
0.00,0.00,0.00,0.00,4.30,0.00,0.00,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand","Australia,New Zealand",2012,2012,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.00,,,,,,,,,,,3700,Transport,3702,Water Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
Australia,Australia,,2012,2012,0292,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.00,4.30,,,4.30,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,A$4 million,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0.00,23.00,0.00,23.00,5.30,0.00,0.00,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,GDCF",GDCF,2009,2009,,0143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,0.00,0.00,23.00,,23.00,,,,,,,,,,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,"no project number, AUS requested to remove this from the PB",
Australia,Australia,,2009,2009,0143,0143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0.00,5.30,,,5.30,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/02/2009,,,,,Sovereign,,,,Grant cancelled by AusAID in 24 August 2009,
1.30,0.00,0.00,1.30,0.78,0.00,0.00,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,1973,1973,,0146,41657,,,TON,Telecommunications,PARD,PARD,11/08/1973,0.00,1.30,0.00,,1.30,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1973,1973,,0146,41657,,,TON,Telecommunications,PARD,PARD,11/08/1973,,,,,0.00,0.78,,,0.78,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/08/1973,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,4.50,0.00,0.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS-PRIF,Australia,,2009,2009,0177,0175/0176/0177/0207/0210,43381,,,,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0.00,4.50,,,4.50,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/12/2009,03/10/2010,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,4.04,0.00,0.00,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS-PRIF,Australia,,2011,2011,0177,0175/0176/0177/0207/0210,43381,,,,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0.00,4.04,,,4.04,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,06/08/2011,03/10/2010,,,,Sovereign,,,,AUS-PRIF,
0.00,0.00,0.00,0.00,2.14,0.00,0.00,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Australia,,2012,2012,0210,0175/0176/0177/0207/0210,43381,,,,Second Road Improvement (Sector) (3rd Supplementary),PARD,,03/15/2012,,,,,0.00,2.14,,,2.14,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,Yes,,03/15/2012,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Australia,,2010,2010,0210,0175/0176/0177/0207/0210,43381,,,,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,,,,,0.00,0.28,,,0.28,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2010,,,,,Sovereign,,,," A$300,000; THIS SUPPL GRANT IS FUNDED JOINTLY BY AUS AND NZ WITH DIFFERENT APPROVAL NUMBERS = NZL GRANT 0207 FOR $358,012 ",
0.00,15.00,0.00,15.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC",EC,2009,2009,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,0.00,0.00,15.00,,15.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2010. para on transport sector, pp 14. DR 2012. box in PARD section, pp 16."
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2011,2011,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,3701,Road Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,Related to Grant 0175-0177 in 2009,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2012,2012,0210,0175/0176/0177/0207/0210,43381-054,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0.00,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,EC",EC,2010,2010,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
0.00,12.00,0.00,12.00,30.00,0.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand",,2010,2010,,0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,0.00,0.00,12.00,,12.00,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,"is ADF grant, not an ADF loan based on COSO doc;  WITH PIGGYBACKED CDTA 7715, $800,000 BY JFPR; no project number ",
Australia,Australia,,2010,2010,0243 (CG1),0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.00,30.00,,,30.00,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,
0.00,6.06,0.00,6.06,6.44,0.00,0.00,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2011,2011,,0264/0265,42394,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,6.06,,6.06,,,,,,,,,,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,"formerly known as Integrated Urban Development Sector Project, Phase II",
Australia,Australia,,2011,2011,0265,0264/0265,4239402,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,,,0.00,6.44,,,6.44,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2011,04/10/2012,,,,Sovereign,,,,,
0.00,65.00,0.00,65.00,15.60,0.00,0.00,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Denmark,Finland,Norway,U.K.,EC,FTI,World Bank,UNICEF","EC,FTI,World Bank,UNICEF",2011,2011,,0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,65.00,,65.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,,,,Supplementary financing Grant 0289 was approved in 2012,DR 2011. para on grant cof and new proj pp 15.
Australia,Australia,,2011,2011,0272 (CG),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,15.60,,,15.60,DVA,,Collaborative,Bilateral,Grant,,3100,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,3.47,0.00,0.00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2012,2012,0289,0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,,,,,
Australia,Australia,,2012,2012,0289,0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0.00,3.47,,,3.47,DVA,PS,Full Administration,Bilateral,Grant,,3100,Education,,,11/03/2011,,,Yes,,03/28/2012,,,,,Sovereign,,,,$3.465,
3.57,0.00,0.00,3.57,0.00,1.54,0.00,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,U.K.",,1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,0.00,3.57,0.00,,3.57,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,,,,,0.00,,1.54,,1.54,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/21/1976,,,,,Sovereign,,,,,
4.90,0.00,0.00,4.90,0.46,0.00,0.00,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,OFID",OFID,1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0.00,4.90,0.00,,4.90,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,no project number,
Australia,Australia,,1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,,,,,0.00,0.46,,,0.46,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/20/1977,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,6.11,0.00,0.00,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2013,2013,0336,0336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0.00,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,2013,2013,0336,0336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0.00,6.11,,,6.11,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,01/15/2013,,,,,Sovereign,,,,"from AusAID; $4.11 million is denominated in US$, A$2 million assumes exchange rate of A$1 = US$1",
0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2015,2015,0336,0336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0.00,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,"Australia,Australia",Australia,2015,2015,0336,0336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0.00,0.36,,,0.36,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,Yes,,08/07/2015,,,,,Sovereign,,,,"$363,645 actual grant mount",
0.00,2.00,0.00,2.00,4.50,0.00,0.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2013,2013,0348,0347/0348/0444/0445/0446,43452-022,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,2.00,,2.00,,,,,,,,,,,3200,Energy,3203,Renewable Energy,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,2013,2013,0348,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,,,0.00,4.50,,,4.50,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,3211,Electricity Transmission and Distribution,,,,No,,06/27/2013,,,,,Sovereign,,,,,
0.00,0.00,0.00,45.40,0.00,4.50,0.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Japan,Kuwait",,1978,1978,,0372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,45.40,0.00,0.00,,45.40,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1978,1978,,0372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,,,,,0.00,,4.50,,4.50,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/05/1978,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,4.74,0.00,0.00,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2015,2015,0443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0.00,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,
Australia,Australia,,2015,2015,0443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0.00,4.74,,,4.74,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,,,,,Yes,,10/16/2015,,,,,Sovereign,,,,,
0.00,5.00,0.00,5.00,4.00,0.00,0.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2015,2015,0439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,5.00,,5.00,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3816, 3814","Urban Sewerage,Urban Water Supply",,,,,,,,,,,,,,,,
Australia,Australia,,2015,2015,0439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,,,0.00,4.00,,,4.00,DVA,PS,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Water Supply",07/09/2015,,,No,,09/28/2015,,,,,Sovereign,,,,,
0.00,2.00,0.00,2.00,1.10,0.00,0.00,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,World Bank",World Bank,2015,2015,0442,0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,2.00,,2.00,,,,,,,,,,,3600,Public Sector Management,"3602, 3607","Public Expenditure and Fiscal Management,Reforms of State Owned Enterprises",,,,,,,,,,,,,,,,
Australia,Australia,,2015,2015,0442 (CG1),0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.00,1.10,,,1.10,DVA,PS,Collaborative,Bilateral,Grant,,3600,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,09/30/2015,,,,,Sovereign,,,,,
12.28,0.00,0.00,12.28,0.00,0.89,0.00,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC,UNDP","EC,UNDP",1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.00,12.28,0.00,,12.28,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0.00,,0.89,,0.89,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/19/1979,,,,,Sovereign,,,,,
0.00,25.00,0.00,25.00,1.50,0.00,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",World Bank,2015,2015,,0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,25.00,,25.00,,,,,,,,,,,4000,Information and Communication Technology,,,,,,,,,,,,,,,,,,
Australia,Australia,,2015,2015,0458 (CG2),0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.00,1.50,,,1.50,DVA,PS,Collaborative,Bilateral,Grant,,4000,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,
0.00,2.00,0.00,2.00,1.89,0.00,0.00,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,2.00,,2.00,,,,,,,,,,,3600,Public Sector Management,,,,,,,,,,,,,,,,,,
Australia,"Australia,Australia",Australia,2016,2016,0474,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,,,0.00,1.89,,,1.89,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,,05/25/2015,,,No,,03/21/2016,,,,Approved,Sovereign,,,,,
3.00,0.00,0.00,3.00,0.00,2.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",World Bank,1980,1980,,0485,,,,SAM,Agricultural Development,PARD,,11/27/1980,0.00,3.00,0.00,,3.00,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1980,1980,,0485,,,,SAM,Agricultural Development,PARD,,11/27/1980,,,,,0.00,,2.00,,2.00,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1980,,,,,Sovereign,,,,,
7.75,0.00,0.00,7.75,0.00,2.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,IFAD,World Bank","IFAD,World Bank",1983,1983,,0646,17086,,,SOL,Agricultural Development,PARD,,10/29/1983,0.00,7.75,0.00,,7.75,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1983,1983,,0646,,,,SOL,Agricultural Development,PARD,,10/29/1983,,,,,0.00,,2.00,,2.00,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1983,,,,,Sovereign,,,,,
0.70,0.00,0.00,0.70,0.16,0.00,0.00,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,1986,1986,,0786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0.00,0.70,0.00,,0.70,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Australia,Australia,,1986,1986,,0786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,,,,,0.00,0.16,,,0.16,Non-DVA,,,Bilateral,Grant,ADF,3200,Energy,,,,,,,,08/21/1986,,,,,Sovereign,,,,,
4.90,0.00,0.00,4.90,0.00,2.70,0.00,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,0.00,4.90,0.00,,4.90,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
Export Financing and Insurance Corp.,Australia,,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,,,,,0.00,,2.70,,2.70,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,09/20/1990,,,,,Sovereign,,,,,
10.50,0.00,0.00,10.50,3.87,0.00,0.00,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,0.00,10.50,0.00,,10.50,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
Australia,Australia,,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,,,,,0.00,3.87,,,3.87,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/05/1992,,,,,Sovereign,,,,"PCR IN 265-01, 29Nov01. Adj  from $5.8 was changed to $3.868 ref PCR. Adj Dec03",
7.11,0.00,0.00,7.11,10.00,0.00,0.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank",World Bank,1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,0.00,7.11,0.00,,7.11,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
Australia,Australia,,1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,,,,,0.00,10.00,,,10.00,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,04/01/1993,,,,,Sovereign,,,,Parallel cf ref pg 6 PCR.  Sent to OAS Feb08,
54.00,0.00,0.00,54.00,10.55,0.00,0.00,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Germany,World Bank,EC","World Bank,EC",1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0.00,54.00,0.00,,54.00,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
Australia,Australia,,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0.00,10.55,,,10.55,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,
0.00,0.00,0.00,12.00,11.77,0.00,0.00,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Australia,,1995,1995,,1367,,,,PHI,Regional Municipal Development,SERD,,08/30/1995,12.00,0.00,0.00,,12.00,,,,,,,,,,OCR,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
