proj_no,project_title,approval_number,Type,status
N/A-N/A,L/TA: MONITORING SYSTEM FOR CAPACITY BUILDING (NETH),4023,TA,FIN COMPL
36592-012,TRANSPORT SERVICES NETWORKS FOR THE POOR (PRCF),4028,TA,FIN COMPL
34344-012,SMALL- & MEDIUM-SIZED ENTERPRISE SECTOR DEVELOPMENT PROGRAM (ITALY),4031,TA,FIN COMPL
36479-012,DISSEMINATION OF THE NATIONAL POVERTY REDUCTION STRATEGY (NPRS),4037,TA,FIN COMPL
36678-012,STR THE NATIONAL ACCOUNTABILITY BUREAU (GCF),4043,TA,FIN COMPL
34315-012,STR THE REGULATORY FRAMEWORK FOR WATER SUPPLY AND SANITATION (JSF),4049,TA,FIN COMPL
34100-013,L/TA: POWER WELFARE SCHEME (DANISH COOP FUND FOR RENWBLE ENERGY),4054,TA,FIN COMPL
35147-012,MANAGING REGL DISPARITY IN ECON AND POVERTY REDN PROGRAMS DECTRLZTN I,4067,TA,FIN COMPL
35343-013,L/TA:INSTITUTIONAL & CAP BLDG SUPPORT TO THE MINISTRY OF HOME AFFAIRS,4081,TA,FIN COMPL
35343-013,L: POLICY COORDINATION SUPPORT TO THE OFFICE OF GOVERNMENT,4082,TA,FIN COMPL
36609-012,KATHMANDU VALLEY WATER MANAGEMENT SUPPORT (NORWAY/JSF),4096,TA,FIN COMPL
34351-012,AGRICULTURE SECTOR DEVELOPMENT SUPPORT,4105,TA,FIN COMPL
32300-012,KERALA SUSTAINABLE URBAN DEVELOPMENT (UK),4106,TA,FIN COMPL
36619-012,INTGRTING POOR IN REGL TRADE THRU STDRD SETTING FOR PRIV SECTOR DEVT,4108,TA,FIN COMPL
36511-012,COMMUNITY INFORMATION SERVICES FOR THE POOR,4110,TA,FIN COMPL
35140-012,SUSTAINABLE SOCIAL PROTECTION (TASF/DFID),4124,TA,FIN COMPL
36348-012,"BUDGET PROCEDURE REFORM,COMPUTERIZATION & EXPENDITURE MNGMNT (ASSAM)",4128,TA,FIN COMPL
37100-012,PREVTG POVRTY & EMPWRING FEMALE WORKRS AFFCTD BY CHANGING INTL TRADE,4131,TA,FIN COMPL
36675-012,CARBON SEQUESTRATION THROUGH THE CLEAN DEVELOPMENT MECHANISM (CCFCC),4137,TA,FIN COMPL
37017-012,SUPPORTING GOOD GOVERNANCE INITIATIVES,4140,TA,FIN COMPL
36399-012,PREVENTING HIV/AIDS ON ROAD PROJECTS IN YUNNAN PROVINCES,4142,TA,FIN COMPL
35183-012,SUSTAINABLE AQUACULTURE DEVT FOR FOOD SECURITY AND POVERTY REDUCTION,4148,TA,FIN COMPL
36308-012,ASSAM GOVERNANCE AND PUBLIC RESOURCE MANAGEMENT PROGRAM,4150,TA,FIN COMPL
37064-012,ADMINISTRATION OF JUSTICE,4153,TA,FIN COMPL
31175-012,PARTICIPATORY POVERTY REDUCTION PLANNING FOR SMALL MINORITIES (CFPR),4158,TA,CANCELLED
35182-012,"FLOOD MANAGEMENT IN SELECTED RIVER BASINS (TASF, NETH)",4159,TA,FIN COMPL
35150-012,"STR CIVIL SOCIETY PARTCPTN IN THE DESIGN,IMPLEM,&MONITORING OF ADB PRJ",4161,TA,CANCELLED
37257-012,PROVINCIAL DEVELOPMENT PLANNING IN THE CENTRAL HIGHLANDS (GCF),4163,TA,FIN COMPL
37293-012,CAP BLDG OF ELECTRICITY AUTHORITY OF CAMBODIA (GCF),4169,TA,FIN COMPL
37107-012,OFF-GRID RENEWABLE ENERGY DEVELOPMENT (GOVT OF DENMARK),4173,TA,FIN COMPL
36561-012,REHAB OF RENEWBL ENRGY PROJ FOR RURAL ELECTRFCTN & LIVELIHOOD DEVT,4174,TA,FIN COMPL
37294-022,SUPPORT FOR THE DEVT OF A POVERTY REDCTN STRAT TOWARDS ACHIEVING MDGS,4176,TA,FIN COMPL
36321-012,URBAN CLEAN FUEL PROJECT (GOVT OF UK),4182,TA,FIN COMPL
32264-012,PUNJAB DEVOLVED SOCIAL SERVICES SECTOR DEVELOPMENT PROGRAM,4183,TA,FIN COMPL
36403-022,SUPPORTING LOCAL GOVERNMENT REFORMS,4190,TA,FIN COMPL
36403-032,STRENGTHENING GOVERNMENT PROGRAM PERFORMANCE,4191,TA,FIN COMPL
37095-012,AGRIBUSINESS AND COMMERCIAL AGRICULTURE ASSESSMENT,4192,TA,FIN COMPL
37013-012,INDUSTRIAL ENVIRONMENTAL MANAGEMENT CAPACITY BUILDING,4193,TA,CANCELLED
36608-012,TONLE SAP SUSTAINABLE LIVELIHOODS PROJECT,4197,TA,FIN COMPL
37671-012,A FUND FOR STRATEGIC POLICY CONFERENCES AND STUDIES FOR POVERTY REDN,4200,TA,FIN COMPL
37099-012,EARLY CHILDHOOD DEVELOPMENT FOR THE POOR,4205,TA,FIN COMPL
36096-012,SUPPORT TO IMPLEMENTATION OF DECENTRALIZATION II,4207,TA,FIN COMPL
36594-012,SAFE DRINKING WATER AND SANITATION FOR THE RURAL POOR (PRCF),4215,TA,FIN COMPL
37056-012,CHHATTISGARH IRRIGATION DEVELOPMENT SECTOR (UK),4216,TA,FIN COMPL
37066-012,L/TA: RURAL ROADS SECTOR II,4220,TA,FIN COMPL
37674-012,"POLICY STUDY ON PVRTY REDN PROG OF PRC-TRENDS,CHALLENGES,FUTURE DIRCTN",4222,TA,FIN COMPL
36346-012,PENSION REFORMS FOR THE UNORGANIZED SECTOR,4226,TA,FIN COMPL
37135-012,BALOCHISTAN RESOURCE MANAGEMENT PROGRAM,4230,TA,FIN COMPL
36532-012,INSTITUTIONL DEVT FOR IMPROVED ENVIRONMENTAL STRATEGIC PLANNING/POLICY,4231,TA,FIN COMPL
36326-012,L/TA-REORGANIZATION OF ASSAM STATE ELECTRICITY BOARD (ASEB) (DFID),4241,TA,FIN COMPL
36326-022,L/TA-INSTITUTIONAL DEVELOPMENT FOR RURAL ELECTRIFICATION (DFID),4242,TA,FIN COMPL
36326-032,L/TA-POLICY AND LEGAL SUPPORT FOR POWER SECTOR REFORM (DFID FINANCED),4243,TA,FIN COMPL
36343-022,RURAL FINANCE SECTOR RESTRUCTURING AND DEVELOPMENT PROJECT(GOVT OF UK),4247,TA,FIN COMPL
37722-012,SUPPORT TO POVERTY REDUCTION ACTIVITIES IN VIET NAM,4252,TA,FIN COMPL
33316-022,STRENTHENING OF PUBLIC SECTOR MANAGEMENT & ADMINISTRATION (US),4258,TA,FIN COMPL
29239-012,STRENTHENING SELECTED RURAL FINANCIAL INSTITUTIONS (GERMANY),4259,TA,FIN COMPL
37098-012,CAPACITY BUILDING FOR TAX ADMINISTRATION (UK),4263,TA,FIN COMPL
34357-012,DEVELOPING THE SOCIAL SECURITY SYSTEM (PRCF),4276,TA,FIN COMPL
37717-012,SUPPORT FOR POVERTY REDUCTION INITIATIVES IN PAKISTAN (NPRS PRF TASF),4277,TA,FIN COMPL
37702-012,POVERTY ASSESSMENT AND INFORMATION MANAGEMENT (NPRS),4278,TA,FIN COMPL
35301-012,ADVISORY ASSISTANCE ON SME AND PRIVATE SECTOR DEVELOPMENT,4279,TA,FIN COMPL
36546-012,PROVINCIAL SMALL & MEDIUM INDUSTRIAL SECTOR DEVELOPMENT PROGRAM (UK),4281,TA,FIN COMPL
37250-012,PARTICIPATORY POVERTY ASSESSMENT OF THE TONLE SAP (PRCF),4283,TA,FIN COMPL
36556-012,LOCAL GRIDS DEVELOPMENT PROJECT (UK),4286,TA,FIN COMPL
37704-012,L/TA: CAPACITY BUILDING FOR HOUSING MICROFINANCE,4293,TA,FIN COMPL
36055-012,CAPACITY BUILDING FOR FISCAL REFORMS IN SIKKIM (UK),4297,TA,FIN COMPL
34503-022,CAP STRNGG OF PRC'S NATIONAL DEVELOPMENT PLANNING SERVICES (PRCF),4298,TA,FIN COMPL
37110-012,STRENGTHENING CAPACITIES FOR POVERTY MONITORING AND EVALUATION,4303,TA,FIN COMPL
37675-012,POVERTY REDUCTION IN KEY FORESTRY CONSERVATION PROGRAMS,4307,TA,FIN COMPL
37673-012,POVERTY REDUCTION IN GRASSLAND IMPROVEMENT PROGRAM (PRCF),4308,TA,FIN COMPL
37300-012,RENEWABLE ENERGY FOR POVERTY REDUCTION (DENMARK),4309,TA,FIN COMPL
37711-012,DETERMINNTS & DRIVERS OF POVRTY REDCTN & ADB'S CONTRIBTN IN RURAL PAK,4319,TA,FIN COMPL
37735-012,SOCIAL PROTECTION OF POOR FEMALE WORKERS IN THE GARMENT SECTOR IN THE,4320,TA,FIN COMPL
37125-012,POVERTY IMPACT OF AREA-WIDE ROAD NETWORKS (PRCF),4322,TA,FIN COMPL
37641-012,HUNAN FLOOD MANAGEMENT (GOVT OF SPAIN),4324,TA,FIN COMPL
37646-012,FLOOD MANAGEMENT STRATEGY STUDY,4327,TA,FIN COMPL
37654-012,SUPPORT FOR PRO-POOR HEALTH POLICIES,4331,TA,FIN COMPL
36557-012,GAS GENERATION FROM WASTE (CANADIAN COOP FUND ON CLIMATE CHANGE),4333,TA,FIN COMPL
35419-012,TOWN-BASED URBANIZATION STRATEGY STUDY (GOVT OF SPAIN),4335,TA,FIN COMPL
37669-012,"STUDY OF GENDER INEQUALITY IN WOMEN'S ACCESS TO LAND, FORESTS & WATER",4339,TA,FIN COMPL
35290-012,NORTH EASTERN REGION URBAN DEVELOPMENT (GOVT OF UK),4348,TA,FIN COMPL
38059-012,PROMOTING PRO POOR AND GENDER RESPONSIVE SERVICE,4353,TA,FIN COMPL
38553-012,PARTICIPATORY APPROACHES TO SHELTER PROVISION (FINANCED BY GOVT OF UK),4366,TA,FIN COMPL
34335-012,BALOCHISTAN RURAL DEVELOPMENT AND DROUGHT MITIGATION PROJECT,4367,TA,FIN COMPL
37473-012,FINANCING INTERGRATED SETTLEMENTS DEVELOPMENT PROJECT,4368,TA,FIN COMPL
37622-012,UPPER SECONDARY AND PROFESSIONAL TEACHER DEVELOPMENT PROJECT,4369,TA,FIN COMPL
35213-012,WEST BENGAL DEVELOPMENT FINANCE,4370,TA,FIN COMPL
37052-012,INTEGRATED COASTAL FISHERIES RESOURCE MANAGEMENT PROJECT,4373,TA,FIN COMPL
38071-012,CAPACITY BUILDING FOR THE TONLE SAP POVERTY REDUCTION INITIATIVE,4376,TA,FIN COMPL
37143-012,NORTH EASTERN STATE ROADS,4378,TA,FIN COMPL
37049-012,INTEGRATED CITARUM WATER RESOURCES MANAGEMENT (PART B),4381,TA,FIN COMPL
38053-012,PARTICIPATORY POVERTY ASSESSMENT AND MONITORING,4383,TA,FIN COMPL
37733-012,STRENGTHENING THE CAPACITY OF THE PARLIAMENTARY ACCOUNTS COMMITTEE,4388,TA,CANCELLED
37472-012,BASIC EDUCATION SECTOR CAPACITY SUPPORT PROGRAM (BESCSP),4391,TA,FIN COMPL
37297-012,MARKETING SUPPORT FOR ORGANIC PRODUCE OF ETHNIC MINORITIES,4392,TA,FIN COMPL
38060-012,ESTABLISHING AN EFFECTIVE ANTI-MONEY LAUNDERING REGIME,4393,TA,FIN COMPL
37768-012,RURAL INCOME AND SUSTAINABLE DEVELOPMENT,4401,TA,FIN COMPL
37617-012,HEATING SUPPLY FOR URBAN POOR IN LIAONING PROVINCE,4402,TA,FIN COMPL
38078-012,THE STUDY ON PRICING SYSTEMS & COST-RECOVERY MECHANISMS FOR IRRIGATION,4405,TA,FIN COMPL
38084-012,CAPACITY BUILDING FOR SMALLHOLDER LIVESTOCK SYSTEMS,4406,TA,FIN COMPL
37091-012,AGRIBUSINESS DEVELOPMENT SUPPORT,4407,TA,FIN COMPL
38079-012,"STUDY OF IMPACT OF LAND REFORM ON AGRICULTR, POVRTY REDUCTN, & ENVIRON",4408,TA,FIN COMPL
38103-012,WATER SUPPLY AND SANITATION,4411,TA,FIN COMPL
37166-012,SMALL AND MEDIUM ENTERPRISE DEVELOPMENT,4412,TA,FIN COMPL
38137-012,NON-FORMAL PRIMARY EDUC & FUNCTIONAL LITERACY FOR RURAL WOMEN IN SBAP,4414,TA,FIN COMPL
37102-012,KABUL AIR QUALITY MANAGEMENT,4415,TA,FIN COMPL
34344-013,CAPACITY BUILDING FOR SMALL AND MEDIUM-SIZED ENTERPRISE DEVELOPMENT,4418,TA,FIN COMPL
36252-012,WESTERN BASINS WATER RESOURCES MGT & IRRIGATED AGRICULTURE DEVT,4420,TA,FIN COMPL
37280-012,IMPLEMENTING PRODUCTS & SERVICES FOR THE DOMESTC DEBT MRKT (TACLUSTER),4421,TA,FIN COMPL
38179-012,DEVT OF COMMUNITY BASED MICRO-HYDROPOWER SUPPLY IN REMOTE RURAL AREAS,4423,TA,FIN COMPL
38493-012,STRENGTHENING NATIONAL PROGRAM BUDGETING FOR THE AGRICULTURE SECTOR,4428,TA,FIN COMPL
35412-012,RURAL FINANCE REFORMS & DEVELOPMENT OF MICROFINANCE INSTITUTIONS,4430,TA,FIN COMPL
37650-012,"POVERTY REDUCTN THRU LAND TENURE CONSOLIDATN, PARTCPATRY NR MGT & LCSB",4434,TA,FIN COMPL
37064-022,PREPARING THE ADMINISTRATION OF JUSTICE PROJECT,4437,TA,FIN COMPL
38129-022,PSYCHOSOCIAL HEALTH IN CONFLICT-AFFECTED AREAS,4442,TA,FIN COMPL
38087-012,MOBILIZATN OF GRASSROOTS STAKEHOLDRS FOR PRO-POOR SOCIAL SERVC DELIVRY,4443,TA,CANCELLED
36345-022,PREPARING SMALL & MEDIUM ENTERPRISE FINANCE SECTOR DEVELOPMENT PROJECT,4448,TA,CANCELLED
38238-012,GENDER MAINSTREAMING ACTION PLAN FOR AGRICULTURE & RURAL DEVELOPMENT,4452,TA,FIN COMPL
38384-012,SUPPORTING THE PREPARATION OF THE LAW ON GENDER EQUALITY,4453,TA,FIN COMPL
37689-012,DEVELOPING A POVERTY MONITORING SYSTEM AT THE COUNTRY LEVEL (PRCF),4454,TA,FIN COMPL
36407-012,SECURED TRANSACTIONS REFORMS,4457,TA,FIN COMPL
38593-012,INCREASING OWNERSHIP & EFFECTIVE DEMAND FOR IMPROVED EDUCATION (GCF),4458,TA,FIN COMPL
38490-012,IMPLEMENTATION OF ACTION PLAN FOR GENDER MAINSTREAMING IN AGRI SECTOR,4459,TA,FIN COMPL
38044-012,POVERTY REDUCTION & RURAL RENEWABLE ENERGY DEVELOPMENT (PRCF),4461,TA,FIN COMPL
38611-012,CAPACITY BUILDING SUPPORT TO GOVERNMENT INSPECTORATE OF VIET NAM (GCF),4467,TA,FIN COMPL
38353-012,L/TA: SUPPORT FOR THE IMPLEMENTATION OF THE STATE AUDIT REFORM PROGRAM,4473,TA,FIN COMPL
N/A-N/A,L/TA: SUPPORT FOR THE IMPLEMENTATION OF THE STATE AUDIT REFORM INVEST,4474,TA,FIN COMPL
36383-013,L/TA: SMALL & MEDIUM ENTERPRISE DEVELOPMENT,4476,TA,FIN COMPL
37474-012,GENDER RESPONSIVE PUBLIC POLICY & ADMINISTRATION,4479,TA,FIN COMPL
38561-012,DEVELOPING AGRICULTURAL INSURANCE (PRCF),4480,TA,FIN COMPL
38090-012,INTEGRATING THE POOR IN REGL TRADE THRU INDUSTRIAL STD DEVT-PHASE II,4481,TA,CANCELLED
38147-012,STATE-OWNED ENTERPRISE REFORMS & PRIVATE SECTOR PARTICIPATION,4482,TA,FIN COMPL
38221-012,CAPACITY BUILDING IN LAND POLICY & ADMINISTRATION REFORM,4483,TA,FIN COMPL
38496-012,CAPACITY BUILDING FOR CLEAN DEVELOPMENT MECHANISM,4496,TA,FIN COMPL
37128-012,CAPACITY BUILDING FOR MUNICIPAL SERVICE DELIVERY IN KERALA,4497,TA,FIN COMPL
38585-012,CAPACITY BUILDING OF THE ALTERNATIVE ENERGY DEVELOPMENT BOARD,4500,TA,FIN COMPL
32264-032,PUNJAB DEVOLVED SOCIAL SERVICES PROGRAM,4504,TA,FIN COMPL
38136-012,L/TA: PREPARATN OF JAMMU & KASHMIR URBAN INFRASTRUCTR DEVT PROJ (DFID),4515,TA,FIN COMPL
36677-012,DEVT OF BASIC EDUCATION IN THE AUTONOMOUS REGION IN MUSLIM MINDANAO,4524,TA,FIN COMPL
38241-012,DIAGNOSTIC ASSESSMENT OF INTERISLAND TRANSPORT,4527,TA,FIN COMPL
37220-012,SINDH BASIC URBAN SERVICES (JSF),4534,TA,FIN COMPL
38576-012,IMPLEMENTING PUBLIC SAFETY REFORMS IN 4 DISTRICTS OF PROV OF PUNJAB,4537,TA,FIN COMPL
38636-012,IMPROVING GOVERNANCE IN THE NONPROFIT SECTOR OF PAKISTAN,4538,TA,FIN COMPL
38039-012,NATURAL RESOURCES MANAGEMENT & POVERTY REDUCTION,4541,TA,FIN COMPL
38597-012,ENHANCING ACCESS OF THE POOR TO MICROFINANCE SERVCES IN FRONTIER AREAS,4544,TA,FIN COMPL
38239-012,IMPROVING AID COORDINATION AND PORTFOLIO MANAGEMENT,4546,TA,FIN COMPL
37475-012,MADRASAH EDUCATION DEVELOPMENT (COFINANCED BY THE GOVT OF AUSTRALIA),4547,TA,FIN COMPL
38596-012,DEVELOPMENT OF AN ANTI-MONEY-LAUNDERING REGIME II,4550,TA,FIN COMPL
37601-012,ANALYSIS & DISSEMINATN OF LESSONS FR POVRTY REDUCTN PRGRM FOR LOC GOVT,4554,TA,FIN COMPL
38625-013,L/TA: EARLY WARNING SYSTEMS STUDY,4562,TA,FIN COMPL
39042-012,PREPARING A DEVELOPMENT PLAN FOR THE TSUNAMI AFFECTED ANDAMAN REGION,4564,TA,FIN COMPL
37616-012,POVERTY REDUCTION IN COAL MINE AREAS IN SHANXI PROVINCE (PRCF),4566,TA,FIN COMPL
39082-012,SRI-LANKA POST TSUNAMI NEEDS ASSESS & PREP FR EMRGNCY ASSIST IMPL STRA,4567,TA,FIN COMPL
38651-012,SSTA FOR 2ND URBAN PRIMARY HEALTH CARE PROJECT BRIDGING SUPPORT (DFID),4568,TA,FIN COMPL
38650-012,STUDY ON DEV OF AGCY TO FACILTATE ISSUANCE OF RESIDENTL MORT-BACKD SEC,4569,TA,FIN COMPL
37056-013,L/TA: WATER USERS ASSN EMPWRMNT FOR IMPRVD IRRIGATN MGT IN CHHATTISGAR,4573,TA,FIN COMPL
37290-012,COMMUNITY SELF-RELIANCE & FLOOD RISK REDUCTION (PRCF),4574,TA,FIN COMPL
39026-012,CAMBODIA BUSINESS INITIATIVE IN RURAL DEVELOPMENT (PRCF),4575,TA,FIN COMPL
38234-012,NON-GOVT ORG-GOVT PARTNERSHIPS IN VILLAGE-LEVEL POVERTY ALLEVIATION,4580,TA,FIN COMPL
38594-012,GUIYANG INTEGRATED WATER RESOURCES MANAGEMENT,4586,TA,FIN COMPL
39072-012,REFORM OF THE NAURU PHOSPHATE CORPORATION,4590,TA,FIN COMPL
39010-012,DEVELOPING A RESULTS-ORIENTED 7TH NATIONAL DEVELOPMENT PLAN,4591,TA,FIN COMPL
39128-012,SUPPORTING POST-TSUNAMI ACTIVITIES & COASTAL ZONE MANAGEMENT (ATF),4595,TA,FIN COMPL
39119-012,PROMOTING INTL COOP ON ANTI-MONEY LAUNDERING & COMBATING FIN OF TERROR,4597,TA,FIN COMPL
37530-022,RURAL DEVELOPMENT PROJECT,4598,TA,FIN COMPL
38601-012,STRENGTHENING THE ANTI-MONEY LAUNDERING REGIME (PHASE II) (RTFSI),4601,TA,FIN COMPL
38573-012,SUPPORT TO IMPLEMENTATION OF GENDER REFORM ACTION PLANS,4602,TA,FIN COMPL
36265-012,STRATEGIC SECONDARY EDUCATION PLANNING & COOPERATION,4603,TA,FIN COMPL
39134-012,NANJING WATER UTILITY LONG-TERM CAPITAL FINANCE IN COMMERCIAL MARKETS,4604,TA,FIN COMPL
36391-012,RESULTS-BASED MONITORING OF POVERTY REDUCTION & GROWTH,4612,TA,FIN COMPL
39158-012,SUBREGIONAL DEVELOPMENT PLAN FOR THE TSUNAMI-AFFECTED ANDAMAN REGION,4613,TA,FIN COMPL
39129-012,PROMOTING SOUND ENVIRONMENTAL MGT IN THE AFTERMATH OF TSUNAMI DISASTER,4614,TA,FIN COMPL
38398-012,METRO MANILA URBAN SERVICES FOR THE POOR,4616,TA,FIN COMPL
37703-012,PARTICIPATORY STRATEGY DEVT & IMPLEMENTATION FOR ACHIEVING THE MDG,4621,TA,FIN COMPL
39178-012,CAP DEV FOR MONITORING DEVT RESULTS OF NATL GROWTH & POVERTY ERADICATN,4624,TA,CANCELLED
36352-012,SONG BUNG 4 HYDROPOWER PHASE II,4625,TA,FIN COMPL
39120-012,PUBLIC EXPENDITURE PLANNING FOR NATL GROWTH & POVERTY ERADICATN STRAT,4627,TA,FIN COMPL
36437-012,INTEGRATED ECOSYSTEM MGT & ENVIRONMENTAL PROTECTN OF BAIYANGDIAN LAKE,4629,TA,FIN COMPL
37697-012,URBAN DEVELOPMENT & HOUSING,4632,TA,FIN COMPL
37493-012,CAPACITY BUILDING FOR ECONOMIC MANAGEMENT,4637,TA,FIN COMPL
39100-012,IMPLEMENTING THE REGULATORY & SUPERVISORY FRAMEWORK FOR MICROFINANCE,4638,TA,FIN COMPL
38660-012,NINGXIA YINCHUAN INTEGRATED ECOSYSTEM MANAGEMENT,4640,TA,FIN COMPL
37231-012,PUNJAB IRRIGATED AGRICULTURE DEVELOPMENT SECTOR,4642,TA,FIN COMPL
39122-012,SUPPORT TO THUA THIEN HUE & QUANG TRI PROV FOR FORMULATING SUST PR&GP,4644,TA,FIN COMPL
37534-012,RESTRUCTURING OF THE RAILWAY IN CAMBODIA,4645,TA,FIN COMPL
37633-012,ALTERNATIVE ENERGY SUPPLY FOR RURAL POOR IN REMOTE AREAS (PRCF),4649,TA,FIN COMPL
39405-012,DHAKA WATER SUPPLY,4651,TA,FIN COMPL
32566-012,INCREASING OWNERSHIP OF & EFFECTIVE DEMAND FOR IMPROVD URBAN WASTE MGT,4653,TA,FIN COMPL
38247-012,LOCAL GOVERNMENT FINANCE CAPACITY BUILDING,4661,TA,FIN COMPL
33042-032,FARM ANALYSIS & AWARENESS-RAISING FOR DEBT RESOLUTION,4664,TA,FIN COMPL
37576-012,STUDY OF THE INFLUENCE OF BUILT STRUCTURES ON FISHERIES OF TONLE SAP,4669,TA,FIN COMPL
39223-012,FINANCIAL SECTOR BLUEPRINT UPDATE,4677,TA,FIN COMPL
38260-012,NORTH EASTERN REGION URBAN DEVELOPMENT (PHASE II) PROJECT,4678,TA,FIN COMPL
39123-012,CAP BLDG SPPRT TO DAK NONG PROV FOR IMPRVNG POVRTY RDCTION & GRWTH PER,4679,TA,FIN COMPL
37618-012,ALTERNATIVE LIVELIHOOD OPTIONS TO FACILITATE COAL SECTOR RESTRUCTURING,4680,TA,FIN COMPL
39379-012,DVLPNG BEN SHARNG MECHANSMS FOR PEOPLE ADVERSLY AFFCTD BY PWR GEN PJT,4689,TA,FIN COMPL
39387-012,STRNGTHEN INST CAP OF LOCL STKEHOLDRS FOR IMPLMTN OF SON LA LIVLHD,4690,TA,FIN COMPL
39135-012,INTEGRATED COASTAL MANAGEMENT AND RELATED INVESTMENT DEVELOPMENT,4692,TA,FIN COMPL
37600-012,URBAN POVERTY STRATEGY STUDY II,4694,TA,FIN COMPL
36458-012,ROAD SAFETY IMPROVEMENT,4698,TA,FIN COMPL
38151-012,SUPPORTING BUSINESS LAW REFORM,4700,TA,FIN COMPL
39230-012,PARTICIPATION OF THE URBAN POOR IN MUNICIPAL GOVERNANCE,4707,TA,FIN COMPL
39598-012,RURAL RENEWABLE ENERGY DEVELOPMENT PROJECT,4709,TA,FIN COMPL
39537-012,IMPLEMENTATION OF THE ENVIROMENTL MGT PLAN FOR THE SON LA HYDROPOWR PJ,4711,TA,FIN COMPL
39536-012,CAP BLDG IN THE STRATEGIC ENVIROMENTL ASSESSMNT OF THE HYDROPOWER SCTR,4713,TA,FIN COMPL
39076-012,"AIR POLLUTION, POVERTY AND HEALTH EFFECTS IN HO CHI MINH SITY",4714,TA,FIN COMPL
39321-012,SHAANXI-QINLING MOUNTAINS INTEGRATED ECOSYSTEM MANAGEMENT PROJECT,4721,TA,FIN COMPL
39622-012,RENEWABLE ENERGY DEVELOPMENT PROJECT,4726,TA,FIN COMPL
35246-012,SECOND COMMAND AREA DEVELOPMENT PROJECT,4740,TA,FIN COMPL
35174-012,PREPARING THE EDUCATION SECTOR DEVELOPING PROGRAM I,4754,TA,FIN COMPL
39532-012,DEVELOPING DEPOSIT SERVICES IN RURAL CAMBODIA,4755,TA,FIN COMPL
39006-012,REACHING THE MOST DISADVANTAGED GROUPS IN MAINSTREAM RURAL DEVELOPMENT,4759,TA,FIN COMPL
39525-012,ENHANCING POVERTY REDUCTION IMPACT OF ROAD PROJECTS,4760,TA,FIN COMPL
39572-012,MICROINSURANCE SECTOR DEVELOPMENT,4761,TA,FIN COMPL
39063-012,PRO-POOR PLANNING AND BUDGETING,4762,TA,FIN COMPL
39071-012,METROPOLITAN SANITATION MANAGEMENT AND HEALTH PROJECT (JSF),4763,TA,FIN COMPL
39107-012,OPERATIONALIZATION OF MANAGING FOR DEVELOPMENT RESULTS,4765,TA,FIN COMPL
39236-012,ACCELARATED RURAL ELECTRIFICATION,4766,TA,FIN COMPL
39203-012,CAPACITY BUILDING FOR GENDER EQUALITY AND EMPOWERMENT OF WOMEN,4767,TA,FIN COMPL
36389-012,PROMOTING GOVERNANCE IN FINANCIAL TRANSACTIONS,4770,TA,FIN COMPL
39004-012,ECONOMIC AND SOCIAL INCLUSION OF THE DISADVANTAGED POOR THROUGH MIS,4774,TA,FIN COMPL
38088-012,ENABLING THE PS TO UNDERTAKE POVERTY-FOCUSED WATER DISTRIBUTION & STRN,4776,TA,FIN COMPL
39036-012,DORMITORIES AND LEARNING CENTERS FOR SECONDARY SCHOOLGIRLS,4777,TA,FIN COMPL
37313-012,PRJT IMPLEMENTATION & URBAN MGT IMPROVEMENT IN THE NER (PHASE 1),4779,TA,FIN COMPL
39659-012,KNOWLEDGE MANAGEMENT AND CAPACITY BUILDING,4780,TA,FIN COMPL
40004-012,SSTA FOR REVITALIZING COMMUNITY DEMAND FOR IMMUNIZATION,4787,TA,FIN COMPL
38183-012,POWER SECTOR EXPANSION PROGRAM,4791,TA,FIN COMPL
39354-012,"DEMOGRAPHIC AND HEALTH SURVEY IN PNG (JSF, AUS, NZL)",4798,TA,FIN COMPL
40109-012,DEVELOPMENT OF A MONITORING AND EVALUATION SYSTEM AT OBLAST LEVEL,4801,TA,FIN COMPL
37641-013,STRENGTHENING FLOOD MANAGEMENT SUSTAINABILITY IN HUNAN PROVINCE,4813,TA,FIN COMPL
39654-012,PROJ PROC & CAPACITY DEVT,4814,TA,FIN COMPL
38411-012,ORISSA INTEGRATED IRRIGATED AGRICULTURE AND WATER MANAGEMENT PROJECT,4815,TA,FIN COMPL
39653-012,ENERGY CONSERVATION AND RESOURCE MANAGEMENT,4819,TA,FIN COMPL
37536-013,IMPLEMENTATION & MONITORING OF POLICY REFORMS IN THE AGRICULTURE SECTR,4820,TA,FIN COMPL
33357-013,INSTITUTIONAL STRENGTHENING FOR RURAL FINANCE,4827,TA,FIN COMPL
38558-012,WATER RESOURCES MANAGEMENT (SECTOR) PROJECT,4848,TA,FIN COMPL
37381-012,SMALL TOWNS & RURAL ARID AREAS WATER SUPPLY AND SANITATION,4853,TA,FIN COMPL
34341-013,CAP BLDG FOR FOREST LIVELIHOOD IMPROVEMENT IN THE CENTRAL HIGHLANDS,4859,TA,ACTIVE
40513-012,STRENGTHENING RESULTS MANAGEMENT IN SUPPORT OF PR IN TAJIKISTAN,4860,TA,FIN COMPL
39500-012,HO CHI MINH CITY METRO RAIL SYSTEM PROJECT,4862,TA,FIN COMPL
40559-012,SECOND URBAN GOVERNANCE AND INFRASTRUCTURE IMPROVMENT (SECTOR) PROJECT,4863,TA,FIN COMPL
