,Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
1967,JICA,Japan,,2008,2008,2451 (CL),2451,40198,,,VIE,Ho Chi Minh City-Loan Thanh-Dau Giay Expressway Construction,SERD,,09/30/2008,,,,,0.00,,517.60,,517.60,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,09/30/2008,06/26/2009,,,,Sovereign,,,,"JBIC (ODA) parallel cfg. JBIC will finance civil works for the HCMC-Long Thanh section, an electronic toll collection & traffic info & monitoring system and consulting services (ref RRP). PA signed 19Sep08. (now JICA)",,2451
1988,JICA,Japan,,2009,2009,2523 (CL),2523,43096,,,MON,Social Sectors Support Program,EARD,EASS,06/24/2009,,,,,0.00,,30.00,,30.00,DVA,PS,Collaborative,Bilateral,Loan,ADF,3400.0,Health and Social Protection,,,,,,,,06/24/2009,07/15/2009,,,,Sovereign,Successful,,,GOJ thru JICA will provide $30m in 2009 and $20m in 2010 (ref final RRP) PA under preparation.,"DR 2009. para on JPN cof, pp 36.",2523
1991,JICA,Japan,,2010,2010,2545 (CL),2545,40538,,,PHI,Development Policy Support Program (Subprogram 3),SERD,,04/14/2010,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600.0,Public Sector Management,,,,,,,,04/14/2010,10/06/2009,,12/31/2009,,Sovereign,Succesful,,,PA was signed 14Apr2010.  PCR Dec2010. Anchor ADB project approved 15 Sep 2009,DR 2010. para on governance pp 41.,2545
1994,JICA,Japan,,2010,2010,2560 (CL),2560,41122,M0034,,GEO,"Road Corridor Investment Program, Tranche 1",CWRD,CWTC,01/14/2010,,,,,0.00,,170.00,,170.00,DVA,Others,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,01/14/2010,,,,,01/14/2010,12/01/2009,,,Approved,Sovereign,,,,Anchor ADB project approved 6 Oct 2009; MFF-0034. Procedural Agreement signed 14Jan2010. JICA cf for tranche 1 (ref MA's 21Jul10 email).,"DR 2010. para on RCI and on new proj, pp 28.",2560
2003,JICA,Japan,,2010,2010,2701 (CL2),2701/2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.00,,300.00,,300.00,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,"ML agreed to sign MOU among ADB, WB, JICA (ref MA's 18Apr10 update","DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701
2009,JICA,Japan,,2013,2013,2730 (CL),2730,41414-043,,,VIE,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1,SERD,SETC,08/19/2013,,,,,0.00,,181.45,,181.45,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,01/25/2012,,,Yes,,08/19/2013,,,,,Sovereign,,,,PA signed 25 January 2012; SG and MJS met with Project Lead Yasushi Tanaka last 23 Aug 2013; ML advised to record PA on 19 Aug 2013 when their DG approved continuation of the MFF.  It was agreed that it will not be good to record this cofinancing for 2012 as 2012 figures have been published already.,,2730
2012,JICA,Japan,,2011,2011,2756 (CL),2756,42171-013,,,BAN,Khulna Water Supply,SARD,SAUW,06/14/2011,,,,,0.00,,184.00,,184.00,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,06/14/2011,01/04/2012,,,,Sovereign,,,,,,2756
2015,JICA,Japan,,2011,2011,2761 (CG4),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,30.00,,,30.00,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
2021,JICA,Japan,,2012,2012,2857 (CL),2857/2858,45094-001,,,TIM,Road Network Upgrading,PARD,PATE,03/30/2012,,,,,0.00,,68.70,,68.70,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,03/30/2012,,,,,Sovereign,,,,waiting for MOU for reclassification to DVA-collab,"DR 2012. para in PARD section on New Joint Initiatives, pp 17.",2857
2024,JICA,Japan,,2012,2012,2872 (CL),2872,43396-013,,,PHI,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1,SERD,SEPF,06/26/2012,,,,,0.00,,100.00,,100.00,DVA,,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Economic and Public Affairs Management,,,,No,,06/26/2012,,,,,Sovereign,,,,"DVA-collaborative, as of 02 July no confirmation of commitment yet","Donor Report 2012, box, page 25",2872
2027,JICA,Japan,,2013,2013,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.00,,184.00,,184.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,,2990
2030,JICA,Japan,,2013,2013,3025 (CL),3025/3026,44458-013,,,UZB,Amu Bukhara Irrigation System Rehabilitation,CWRD,CWER,09/25/2013,,,,,0.00,,100.00,,100.00,DVA,,Collaborative,Bilateral,Loan,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,09/25/2013,,,,,Sovereign,,,,,,3025
2033,JICA,Japan,,2013,2013,3045 (CL),3045/3046,42180-013,,,BAN,Second Public-Private Infrastructure Development Facility,SARD,SAPF,10/17/2013,,,,,0.00,,96.00,,96.00,DVA,Others,Collaborative,Bilateral,Loan,,3300.0,Finance,,,,,,No,,10/17/2013,,,,,Sovereign,,,,,,3045
2036,JICA,Japan,,2013,2013,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.00,,200.00,,200.00,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
2042,JICA,Japan,,2014,2014,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),CWRD,CWEN,06/04/2014,,,,,0.00,,49.00,,49.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Sector Development,06/04/2014,,,Yes,,06/04/2014,,,,,Sovereign,,,,,,3126
2045,JICA,Japan,,2015,2015,3186 (CL),3186,46268-002,,,IND,Clean Energy Finance Investment ProgramﾗTranche 1 ,SARD,SAPF,01/16/2015,,,,,0.00,,280.00,,280.00,DVA,PS,Collaborative,Bilateral,Loan,,3300.0,Finance,3312,Infrastructure Finance and Investment Funds,01/16/2015,,,Yes,,01/16/2015,,,,,Sovereign,,,,,,3186
2048,JICA,Japan,,2014,2014,3227 (CL),3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,,,,,0.00,,150.00,,150.00,DVA,PS,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,3227
2051,JICA,Japan,,2016,2016,3260 (CL),3260,49215-001,,,NEP,Earthquake Emergency Assistance,SARD,NRM,03/11/2016,,,,,0.00,,115.30,,115.30,DVA,PS,Collaborative,Bilateral,Loan,,3100.0,Education,,,02/02/2016,,,Yes,,03/11/2016,,,,Approved,Sovereign,,,,JICA cofinancing amounts to 14 billion yen. The USD conversion of $115.3 was provided by SARD in their memo of 11 March 2016. ,,3260
2054,JICA,Japan,,2016,2016,,3321/3322,47015-002,,,PAK,Sustainable Energy Sector Reform ProgramﾖSubprogram 2,CWRD,CWEN,02/02/2016,,,,,0.00,,41.32,,41.32,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,02/02/2016,,,Yes,,02/02/2016,,,,,Sovereign,,,,,,3321
2056,JICA,Japan,,2016,2016,3376,3376,32234-063,,,,Railway Sector Investment ProgramﾖTranche 4,SARD,SATC,05/26/2016,,,,,0.00,,116.72,,116.72,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,3703,Rail Transport (Non-Urban),05/26/2016,,,No,,05/26/2016,,,,Approved,Sovereign,,,,,,3376
2615,JBIC (non-ODA),Japan,,1992,1992,9999INO,9999INO,,,,INO,Fourth Untied Loan (5 ADB Projects),SERD,,08/21/1992,,,,,0.00,,200.00,,200.00,DVA,,Collaborative,Bilateral,Loan,OCR,3900.0,Multisector,3900,Multisector,,,,,,08/21/1992,,,,,Sovereign,,,,,,9999INO
2618,JBIC (non-ODA),Japan,,1988,1988,9999INO2,9999INO2,,,,INO, Second Untied Loan (17 Bank Projects)  ,SERD,,08/09/1988,,,,,0.00,,576.00,,576.00,DVA,,Collaborative,Bilateral,Loan,OCR,3900.0,Multisector,3900,Multisector,,,,,,08/09/1988,,,,,Sovereign,,,,,,9999INO2
2621,JBIC (non-ODA),Japan,,1989,1989,9999INO3,9999INO3,,,,INO,Third Untied Loan (11 Bank Projects),SERD,,12/15/1989,,,,,0.00,,350.00,,350.00,DVA,,Collaborative,Bilateral,Loan,ADF,3900.0,Multisector,3900,Multisector,,,,,,12/15/1989,,,,,Sovereign,,,,,,9999INO3
2628,KEXIM,Korea,,2010,2010,0195 (CL),0195,,,,LAO,Greater Mekong Subregion Northern Power Transmission,SERD,SEEW,01/26/2010,,,,,0.00,,37.88,,37.88,DVA,FW,Collaborative,Bilateral,Loan,ADF Grant,3200.0,Energy,,,,,,,,01/26/2010,03/05/1975,,08/20/1985,Approved,Sovereign,,,,MOU between ADB and KOR signed in Jul09.,"DR 2010. para on RCI and on new proj, pp 27.",0195
2646,KEXIM,Korea,,2010,2010,2372(CL),2372/0095/2988/0337,36353-013,,,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),SERD,,12/21/2010,,,,,0.00,,70.00,,70.00,DVA,FW,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/21/2010,05/29/2008,,,,Sovereign,,,,L2372 approved in 2007.  Major change in scope approved in Feb2010.  MOU on Collaborative cfg signed 16Apr10.,"DR 2010. para on RCI and on new proj, pp 27. DR 2011. para on FCA, pp 10.",2372
2652,KEXIM,Korea,,2009,2009,2511 (CL),2511/0147,41013,,,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SERD,SEID,03/05/2009,,,,,0.00,,32.70,,32.70,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,03/05/2009,11/09/2009,,,,Sovereign,,,,,"DR 2009. para on FCA pp 32. para on NET cof, pp 36.",2511
2655,KEXIM,Korea,,2009,2009,2539 (CL),2539,42358,,,CAM,Greater Mekong Subregion: Cambodia Northwest Provincial Road Improvement,SERD,SETU,08/24/2009,,,,,0.00,,25.58,,25.58,DVA,FW,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,08/24/2009,11/25/2009,,,,Sovereign,,,,KEXIM DVA Collaborative cofinancing agreement signed 8Oct09 ($25.58m).  (Actual cofinancing from KEXIM $29.94).,DR 2009. para on FCA pp 32.,2539
2658,KEXIM,Korea,,2011,2011,2610 (CL),2610,39595-033,,,VIE,Mong Duong 1 Thermal Power ﾖ Tranche 2,SERD,SEEN,12/05/2011,,,,,0.00,,510.00,,510.00,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,Yes,,12/05/2011,05/12/2011,,,,Sovereign,,,,,"DR 2011. para on project-specific cof, new proj pp 11.",2610
2661,KEXIM,Korea,,2010,2010,2670 (CL),2670,42334,,,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,,,,,0.00,,21.00,,21.00,DVA,FW,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,09/23/2010,01/06/2011,,,,Sovereign,,,,Changed from 19.35 to 21 on 31 March 2016 per Financing partner and RD request based on signed collab agreement,DR 2011. para on grant cof pp 13.,2670
2664,KEXIM,Korea,,2011,2011,2826 (CL),2826,41462-013,,,VIE,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang",SERD,,12/08/2011,,,,,0.00,,13.52,,13.52,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/08/2011,,,,,Sovereign,,,,,,2826
2667,KEXIM,Korea,,2013,2013,0353 (CL),3013/0353,40255-033,,,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,,,,,0.00,,260.00,,260.00,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,08/05/2013,,,,,Sovereign,,,,$60 million under current FCA with KEXIM; $200 million under first FCA which has expired in 2013.,,3013
2670,KEXIM,Korea,,2015,2015,3047 (CL),3047,44213-016,0074,,BAN,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary),SARD,SAHS,07/20/2015,,,,,0.00,,39.00,,39.00,DVA,FW,Collaborative,Bilateral,Loan,,3100.0,Education,3103,Upper Secondary Education,,,,Yes,,07/20/2015,,,,,Sovereign,,,,,,3047
2673,KOICA,Korea,,2013,2013,3047 (CG),3047,44213-016,0074,,BAN,Secondary Education Sector Investment Program - Tranche 1 (Supplementary),SARD,SAHS,12/16/2013,,,,,0.00,3.50,,,3.50,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,3103,Upper Secondary Education,,,,No,,12/16/2013,,,,,Sovereign,,,,,,3047
2676,KEXIM,Korea,,2014,2014,3119 (CL),3119/3120,42251-018,,,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,,,,,0.00,,26.00,,26.00,DVA,FW,Collaborative,Bilateral,Loan,,3100.0,Education,,Technical Education and Vocational Skills Training,,,,No,,03/28/2014,,,,,Sovereign,,,,,,3119
2679,KEXIM,Korea,,2014,2014,3151 (CL),3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,,,,0.00,,41.00,,41.00,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,No,,08/08/2014,,,,,Sovereign,,,,,,3151
2682,KEXIM,Korea,,2016,2016,,3169/3170,46168-001,,,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,06/09/2016,,,,,0.00,,192.00,,192.00,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,3703,Rail Transport (Non-Urban),06/03/2016,,,Yes,,06/09/2016,,,,Dropped/Declined,Sovereign,,,,,,3169
2686,KEXIM,Korea,,2016,2016,3376,3376,32234-063,,,,Railway Sector Investment ProgramﾖTranche 4,SARD,SATC,05/26/2016,,,,,0.00,,22.00,,22.00,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,3703,Rail Transport (Non-Urban),06/03/2016,,,No,,05/26/2016,,,,Approved,Sovereign,,,,,,3376
2711,Kuwait Fund,Kuwait,,2015,2015,3124 (CL),3124/8288,33209-014,,,NEP,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing,SARD,SAER,05/05/2015,,,,,0.00,,17.00,,17.00,DVA,PS,Collaborative,Bilateral,Loan,,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,No,,05/05/2015,,,,,Sovereign,,,,,,3124
2837,NDF,NDF,NDF,2010,2010,2670 (CG),2670,42334,,,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,,,,,0.00,5.40,,,5.40,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,09/23/2010,01/06/2011,,,,Sovereign,,,,Collaborative grant,DR 2011. para on grant cof pp 13.,2670
2840,NDF,NDF,NDF,2011,2011,2789 (CG),2789,41433-013,,,VIE,Transport Connections in Northern Mountainous Provinces,SERD,SETC,09/30/2011,,,,,0.00,2.78,,,2.78,DVA,,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,Road Transport,,,,,,09/30/2011,04/16/2012,,,,Sovereign,,,,Euro 2 million,DR 2011. para on grant cof pp 13.,2789
2847,Neighbourhood Investment Facility,Neighbourhood Investment Facility,Neighbourhood Investment Facility,2013,2013,2993 (CG),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0.00,7.90,,,7.90,DVA,Others,Collaborative,Multilateral,Grant,,3700.0,Transport,,,,,,Yes,,09/27/2013,,,,,Sovereign,,,,Managed by EBRD,,2993
2854,SNV Netherlands Development Organisation,Netherlands,,2010,2010,0228 (CG),0228,,,,BHU,Rural Renewable Energy Development,SARD,,10/29/2010,,,,,0.00,0.27,,,0.27,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3200.0,Energy,,,,,,,,10/29/2010,01/14/1976,,05/01/1979,,Sovereign,,,,,,0228
3006,New Zealand,New Zealand,,2010,2010,0243 (CG2),0243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.00,30.00,,,30.00,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/15/2010,,,,,Sovereign,,,,MOU signed 14 December 2012,,0243
3021,New Zealand,"New Zealand,New Zealand",New Zealand,2014,2014,0416 (CG1),0416,47314-001,,,KIR,Strengthening Fiscal Stability Program,PARD,SPSO,11/28/2014,,,,,0.00,0.90,,,0.90,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,0416
3024,New Zealand,New Zealand,,2015,2015,0442 (CG2),0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.00,0.40,,,0.40,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,09/30/2015,,,,,Sovereign,,,,,,0442
3071,Norway,Norway,,2011,2011,0272 (CG4),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,22.40,,,22.40,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
3428,OFID,OFID,OFID,2007,2007,2196 (CL),2196/0023,38236,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,CWRD,,12/04/2007,,,,,0.00,,3.50,,3.50,DVA,,Collaborative,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/04/2007,03/13/2006,,11/16/2010,,Sovereign,,,,Loan approved in 17 Nov 2005 OFID app 4Dec07. ADB advised OFID on 13 Oct 2008 that administering the OFID loan would be difficult; suggested direct administration of loan.,,2196
3507,PRIF,PRIF,PRIF,2010,2010,2718 (CG1),2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,,,,,0.00,4.61,,,4.61,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/10/2010,08/26/2011,,,,Sovereign,,,,Multidonor. Collaborative grant $4.61; managed by WB,"DR 2010. para on new proj of the year, pp 14.",2718
3511,PRIF,PriF,PriF,2015,2015,2718 (CG2),2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,,,,,0.00,7.00,,,7.00,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,Yes,,06/23/2015,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 14.",2718
3524,China Construction Bank Corporation,P.R.C.,,2012,2012,2962 (CL),2962,43031-013,,,PRC,Hunan Xiangjiang Inland Waterway Transport,EARD,EATC,12/07/2012,,,,,0.00,,65.40,,65.40,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Water Transport,,,,No,,12/07/2012,,,,,Sovereign,,,,"MOU collab cof  signed between ADB project officer Xiaohong Yang and Tao He, VP Changsha, Tieying BRanch, CCB.  ref email: H Carnecer to MJS 25 Jan 2013.",,2962
3527,Export-Import Bank of China,P.R.C.,,2013,2013,3075 (CL),3075,46058-002,,,PRC,Qinghai Delingha Concentrated Solar Thermal Power,EARD,EAEN,12/02/2013,,,,,0.00,,75.58,,75.58,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Renewable Energy,,,,No,,12/02/2013,,,,,Sovereign,,,,,,3075
3530,SPDB,P.R.C.,,2014,2014,3218 (CL),3218,47052-002,,,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,,,,,0.00,,162.38,,162.38,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3213,Energy Utility Services,,,,No,,12/09/2014,,,,,Sovereign,,,,Shanghai Pudong Development Bank - other concessional cofinancing,,3218
3533,China Construction Bank,P.R.C.,,2015,2015,3308 (CL),3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,,,,,0.00,,81.73,,81.73,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3214,Energy Efficiency and Conservation,04/17/2015,,,No,,10/30/2015,,,,Approved,Sovereign,,,,,,3308
3714,Sida,Sweden,,2011,2011,2761 (CG5),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,45.00,,,45.00,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
3791,SDC,Switzerland,,2011,2011,2796 (CG),2796/0267/8257,38426-023,,,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,,,,,0.00,7.06,,,7.06,DVA,,Collaborative,Bilateral,Grant,"ADF,ADF Grant",3700.0,Transport and ICT,,,,,,,,10/31/2011,04/23/2012,,,,Sovereign,,,,Swiss Agency for Development and Cooperation,,2796
3798,International Cooperation and Development Fund (ICDF),"Taipei,China",,1992,1992,1211 (CL),1211,23132,,,PNG,Third Urban Water Supply,PARD,,12/15/1992,,,,,0.00,,6.70,,6.70,DVA,,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/15/1992,12/07/1994,,08/09/2002,,Sovereign,S,,,,,1211
3855,UFRD,"Uzbekistan,UFRD",UFRD,2014,2014,3141 (CL)-1,3141,45306-001,,,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,,,,,0.00,,270.00,,270.00,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/05/2014,,,,,Sovereign,,,,Uzbekistan Fund for Reconstruction and Development - other concessional cofinancing,,3141
4095,UNICEF,UNICEF,UNICEF,2011,2011,0272 (CG9),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,1.00,,,1.00,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
4107,UNICEF,UNICEF,UNICEF,2011,2011,2761 (CG7),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,0.50,,,0.50,DVA,,Collaborative,Multilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4110,UNICEF,UNICEF,UNICEF,2015,2015,3256 (CG2),3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.00,0.10,,,0.10,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
4125,UFRD,"Uzbekistan,UFRD",UFRD,2014,2014,3141 (CL)-1,3141,45306-001,,,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,,,,,0.00,,270.00,,270.00,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/05/2014,,,,,Sovereign,,,,Uzbekistan Fund for Reconstruction and Development - other concessional cofinancing,,3141
4127,UFRD,Uzbekistan,,2015,2015,3286 (CL),3286,41340-015,,,UZB,Advanced Electricity Metering Phase 4,CWRD,CWEN,09/18/2015,,,,,0.00,,70.00,,70.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,09/18/2015,,,,,Sovereign,,,,,,3286
4144,DFID,U.K.,,2011,2011,0272 (CG8),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,4.00,,,4.00,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
4291,DFID,U.K.,,2011,2011,2761 (CG6),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,190.00,,,190.00,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4394,WHO,WHO,WHO,2012,2012,2963 (CG),2963,45009-002,,,MON,Fifth Health Sector Development,EARD,EASS,12/10/2012,,,,,0.00,0.48,,,0.48,DVA,PS,Collaborative,Multilateral,Grant,,3400.0,Health and Social Protection,,Health Systems,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. para in EARD section on New Joint Initiatives, pp 12.",2963
4410,World Bank,World Bank,World Bank,2011,2011,0256 (CG),0256,44172,,,TON,Tonga-Fiji Submarine Cable,PARD,PAUS,08/23/2011,,,,,0.00,16.50,,,16.50,DVA,,Collaborative,Multilateral,Grant,,3700.0,Transport and ICT,3706,ICT,,,,No,,08/23/2011,12/21/2011,,,,Sovereign,,,,"from WB-IDA. Gi Soon Song (PARD), Taisuke Miyao (COSO) and Johannes Versantvoort (OGC) got a Cofin award 2011 for preparing the project jointly with WB, and successfully overcoming significant difficulties with respect to joint procurement",,0256
4413,World Bank,World Bank,World Bank,2011,2011,0272 (CG5),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,72.50,,,72.50,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
