,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,Japan,2009,2009,9138,9138,,,,MON,"Early Childhood Education for Rural, Nomadic, and Migrant Children",EARD,EASS,08/28/2009,,,,,0,2.89,,,2.89,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,06/18/2009,,,No,,08/28/2009,,,,,Sovereign,,,,,,
,Japan,2009,2009,9139,9139,,,,MON,Demonstration Project for Improved Electricity Services to the Low-Income Communities in Rural Areas,EARD,EAEN,09/09/2009,,,,,0,2.4,,,2.4,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,07/01/2009,,,No,,09/09/2009,11/09/2009,04/28/2013,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,9140,9140,,,,VIE,Formalizing Microfinance Institutions,SERD,SEPF,10/05/2009,,,,,0,1.5,,,1.5,1.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,08/12/2009,,,No,,10/05/2009,10/19/2009,10/19/2012,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,9141,9141,,,,NEP,Capacity Building for the Promotion of Legal Identity Among the Poor in Nepal,OGC,OGC,10/12/2009,,,,,0,2,,,2,2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,,06/18/2009,,,No,,10/12/2009,04/28/2010,04/28/2014,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,9142,9142,,,,TIM,Our Roads Our Future - Supporting Local Governance and Community-Based Infrastructure Works,PARD,PATE,11/20/2009,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,10/16/2009,,,No,,11/20/2009,03/12/2010,01/31/2014,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,9143,9143,,,,SRI,Improving Connectivity to Support Livelihoods and Gender Equality,SARD,SLRM,12/14/2009,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,10/16/2009,,,No,,12/14/2009,02/16/2010,10/31/2012,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,9144,9144,,,,NEP,Flour Fortification in Chakki Mills,SARD,SAER,12/09/2009,,,,,0,1.8,,,1.8,1.8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/16/2009,,,No,,12/09/2009,03/11/2010,09/30/2013,,Under Administration,Sovereign,,,,,,
,Japan,2009,2009,,2450,40538,,,PHI,Development Policy Support Program (Subprogram 2),SERD,,05/08/2009,250,0,0,,250,,100,,100,,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600,Public Sector Management,,,,,,,,05/08/2009,11/18/2008,,,,Sovereign,,Succesful,,,"Anchor loan approved 30 Sep 2008. Ref RRP for subprogram 3. Procedural Arrangement between JICA and ADB signed 8May09 (Yen 9,293,000,000). PCR Dec2010.","DR 2009. para on JPN cof, pp 36."
,Japan,2009,2009,,2521,43009,,,INO,Public Expenditure Support Facility Program,SERD,SEFM,06/03/2009,1000,0,0,,1000,,1500,,1500,,Non-DVA,,,Bilateral,Loan,OCR,3600,Public Sector Management,,,,,,,,06/03/2009,,,,,Sovereign,,,,,,
,Japan,2009,2009,,2523,43096,,,MON,Social Sectors Support Program,EARD,EASS,06/24/2009,0,43.1,16.9,,43.1,,30,,30,,DVA,PS,Collaborative,Bilateral,Loan,ADF,3400,Health and Social Protection,,,,,,,,06/24/2009,07/15/2009,,,,Sovereign,,Successful,,,GOJ thru JICA will provide $30m in 2009 and $20m in 2010 (ref final RRP) PA under preparation.,"DR 2009. para on JPN cof, pp 36."
,Japan,2010,2010,2560 (CL),2560,41122,M0034,,GEO,"Road Corridor Investment Program, Tranche 1",CWRD,CWTC,01/14/2010,0,118.8,0,,118.8,,170,,170,170,DVA,Others,Collaborative,Bilateral,Loan,ADF,3700,Transport and ICT,,,01/14/2010,,,,,01/14/2010,12/01/2009,,,Approved,Sovereign,,,,,Anchor ADB project approved 6 Oct 2009; MFF-0034. Procedural Agreement signed 14Jan2010. JICA cf for tranche 1 (ref MA's 21Jul10 email).,"DR 2010. para on RCI and on new proj, pp 28."
,Japan,2010,2010,2701 (CL),2701-2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,539,76,0,,615,,300,,300,,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,"ML agreed to sign MOU among ADB, WB, JICA (ref MA's 18Apr10 update","DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11."
,Japan,2010,2010,8244,2629/2630/8244,43151,,,UZB,Talimarjan Power,CWRD,CWEN,04/20/2010,340,10,0,,350,,300,,300,,DVA,,Partial Administration,Bilateral,Loan,OCR,3200,Energy,,,,,,,,04/20/2010,07/23/2010,,,,Sovereign,Joint,,,,,DR 2009. para on FCA pp 29.
,Japan,2010,2010,8251,2697/8251,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People's Republic of China International Transit Corridor] Investment Program - Tranche 3 ,CWRD,,11/15/2010,173,0,0,,173,,68,,68,68,DVA,,Partial Administration,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/15/2010,06/15/2011,,,,Sovereign,,,,,,"DR 2010. para on RCI-cross border infra and on new proj, pp 28; para in CWRD section, pp 8."
,Japan,2010,2010,9145,9145,,,,IND,Supporting Microentrepreneurship for Women's Empowerment,SARD,SAPF,05/25/2010,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3500,Industry and Trade,,,03/11/2010,,,No,,05/25/2010,07/02/2010,06/30/2013,,Under Administration,Sovereign,,,,,,
,Japan,2010,2010,9146,9146,,,,BHU,Farm Roads to Support Poor Farmers' Livelihoods,SARD,SAER,07/14/2010,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,05/31/2010,,,No,,07/14/2010,08/02/2010,08/02/2013,,Under Administration,Sovereign,,,,,,
,Japan,2010,2010,9147,9147,,,,IND,Improving Small Farmers' Access to Market in Bihar and Maharashtra,SARD,SAER,07/30/2010,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,02/05/2010,,,No,,07/30/2010,,,,Approved,Sovereign,,,,,,
,Japan,2010,2010,9148,9148,,,,RMI,Improved Energy Supply for Poor Households,PARD,PATE,08/06/2010,,,,,0,1.76,,,1.76,1.76,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,05/31/2010,,,No,,08/06/2010,09/08/2010,12/31/2012,,Under Administration,Sovereign,,,,,,
,Japan,2010,2010,9149,9149,,,,BHU,Upgrading Schools and Integrated Disaster Education Project,SARD,SAHS,08/12/2010,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,06/24/2010,,,No,,08/12/2010,08/23/2010,08/22/2013,,Under Administration,Sovereign,,Highly Successful,,,,
,Japan,2010,2010,9150,9150,,,,SRI,Post-Conflict Emergency Assistance for Livelihood Restoration of Resettled Internally Displaced People in the North,SARD,SLRM,08/19/2010,,,,,0,2.5,,,2.5,2.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,07/01/2010,,,No,,08/19/2010,10/26/2010,04/25/2013,,Under Administration,Sovereign,,,,,,"DR 2012. box for JFPR, pp58."
,Japan,2010,2010,9151,9151,,,,REG,Social Protection of the Vulnerable in the Pacific,PARD,PAUS,09/13/2010,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,06/10/2010,,,No,,09/13/2010,01/18/2011,09/13/2013,,Under Administration,Sovereign,,,,,"Cook Islands, Marshall Islands, and Tonga",
,Japan,2010,2010,9152,9152,,,,MON,Promoting Inclusive Financial Services for the Poor,EARD,EAPF,12/17/2010,,,,,0,2.5,,,2.5,2.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,11/09/2010,,,No,,12/17/2010,,,,Approved,Sovereign,,,,,,
,Japan,2010,2010,,2545,40538,,,PHI,Development Policy Support Program (Subprogram 3),SERD,,04/14/2010,250,0,0,,250,,100,,100,100,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600,Public Sector Management,,,,,,,,04/14/2010,10/06/2009,,12/31/2009,,Sovereign,Parallel,Succesful,,,PA was signed 14Apr2010.  PCR Dec2010. Anchor ADB project approved 15 Sep 2009,DR 2010. para on governance pp 41.
,Japan,2010,2010,,2723,43211,,,INO,Sixth Development Policy Support Program,SERD,,12/14/2010,200,0,0,,200,,100,,100,,Non-DVA,,,Bilateral,Loan,OCR,3600,Public Sector Management,,,,,,,,12/14/2010,,,,,Sovereign,,,,,non DVA - no need to sign MOU ref MA's comments 11Oct10.,
,Japan,2011,2011,254,2453/2454/0253/0254,40517-013,,,BAN,Public-Private Infrastructure Development Facility,SARD,SAPF,05/17/2011,,,,1.3,1.3,2,,,2,,DVA,,Full Administration,Bilateral,Grant,ATF,3200,Energy,,,,,,,,05/17/2011,02/24/2009,,,,Sovereign,,,,,,
,Japan,2011,2011,2756 (CL),2756,42171-013,,,BAN,Khulna Water Supply,SARD,SAUW,06/14/2011,,75,,,75,,184,,184,,DVA,,Collaborative,Bilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,06/14/2011,01/04/2012,,,,Sovereign,,,,,,
,Japan,2011,2011,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,320,,,320,30,,,30,,DVA,,Collaborative,Bilateral,Grant,ADF,3100,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,,"DR 2011. para on grant cof pp 13,15."
,Japan,2011,2011,9153,9153,42149-012,,,BAN,Institutional Support for Migrant Workers' Remittance,SARD,SAPF,01/18/2011,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,,,,No,,01/18/2011,,,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9154,9154,44082-012,,,SRI,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi,SARD,SAUD,02/04/2011,,,,,0,2,,,2,2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,12/22/2010,,,No,,02/04/2011,08/01/2011,06/30/2014,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9155,9155,44134-012,,,BHU,Advancing Economic Opportunities of Women and Girls,SARD,SAOD,02/04/2011,,,,,0,1.95,,,1.95,1.95,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,12/22/2010,,,No,,02/04/2011,05/09/2011,01/31/2014,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9156,9156,44363-012,,,CAM, Improving Market Access for the Poor in Central Cambodia,SERD,SEHS,02/16/2011,,,,,0,1.9,,,1.9,1.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3500,Industry and Trade,,,12/22/2010,,,No,,02/16/2011,04/05/2011,03/01/2014,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9157,9157,43103-012,,,NEP,Reducing Child Malnutrition through Social Protection,SARD,NRM,02/28/2011,,,,,0,2,,,2,2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,11/09/2010,,,No,,02/28/2011,06/08/2011,12/31/2014,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9158,9158,44135-012,,,REG," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka",SARD,SLRM,03/18/2011,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,12/27/2010,,,No,,03/18/2011,,,,Approved,Sovereign,,,,,,
,Japan,2011,2011,9159,9159,42321-012,,,NEP,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,SARD,NRM,03/30/2011,,,,,0,2.7,,,2.7,2.7,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,01/28/2011,,,No,,03/30/2011,06/08/2011,06/08/2015,,Under Administration,Sovereign,,,,,,
,Japan,2011,2011,9160,9160,44129-012,,,REG,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle,SERD,SEER,11/02/2011,,,,,0,2,,,2,2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,06/01/2011,,,No,,11/02/2011,,,,Approved,Sovereign,,,,,Indonesia and the Philippines,
,Japan,2011,2011,,2785/0259/8274,41509-013,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,20,,,20,1.2,,,1.2,,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,Health Systems,,,,,,09/30/2011,,,,,Sovereign,,,,,,"DR 2011. new proj pp 15, 17."
,Japan,2012,2012,9161,9161,45127-001,,,PHI,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities,SERD,SEHS,02/20/2012,,,,,0,1.5,,,1.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,Pre-Primary and Basic Education,11/30/2011,,,No,,02/20/2012,,,,Under Administration,Sovereign,,,,,,
,Japan,2012,2012,9162,9162,45320-001,,,PHI,Promoting Partnerships and Innovation in Poor and Underserved Communities,SERD,SEHS,04/09/2012,,,,,0,1.5,,,1.5,1.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,02/10/2012,,,No,,04/09/2012,,,,Approved,Sovereign,,,,,,
,Japan,2012,2012,9163,9163/0288,41504-024,,,PNG,Improved Energy Access for Rural Communities,PARD,PATE,04/19/2012,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,Conventional Energy,,,,No,,04/19/2012,,,,,Sovereign,,,,,,"DR 2012. para in PARD section on New Jint Initiatives, pp 16."
,Japan,2012,2012,9164,9164,45145-001,,,MON,Establishment of Climate-Resilient Rural Livelihoods,EARD,EAER,06/08/2012,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,06/08/2012,,,,Under Administration,Sovereign,,,,,,
,Japan,2012,2012,9165,9165,36222-013,,,AFG,Community-Based Irrigation Rehabilitation and Development,CWRD,CWER,07/06/2012,,,,,0,10,,,10,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",05/30/2012,,,No,,07/06/2012,,,,,Sovereign,,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10."
,Japan,2012,2012,9166,9166,45520-001,,,SAM,Community Sanitation,PARD,PAUS,07/31/2012,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,04/14/2011,,,No,,07/31/2012,,,,Approved,Sovereign,,,,,,
,Japan,2012,2012,9167,9167,45259-001,,,AFG,Enhanced Agricultural Value Chains for Sustainable Livelihoods,CWRD,CWER,09/19/2012,,,,,0,18.5,,,18.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,Agricultural Production and Markets,,,,No,,09/19/2012,,,,Under Administration,Sovereign,,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10."
,Japan,2012,2012,9168,9168,43069-012,,,IND,Livelihood Improvement for River Erosion Victims in Assam,SARD,SAER,10/05/2012,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,Agriculture and Rural Sector Development,06/14/2012,,,No,,10/05/2012,,,,Under Administration,Sovereign,Joint,,,,,
,Japan,2012,2012,9169,9169,44359-012,,,PHI,Agribusiness Development Assistance for Smallholders in Mindanao,SERD,SEER,12/11/2012,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,Agricultural Production and Markets,,,,No,,12/11/2012,,,,,Sovereign,,,,,,
,Japan,2012,2012,,2857/2858,45094-001,,,TIM,Road Network Upgrading,PARD,PATE,03/30/2012,30.85,9.15,,,40,,68.7,,68.7,,DVA,,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,03/30/2012,,,,,Sovereign,,,,,waiting for MOU for reclassification to DVA-collab,"DR 2012. para in PARD section on New Joint Initiatives, pp 17."
,Japan,2012,2012,,2872,43396-013,,,PHI,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1,SERD,SEPF,06/26/2012,350,,,,350,,100,,100,,DVA,,Collaborative,Bilateral,Loan,,3600,Public Sector Management,,Economic and Public Affairs Management,,,,No,,06/26/2012,,,,,Sovereign,,,,,"DVA-collaborative, as of 02 July no confirmation of commitment yet",
,Japan,2013,2012,9170,9170,46010-001,,,KGZ,Women's Entrepreneurship Development,CWRD,KYRM,01/14/2013,",",",",",",",",0,1.5,,,1.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,Microfinance,09/26/2012,,,No,,01/14/2013,,,,,Sovereign,,,,,,
,Japan,2013,2013,365,365,46265-001,,,VIE,Energy Efficiency for Ho Chi Minh City Water Supply,SERD,SEUW,10/17/2013,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2013,,,,,Sovereign,Joint,,,,,
,Japan,2013,2013,3045 (CL),3045/3046,42180-013,,,BAN,Second Public-Private Infrastructure Development Facility,SARD,SAPF,10/17/2013,100,10,,,110,,96,,96,,DVA,Others,Collaborative,Bilateral,Loan,,3300,Finance,,,,,,No,,10/17/2013,,,,,Sovereign,Parallel,,,,,
,Japan,2013,2013,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,400,,,,400,,200,,200,,DVA,PS,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,Parallel,,,,,
,Japan,2013,2013,9171,9171,46077-001,,,TAJ,Improved Maternal and Child Health through Connectivity,CWRD,TJRM,03/07/2013,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,03/07/2013,,,,,Sovereign,,,,,,
,Japan,2013,2013,9172,9172,46284-001,,,BAN,Pilot Project on Weather Index-Based Crop Insurance,SARD,SAER,03/27/2013,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,Agriculture and Rural Sector Development,01/17/2013,,,No,,03/27/2013,,,,,Sovereign,,,,,,
,Japan,2013,2013,9173,9173,46074-001,,,REG,Greater Mekong Subregion: Livelihood Support for Corridor Towns,SERD,SEUW,05/21/2013,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,12/12/2012,,,No,,05/21/2013,,,,,Sovereign,Joint,,,,,
,Japan,2013,2013,9174,9174,47311-001,,,MYA,Enhancing Rural Livelihoods and Incomes,SERD,SEER,12/11/2013,,,,,0,12,,,12,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,,,,No,,12/11/2013,,,,,Sovereign,Joint,,,,,
,Japan,2013,2013,9175,9175,47338-001,,,PHI,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda ,SERD,PHCO,12/13/2013,,,,,0,20,,,20,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,,,,No,,12/13/2013,,,,,Sovereign,Joint,,,,,
,Japan,2013,2013,9176,9176,46490-001,,,MYA,Greater Mekong Subregion (GMS) Capacity Building for HIV/AIDs Prevention,SERD,SEHS,12/11/2013,,,,,0,10,,,10,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,Social Protection,,,,No,,12/11/2013,,,,Under Administration,Sovereign,Joint,,,,,
,Japan,2013,2013,,2730,41414-043,,,VIE,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1,SERD,SETC,08/19/2013,350,,,,350,,181.45,,181.45,,DVA,PS,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Road Transport,01/25/2012,,,Yes,,08/19/2013,,,,,Sovereign,Parallel,,,,PA signed 25 January 2012; SG and MJS met with Project Lead Yasushi Tanaka last 23 Aug 2013; ML advised to record PA on 19 Aug 2013 when their DG approved continuation of the MFF.  It was agreed that it will not be good to record this cofinancing for 2012 as 2012 figures have been published already.,
,Japan,2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,150,,,150,,184,,184,,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,,
,Japan,2013,2013,,3025/3026,44458-013,,,UZB,Amu Bukhara Irrigation System Rehabilitation,CWRD,CWER,09/25/2013,174,46,,,220,,100,,100,,DVA,,Collaborative,Bilateral,Loan,,3000,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,09/25/2013,,,,,Sovereign,Parallel,,,,,
,Japan,2014,2014,383,3117/0383,39399-034,,,NEP,South Asia Tourism Infrastructure Development ﾖ Additional Financing,SARD,NRM,03/28/2014,,,,,0,3,,,3,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport,"3704, 3701",Air Transport,,,,Yes,,03/28/2014,,,,,Sovereign,,,,,,
,Japan,2014,2014,9177,9177,47187-001,,,MYA,Pro-Poor Community Infrastructure and Basic Services,SERD,SEUW,02/27/2014,,,,,0,4,,,4,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,,11/28/2013,,,No,,02/27/2014,,,,,Sovereign,Joint,,,,,
,Japan,2015,2015,9180,9180,49202-001,,,NEP,Disaster Risk Reduction and Livelihood Restoration for Earthquake-Affected Communities,SARD,NRM,10/07/2015,,,,,0,15,,,15,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,Education Sector Development,,,,No,,10/07/2015,,,,,Sovereign,Joint,,,,,
,Japan,2015,2015,,3186,46268-002,,,IND,Clean Energy Finance Investment ProgramﾗTranche 1 ,SARD,SAPF,01/16/2015,,,,,0,,280,,280,,DVA,PS,Collaborative,Bilateral,Loan,,3300,Finance,,Infrastructure Finance and Investment Funds,01/16/2015,,,Yes,,01/16/2015,,,,,Sovereign,Parallel,,,,,
,Japan,2016,2016,,9185,49334,,,MYA,Emergency Support for Chin State Livelihoods Restoration Project,SERD,SEER,04/22/2016,,,,,0,10,,,10,10,DVA,PS,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Agricultural Drainage,03/17/2016,,,,,04/22/2016,,,,Approved,Sovereign,Joint,,,,,
,Japan,No Approval Date,2003,,2009,,,,BHU,Rural Electrification and Network Expansion,SARD,SAEN,,0,0,0,0,0,1.7,,,1.7,,Non-DVA,,,Bilateral,Grant,,3200,Energy,,,,,,,,,,,,,Sovereign,,,,,Parallel CF -JICA Y184.2 m ($1.7m) for its study (Integrated Master Plan Study on District wise Electrification by Renewable Energy in BHU) ref HK e-mail 1Oct03).File to OAS Aug10.,
,Japan,No Approval Date,2003,,2074-2075,,,,INO,Second Decentralized Health Services,SERD,SESS,,0,0,0,0,0,5,,,5,,Non-DVA,,,Bilateral,Grant,,3400,Health and Social Protection,,,,,,,,,,,,,Sovereign,,,,,,
,"Japan,JFJCM",2015,2015,429,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,SARD,SAEN,03/19/2015,,,38,,0,5,,,5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,Yes,,03/19/2015,,,,,Sovereign,Joint,,,,,
,"Japan,JFPR",2014,2014,9178,9178,46009-002,,,CAM,Community-Based Disaster Risk Reduction,SERD,CARM,10/03/2014,,,,,0,2.5,,,2.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,Decentralization,06/30/2014,,,No,,10/03/2014,,,,,Sovereign,Joint,,,,,
,"Japan,JFPR",2014,2014,9179,9179,46270-002,,,THA,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin,SERD,SEUW,10/22/2014,,,,,0,2,,,2,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,,04/03/2014,,,No,,10/22/2014,,,,,Sovereign,,,,,,
,"Japan,JFPR",2015,2015,9181,9181,49320-001,,,VAN,Cycone Pam School Reconstruction,PARD,PLCO,11/16/2015,,,,,0,5,,,5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,10/21/2015,,,No,,11/16/2015,,,,Approved,Sovereign,Joint,,,,,
,"Japan,JFPR",2015,2015,9182,9182,49168-001,,,MON,Improving School Dormitory Environment for Primary Students in Western Region,EARD,EASS,11/26/2015,,,,,0,3,,,3,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,,,,No,,11/26/2015,,,,,Sovereign,Joint,,,,,
,"Japan,JFPR",2015,2015,9183,9183,48216-001,,,MON,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park,EARD,EAER,12/07/2015,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,09/04/2015,,,No,,12/07/2015,,,,Approved,Sovereign,Joint,,,,,
,"Japan,JFPR",2015,2015,,9184,48322-001,,,MYA,Economic Empowerment of the Poor and Women in the East-West Economic Corridor,SERD,SEOD,12/15/2015,,,,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,08/20/2015,,,No,,12/15/2015,,,,Approved,Sovereign,,,,,,
,"Japan,JICA",2014,2014,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),CWRD,CWEN,06/04/2014,,,,,0,,49,,49,,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,Energy Sector Development,06/04/2014,,,Yes,,06/04/2014,,,,,Sovereign,Parallel,,,,,
,"Japan,JICA",2014,2014,,3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,140,90,,,230,,150,,150,,DVA,PS,Collaborative,Bilateral,Loan,,3600,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,Parallel,,,,,
