Donor,Cofinancier/ Source,Approval Year,Approval Numbers,Product Approval Number,Proj No,Country Mnemonic,Project Title,Source,TA-Type,CF Mode,Bank,JSF,CF Amnt,Approval Date CF,Approval Date Bank,Date of Agreement Letter,Approval Date Bank.1,Approval Date CF.1,DMC,Department,Division,Donor Type,TA-Type.1,Type of Cofinancing,AgreementType,Source Type,Sector Code,Sector,Sub Sector Code,Sub Sector,Date of Agreement Letter.1,Theme 1,Theme 2,Theme 3,Theme 4,SubTheme 1,SubTheme 2,SubTheme 3,SubTheme 4,Publications,TCR Rating,Validation Rating,TPER Rating
JFPR,JFPR,2011,7870,,4339901,PHI,Strengthening Institutions for an Improved Investment Climate,JFPR,,E,,,1000,31 Mar 2011,,,09/26/2011,03/31/2011,PHI,SERD,SEPF,Single Donor,PA,E,C,,3500,Industry and Trade,3511,Industry and Trade Sector Development,,,,,,,,,,,,,
JFPR,JFPR,2011,7871,,3704906,INO,Integrated Citarum Water Resources Management Investment Program Periodic Financing Request 2,JFPR,,E,,,1500,25 Feb 2011,,,09/23/2011,02/25/2011,INO,SERD,SEAE,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
JFPR,JFPR,2011,7882,,4500901,MON,Fifth Health Sector Development,JFPR,,E,,,700,05 Sep 2011,,,10/07/2011,09/05/2011,MON,EARD,EASS,Single Donor,PP,E,C,,3400,Health and Social Protection,3413,Health Systems,,,,,,,,,,,,,
JFPR,JFPR,2011,7885,,4400301,VIE,Support to Central and Local Governments to Implement Urban Environmental Improvement Programs,JFPR,,E,,,2000,21 Sep 2011,,,10/12/2011,09/21/2011,VIE,SERD,SEUW,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7887,,4444403,BHU,Green Power Development II,JFPR,,E,,,1000,16 Sep 2011,,,10/10/2011,09/16/2011,BHU,SARD,SATC,Single Donor,PP,E,C,,3200,Energy,3202,Large Hydropower,,,,,,,,,,,,,
JFPR,JFPR,2011,7890,,,BAN,"Strengthening the Resilience of the Urban Water Supply, Drainage, and Sanitation to Climate Change in Coastal Towns",JFPR,,E,,,700,23 Sep 2011,,,10/18/2011,09/23/2011,BAN,SARD,SAUW,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,Successful,,
JFPR,JFPR,2011,7900,,4504401,VIE,Improvement of Road Safety and Climate Resilience on National Highways,JFPR,,E,,,1500,27 Oct 2011,,,10/27/2011,10/27/2011,VIE,SERD,SETC,Single Donor,PP,E,C,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,
JFPR,JFPR,2011,7909,,4506401,INO,Implementing Effective Climate Change Adaptation Policy,JFPR,,E,,,700,12 Oct 2011,,,11/08/2011,10/12/2011,INO,SERD,IRM,Single Donor,CD,E,C,,3900,Multisector,3900,Multisector,,Environmental Sustainability,,,,,,,,,,,
JFPR,JFPR,2011,7917,,4445802,UZB,Amu Bukhara Irrigation System Rehabilitation,JFPR,,E,225,,1500,25 Nov 2011,,,11/15/2011,11/25/2011,UZB,CWRD,CWER,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,,,,,,,,,,,,
JFPR,JFPR,2011,7920,,4408701,REG,Supporting Water Operators' Partnerships in Asia and the Pacific,JFPR,,E,,,2000,12 Oct 2011,,,11/16/2011,10/12/2011,REG,SERD,SEUW,Single Donor,R-CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7926,,4432402,VIE,Water Resources Development in the Mid- and Northeast Red River Delta,JFPR,,E,,,800,10 Nov 2011,,,11/24/2011,11/10/2011,VIE,SERD,SEER,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,,,,,,,,,,,,
JFPR,JFPR,2011,7927,,4447101,FSM,Strengthening Infrastructure Planning and Implementation,JFPR,,E,,,700,19 Oct 2011,,,11/23/2011,10/19/2011,FSM,PARD,PAUS,Single Donor,CD,E,C,,3900,Multisector,3900,Multisector,,,,,,,,,,,,,
JFPR,JFPR,2011,7936,,4352401,NEP,Kathmandu Valley Urban Environment Improvement,JFPR,,E,,,700,18 Oct 2011,,,12/01/2011,10/18/2011,NEP,SARD,SAUW,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7940,,43452-012,TON,Outer Island Renewable Energy,JFPR,,E,,,500, ,,,12/02/2011,,TON,PARD,PATE,Single Donor,PP,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
JFPR,JFPR,2011,7947,,4353601,IND,Introducing Best Practices for Septage Management,JFPR,,E,,,700,10 Nov 2011,,,12/02/2011,11/10/2011,IND,SARD,SAUW,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7950,,4512402,REG,Smart Grid Capacity Development,JFPR,,E,,,1400,23 Nov 2011,,,12/07/2011,11/23/2011,REG,SARD,SAEN,Single Donor,R-CD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
JFPR,JFPR,2011,7964,,4504101,LAO,Vientiane Sustainable Urban Transport,JFPR,,E,,,700,12 Dec 2011,,,12/12/2011,12/12/2011,LAO,SERD,SETC,Single Donor,PP,E,C,,3700,Transport and ICT,3711,Urban Transport,,,,,,,,,,,,,
JFPR,JFPR,2011,7967,,4507201,REG,Innovations for More Food with Less Water,JFPR,,E,,,1400,28 Oct 2011,,,12/08/2011,10/28/2011,REG,SDCC,SDCC-AR,Single Donor,R-RD,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
JFPR,JFPR,2011,7970,,45007-001,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program,JFPR,,E,,,1500, ,,,12/13/2011,,MON,EARD,EASS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7979,,4507801,BAN,Strategic Master Plan for Chittagong Port,JFPR,,E,,,1000,12 Oct 2012,,,12/14/2011,10/12/2012,BAN,SARD,SATC,Single Donor,PA,E,C,,3700,Transport and ICT,3702,Water Transport,,,,,,,,,,,,,
JFPR,JFPR,2011,7989,,4246601,BAN,Skills for Employment,JFPR,,E,,,700,07 Dec 2011,,,12/14/2011,12/07/2011,BAN,SARD,SAHS,Single Donor,PP,E,C,,3100,Education,3105,Technical Education and Vocational Skills Training,,,,,,,,,,,,,
JFPR,JFPR,2011,7992,,3817601,NEP,Skills Development,JFPR,,E,,,500, ,,,12/09/2011,,NEP,SARD,SAHS,Single Donor,PP,E,C,,3100,Education,3105,Technical Education and Vocational Skills Training,,,,,,,,,,,,,
JFPR,JFPR,2011,7993,,4325101,INO,Metropolitan Sanitation Management and Health II,JFPR,,E,,,1000,01 Dec 2011,,,12/13/2011,12/01/2011,INO,SERD,SEUW,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2011,7998,,4512801,THA,Development of a Strategic Framework for Financial Inclusion,JFPR,,E,,,1500,13 Dec 2011,,,12/15/2011,12/13/2011,THA,SERD,SEPF,Single Donor,PA,E,C,,3300,Finance,,,,,,,,,,,,,,,
JFPR,JFPR,2011,8012,,4415811,REG,Enabling Climate Change Responses in Asia and the Pacific - Disaster Risk Finance for Total Climate Risk (Subproject 6),JFPR,,E,,,1000, ,,,12/09/2011,,REG,SDCC,SDGG,Single Donor,R-PA,E,C,,3300,Finance,3315,Finance Sector Development,,,,,,,,,,,,,
JFPR,JFPR,2011,8038,,4425501,PHI,Capacity Development of Financial Regulators,JFPR,,E,,,1000, ,,,12/16/2011,,PHI,SERD,SEPF,Single Donor,CD,E,C,,3300,Finance,3315,Finance Sector Development,,,,,,,,,,,,,
JFPR,JFPR,2011,8045,,4514901,INO,Improving Domestic Connectivity,JFPR,,E,,,500, ,,,12/12/2011,,INO,SERD,IRM,Single Donor,PA,E,C,,3700,Transport and ICT,3702,Water Transport,,,,,,,,,,,,,
JFPR,JFPR,2012,8050,,43448-012,NEP,Bagmati River Basin Improvement,JFPR,,E,,,800,26 Dec 2011,,,01/24/2012,12/26/2011,NEP,SARD,SAER,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Environmental Sustainability,Economic Growth,Social Development,Capacity Development,Natural Resources Conservation,"Promoting macroeconomic stability,Widening Access To Markets and Economic Opportunities",Disaster Risk Management,"Institutional Development,Organizational Development",,,,
JFPR,JFPR,2012,8054,,44167-012,BAN,Main River Flood and Bank Erosion Risk Management Program,JFPR,,E,,,1200,26 Dec 2011,,,02/21/2012,12/26/2011,BAN,SARD,SAER,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Social Development,Governance,Capacity Development,"Promoting macroeconomic stability,Knowledge,Science,And Technological Capacities","Other vulnerable groups,Disaster Risk Management","Economic and Financial governance,Civil Society Participation",Institutional Development,,,,
JFPR,JFPR,2012,8057,,4222101,INO,Local Government Finance and Governance Reform,JFPR,,E,,,800,12 Oct 2011,,,02/20/2012,10/12/2011,INO,SERD,SEPF,Single Donor,CD,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Governance,Economic Growth,Capacity Development,,Economic and Financial governance,Promoting Economic Efficiency and Enabling Business environment,Institutional Development,,,,,
JFPR,JFPR,2012,8060,,4511901,REG,Promoting Innovations in Wastewater Management in Asia and the Pacific,JFPR,,E,,,2000,28 Oct 2011,,,03/15/2012,10/28/2011,REG,SDCC,SDAS,Single Donor,R-CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Environmental Sustainability,Private Sector Development,Capacity Development,,Eco-Efficiency,Public Private Partnerships,"Client Relations,Network,And Partnership Development",,,,,
JFPR,JFPR,2012,8066,,4505201,REG,Quality Primary Education in the North Pacific,JFPR,,E,,,1350,07 Feb 2012,,,03/29/2012,02/07/2012,REG,PARD,PAUS,Single Donor,R-CD,E,C,,3100,Education,3106,Education Sector Development,,Social Development,Capacity Development,,,Human Development,Institutional Development,,,,,,
JFPR,JFPR,2012,8072,,4216907,BAN,Transit-Oriented Development and Improved Traffic Management in Gazipur City Corporation,JFPR,,E,,,1000,13 Mar 2012,,,04/17/2012,03/13/2012,BAN,SARD,SAUW,Single Donor,CD,E,C,,3700,Transport and ICT,3711,Urban Transport,,Economic Growth,Social Development,Environmental Sustainability,Private Sector Development,"Promoting Economic Efficiency and Enabling Business environment,Widening Access To Markets and Economic Opportunities",Involuntary Resettlement,"Urban Environmental Improvement,Eco-Efficiency","Policy reforms,Public Private Partnerships",,,,
JFPR,JFPR,2012,8074,,4416401,REG,Applying Remote Sensing Technology in River Basin Management,JFPR,,E,,,2000,01 Nov 2010,,,04/27/2012,11/01/2010,REG,SDCC,SDAS,Single Donor,R-CD,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
JFPR,JFPR,2012,8075,,4308001,REG,Improving Road Saferty in the Association of Southeast Asian Nations,JFPR,,E,,,1500,28 Oct 2011,,,04/25/2012,10/28/2011,REG,SERD,SETC,Single Donor,R-CD,E,C,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,
JFPR,JFPR,2012,8076,,4224402,BHU,Strengthening Royal Monetary Authority's Regulatory Capacity for Nonbank Financial Institutions,JFPR,,E,,,525,30 Mar 2012,,,05/11/2012,03/30/2012,BHU,SARD,SAPF,Single Donor,CD,E,C,,3300,Finance,3301,Banking Systems,,,,,,,,,,,,,
JFPR,JFPR,2012,8079,,4510001,REG,Trade Facilitation Support for ASEAN Economic Community Blueprint Implementation (Greater Mekong Subregion/Indonesia-Malaysia-Thailand Growth Triangle),JFPR,,E,,,2000,30 Mar 2012,,,05/17/2012,03/30/2012,REG,SERD,SERC,Single Donor,R-PA,E,C,,3500,Industry and Trade,3504,Trade and Services,,Regional Cooperation and Integration,Capacity Development,Economic Growth,,"Crossborder Infrastructure,Trade and Investments","Institutional Development,Client Relations,Network,And Partnership Development",Widening Access To Markets and Economic Opportunities,,,,,
JFPR,JFPR,2012,8080,,4526401,MON,Logistics Capacity Development,JFPR,,E,,,900,26 Dec 2011,,,05/22/2012,12/26/2011,MON,EARD,EATC,Single Donor,CD,E,C,,3700,Transport and ICT,3711,Urban Transport,,Economic Growth,Capacity Development,,,Promoting Economic Efficiency and Enabling Business environment,Institutional Development,,,,,,
JFPR,JFPR,2012,8086,,4527501,LAO,Supporting Decentralized Rural Infrastructure Development,JFPR,,E,,,1000,30 Mar 2012,,,05/29/2012,03/30/2012,LAO,SERD,SEER,Single Donor,CD,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Environmental Sustainability,Gender Equity,Capacity Development,Widening Access To Markets and Economic Opportunities,Natural Resources Conservation,Gender Equity In (Human) Capabilities,Institutional Development,,,,
JFPR,JFPR,2012,8108,,4223504,VIE,Supporting Microfinance Development Program,JFPR,,E,,,500,05 Sep 2011,,,07/05/2012,09/05/2011,VIE,SERD,SEPF,Single Donor,PA,E,C,,3300,Finance,3304,Microfinance,,Economic Growth,Capacity Development,Governance,Private Sector Development,"Promoting Economic Efficiency and Enabling Business environment,Widening Access To Markets and Economic Opportunities","Institutional Development,Organizational Development,Client Relations,Network,And Partnership Development",Economic and Financial governance,"Policy reforms,Public Private Partnerships",,,,
JFPR,JFPR,2012,8110,,4042303,IND,Institutional Development for Rural Roads Asset Management,JFPR,,E,1000,,1300,02 May 2012,,,07/12/2012,05/02/2012,IND,SARD,SATC,Single Donor,CD,E,C,,3700,Transport and ICT,3701,Road Transport,,Economic Growth,Environmental Sustainability,Private Sector Development,Capacity Development,Widening Access To Markets and Economic Opportunities,Natural Resources Conservation,Public Private Partnerships,Institutional Development,,,,
JFPR,JFPR,2012,8121,,4519601,CAM,Capacity Development for urban Management,JFPR,,E,,,700,30 Mar 2012,,,07/18/2012,03/30/2012,CAM,SERD,SEUW,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Environmental Sustainability,Capacity Development,,Promoting Economic Efficiency and Enabling Business environment,Urban Environmental Improvement,Institutional Development,,,,,
JFPR,JFPR,2012,8128,,4421201,BAN,Coastal Towns Infrastructure Improvement Project,JFPR,,E,,,900,25 Jun 2012,,,08/06/2012,06/25/2012,BAN,SARD,SAUW,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,,,,
JFPR,JFPR,2012,8143,,4447001,FSM,Pohnpei Port Development Project,JFPR,,E,,,600,22 May 2012,,,08/23/2012,05/22/2012,FSM,PARD,PATE,Single Donor,PP,E,C,,3700,Transport and ICT,3702,Water Transport,,,,,,,,,,,,,
JFPR,JFPR,2012,8144,,4224902,BAN,Capacity Building for Disaster Risk Finance,JFPR,,E,,,500,25 Jun 2012,,,08/28/2012,06/25/2012,BAN,SARD,SAPF,Single Donor,CD,E,C,,3300,Finance,3315,Finance Sector Development,,Social Development,Environmental Sustainability,Private Sector Development,Governance,Disaster Risk Management,Environmental Policy And Legislation,Policy reforms,Economic and Financial governance,,,,
JFPR,JFPR,2012,8168,,,REG,Implementation of Sustainable Transport in Asia and the Pacific - Promoting Socially Sustainable Transport through Improving Nonmotorized Transport (Subproject 4),JFPR,,E,,,2000,25 Feb 2011,,,09/19/2012,02/25/2011,REG,SDCC,SDAS,Single Donor,C-CD,E,C,,3700,Transport and ICT,,,,,,,,,,,,,,,
JFPR,JFPR,2012,8188,,46226-001,CAM,Country Systems in Procurement and Financial Management,JFPR,,E,,,1000,18 Jul 2012,,,10/04/2012,07/18/2012,CAM,SERD,CARM,Single Donor,CD,E,C,,3600,Public Sector Management,3601,Public Administration,,Governance,,,,"Public Administration (National,Decentralized,Regional)",,,,,,,
JFPR,JFPR,2012,8190,,46269-001,MYA,Trade Facilitation Support for ASEAN Economic Community Blueprint Implementation (Myanmar),JFPR,,E,,,225,20 Aug 2012,,,10/08/2012,08/20/2012,MYA,SERD,SERC,Single Donor,S-PA,E,C,,3500,Industry and Trade,3504,Trade and Services,,,,,,,,,,"DR 2012. line on 2012 Milestones, pp5; line in SERD section on New Initiatives, pp 24.",,,
JFPR,JFPR,2012,8194,,45042-003,THA,Accounting and Financial Management System Reform of Thailand's Railway Sector,JFPR,,E,,,950,18 Jul 2012,,,10/19/2012,07/18/2012,THA,SERD,SETC,Single Donor,PA,E,C,,3700,Transport and ICT,3703,Rail Transport (Non-Urban),,Economic Growth,Governance,Capacity Development,,Promoting Economic Efficiency and Enabling Business environment,Economic and Financial governance,Institutional Development,,,Successful,,
JFPR,JFPR,2012,8195,,45296-003,PHI,Davao Sustainable Urban Transport,JFPR,,E,,,1000,25 Jun 2012,,,10/19/2012,06/25/2012,PHI,SERD,SETC,Single Donor,PA,E,C,,3700,Transport and ICT,3711,Urban Transport,,Economic Growth,Environmental Sustainability,Private Sector Development,Capacity Development,Widening Access To Markets and Economic Opportunities,Urban Environmental Improvement,Policy reforms,Institutional Development,,,,
JFPR,JFPR,2012,8202,,45110-001,INO,Fiscal Aspect of Social Security Reform,JFPR,,E,,,800,01 May 2012,,,10/11/2012,05/01/2012,INO,SERD,SEPF,Single Donor,CD,E,C,,3600,Public Sector Management,3601,Public Administration,,Governance,Economic Growth,Social Development,Capacity Development,,,,Organizational Development,,,,
JFPR,JFPR,2012,8212,,45140-001,MON,Ulaanbaatar Urban Transport Capacity Development,JFPR,,E,,,1000,11 Jun 2012,,,11/08/2012,06/11/2012,MON,EARD,EATC,Single Donor,CD,E,C,,3700,Transport and ICT,3711,Urban Transport,,Environmental Sustainability,Capacity Development,,,Urban Environmental Improvement,Institutional Development,,,,,,
JFPR,JFPR,2012,8217,,46045-001,SOL,Strengthening Country Safeguard Systems in the Transport Sector,JFPR,,E,,,600,18 Sep 2012,,,11/16/2012,09/18/2012,SOL,PARD,PATE,Single Donor,CD,E,C,,3700,Transport and ICT,3712,Transport Management and Policies,,Capacity Development,Environmental Sustainability,,,Institutional Development,Environmental Policy And Legislation,,,,,,
JFPR,JFPR,2012,8221,,40540-014,BAN,Institutional Strengthening of the Roads and Highways Department,JFPR,,E,,,1500,29 Oct 2012,,,11/22/2012,10/29/2012,BAN,SARD,SATC,Single Donor,CD,E,C,,3700,Transport and ICT,3701,Road Transport,,Economic Growth,Environmental Sustainability,Regional Cooperation and Integration,Capacity Development,Promoting Economic Efficiency and Enabling Business environment,Global And Regional Transboundary Environmental Issues,Crossborder Infrastructure,Organizational Development,,,,
JFPR,JFPR,2012,8224,,45266,INO,Improving Access to Finance in Aceh and North Sumatra,JFPR,,E,,,800,18 Jul 2012,,,11/08/2012,07/18/2012,INO,SERD,IRM,Single Donor,CD,E,C,,3300,Finance,3304,Microfinance,,Economic Growth,,,,Widening Access To Markets and Economic Opportunities,,,,,,,
JFPR,JFPR,2012,8228,,43477-013,BAN,Enhancing Efficiency of the Capital Market,JFPR,,E,,,750,24 Sep 2012,,,11/28/2012,09/24/2012,BAN,SARD,SAPF,Single Donor,CD,E,C,,3300,Finance,3311,Money and Capital Markets,,Economic Growth,Private Sector Development,Governance,Capacity Development,"Promoting Economic Efficiency and Enabling Business environment,Widening Access To Markets and Economic Opportunities",Private Sector Investment,Economic and Financial governance,"Institutional Development,Organizational Development",,,,
JFPR,JFPR,2012,8238,,46162-001,REG,Strengthening Disaster and Climate Risk Resilience in Urban Development in the Pacific,JFPR,,E,,,650,07 Nov 2012,,,12/05/2012,11/07/2012,REG,PARD,PAUS,Single Donor,R-CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Environmental Sustainability,Capacity Development,Regional Cooperation and Integration,,Urban Environmental Improvement,"Institutional Development,Client Relations,Network,And Partnership Development",Other Regional Public Goods,,,,,
JFPR,JFPR,2012,8241,,46060-001,MON,Promoting Inclusive Growth,JFPR,,E,,,1000,07 Nov 2012,,,12/06/2012,11/07/2012,MON,EARD,EASS,Single Donor,PA,E,C,,3900,Multisector,3900,Multisector,,Economic Growth,Social Development,Governance,Capacity Development,Widening Access To Markets and Economic Opportunities,"Human Development,Other vulnerable groups",Civil Society Participation,Institutional Development,,,,
JFPR,JFPR,2012,8256,,46273-001,TIM,Preparing for Regional Economic Integration,JFPR,,E,,,850,07 Nov 2012,,,12/10/2012,11/07/2012,TIM,PARD,PAOD,Single Donor,CD,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Regional Cooperation and Integration,Capacity Development,Governance,,Trade and Investments,"Institutional Development,Client Relations,Network,And Partnership Development",Economic and Financial governance,,,,,
JFPR,JFPR,2012,8258,,45423-001,PHI,Capacity Building for Microinsurance,JFPR,,E,,,1000, ,,,12/11/2012,,PHI,SERD,SEPF,Single Donor,CD,E,C,,3300,Finance,3305,Insurance and Contractual Savings,,Economic Growth,,,,Widening Access To Markets and Economic Opportunities,,,,,,,
JFPR,JFPR,2012,8267,,46231-001,THA,Strengthening Integrated Water and Flood Management Implementation,JFPR,,E,,,1500, ,,,12/11/2012,,THA,SERD,TRM,Single Donor,PA,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Environmental Sustainability,Social Development,Governance,,Natural Resources Conservation,Disaster Risk Management,Economic and Financial governance,,,,,
JFPR,JFPR,2012,8279,,44447-012,IND,Preparing the Bond Guarantee Fund for India,JFPR,,E,,,800, ,,,12/17/2012,,IND,SARD,SAPF,Single Donor,CD,E,C,,3300,Finance,3315,Finance Sector Development,,Economic Growth,Regional Cooperation and Integration,Private Sector Development,Capacity Development,Promoting macroeconomic stability,Trade and Investments,Policy reforms,Institutional Development,,,,
JFPR,JFPR,2012,8299,,45010-001,MON,Reforms in Technical and Vocational Education and Training in Mongolia,JFPR,,E,,,1000,22 Nov 2012,,,12/19/2012,11/22/2012,MON,EARD,EASS,Single Donor,PP,E,C,,3100,Education,3105,Technical Education and Vocational Skills Training,,Social Development,Capacity Development,,,Human Development,Institutional Development,,,,,,
JFPR,JFPR,2012,8310,,46008-001,VIE,Capacity Building and Coordination improvement for Effective Regional Cooperation Investment Planning,JFPR,,E,,,800, ,,,12/21/2012,,VIE,SERD,VRM,Single Donor,CD,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
JFPR,JFPR,2013,8326,,44252-012,INO,"Enhancing Financial Sector Governance, Risk Management, and Depth",JFPR,,E,,,1000,09 Oct 2012,,,01/24/2013,10/09/2012,INO,SERD,SEPF,Single Donor,CD,E,C,,3300,Finance,3315,Finance Sector Development,,Economic Growth,Private Sector Development,Governance,Capacity Development,Promoting Economic Efficiency and Enabling Business environment,Policy reforms,Economic and Financial governance,"Institutional Development,Organizational Development",,,,
JFPR,JFPR,2013,8327,,46370-001,MYA,Developing the Asset Management Program for Myanmar Roads,JFPR,,E,,,1365,13 Aug 2012,,,02/20/2013,08/13/2012,MYA,SERD,SETC,Single Donor,CD,E,C,,3700,Transport and ICT,3701,Road Transport,,Economic Growth,Governance,Capacity Development,,Promoting Economic Efficiency and Enabling Business environment,Economic and Financial governance,Institutional Development,,,,,
JFPR,JFPR,2013,8329,,43281-013,NEP,Support for Sustainable Energy Management and Reforms,JFPR,,E,,,1500,22 Oct 2012,,,02/21/2013,10/22/2012,NEP,SARD,SAEN,Single Donor,CD,E,C,,3200,Energy,3202,Large Hydropower,,Economic Growth,Environmental Sustainability,Private Sector Development,Capacity Development,Widening Access To Markets and Economic Opportunities,Global And Regional Transboundary Environmental Issues,,Institutional Development,,,,
JFPR,JFPR,2013,8330,,46422-001,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,JFPR,,E,,,1500,04 Sep 2012,,,02/21/2013,09/04/2012,MYA,SERD,SETC,Single Donor,PP,E,C,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,
JFPR,JFPR,2013,8342,,46390-001,MYA,Power Transmission and Distribution Improvement,JFPR,,E,,,1500,23 Jan 2013,,,03/22/2013,01/23/2013,MYA,SERD,SEEN,Single Donor,PP,E,C,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,
JFPR,JFPR,2013,8354,,46429-001,PHI,Supporting Capacity Development for the Bureau of Internal Revenue,JFPR,,E,,,1000,30 Nov 2012,,,04/12/2013,11/30/2012,PHI,SERD,PHCO,Single Donor,CD,E,C,,3600,Public Sector Management,3602,Public Expenditure and Fiscal Management,,Governance,Capacity Development,,,"Public Administration (National,Decentralized,Regional)","Institutional Development,Organizational Development",,,,,,
JFPR,JFPR,2013,8356,,46389-001,MYA,Institutional Strengthening of National Energy Management Committee in Energy Policy and Planning,JFPR,,E,,,1350,25 Dec 2012,,,04/24/2013,12/25/2012,MYA,SERD,SEEN,Single Donor,CD,E,C,,3200,Energy,3215,Energy Sector Development,,Capacity Development,Economic Growth,,,Institutional Development,Promoting Economic Efficiency and Enabling Business environment,,,,,,
JFPR,JFPR,2013,8359,,46249-001,REG,Regional Climate Projections Consortium and Data Facility in Asia and the Pacific,JFPR,,E,,,1964,07 Nov 2012,,,04/24/2013,11/07/2012,REG,SDCC,SDES,Single Donor,R-CD,E,C,,3900,Multisector,3900,Multisector,,Capacity Development,Environmental Sustainability,Economic Growth,Social Development,"Institutional Development,Client Relations,Network,And Partnership Development",Global And Regional Transboundary Environmental Issues,"Knowledge,Science,And Technological Capacities",Disaster Risk Management,,,,
JFPR,JFPR,2013,8369,,46399-001,REG,Innovative Data Collection Methods for Agricultural and Rural Statistics,JFPR,,E,,,2000,22 Nov 2012,,,05/20/2013,11/22/2012,REG,ERD,ERDI,Single Donor,R-CD,E,C,,3000,Agriculture and Natural Resources,3014,Agriculture and Rural Sector Development,,Governance,Capacity Development,Economic Growth,,"Public Administration (National,Decentralized,Regional)","Client Relations,Network,And Partnership Development","Knowledge,Science,And Technological Capacities",,,,,
JFPR,JFPR,2013,8377,,46485-001,MYA,Capacity Development of the National Statistical System,JFPR,,E,,,1200,20 Dec 2012,,,06/06/2013,12/20/2012,MYA,ERD,ERDI,Single Donor,CD,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Capacity Development,Economic Growth,Gender Equity,,"Institutional Development,Organizational Development","Knowledge,Science,And Technological Capacities",Gender Equity In (Human) Capabilities,,,,,
JFPR,JFPR,2013,8389,,46070-001,REG,Support for a Regional Platform on Innovations in Education and Human Resources Development for Competitiveness towards an Integrated ASEAN Community,JFPR,,E,,,1400,26 Mar 2013,,,06/21/2013,03/26/2013,REG,SERD,SEHS,Single Donor,R-CD,E,C,,3100,Education,3101,Pre-Primary and Basic Education,,Social Development,Capacity Development,Regional Cooperation and Integration,,Human Development,"Institutional Development,Organizational Development",Other Regional Public Goods,,,,,
JFPR,JFPR,2013,8391,,46482-001,VIE,Strengthening Microfinance Sector operations and Supervision,JFPR,,E,,,1000,14 May 2013,,,06/21/2013,05/14/2013,VIE,SERD,SEPF,Single Donor,CD,E,C,,3300,Finance,3304,Microfinance,,Economic Growth,Private Sector Development,Governance,Capacity Development,Promoting Economic Efficiency and Enabling Business environment,Public Private Partnerships,Economic and Financial governance,Institutional Development,,,,
