Product Approval Number,Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
239,2656,GEF,GEF,2010,2010,,2656/0212/0239,44058,,,NEP,Kathmandu Sustainable Urban Transport,SARD,,11/30/2010,,,,,0,2.52,,,2.52,DVA,,Full Administration,Global Fund,Grant,ADF,3700,Transport and ICT,,,,,,,,11/30/2010,01/05/2011,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 11."
250,2744,GEF,GEF,2011,2011,,2744/G0250,40684,,,PRC,Forestry and Ecological Restoration in Three Northwest Provinces,EARD,EAER,03/29/2011,,,,,0,5.1,,,5.1,DVA,,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,03/29/2011,09/29/2011,,,,Sovereign,,,,,
364,2835,GEF,GEF,2013,2013,,2835/0364,44012-013,,,PRC,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,EARD,EAEN,10/09/2013,,,,,0,3.65,,,3.65,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3200,Energy,,Energy Efficiency and Conservation,,,,No,,10/09/2013,,,,Under Administration,Sovereign,,,,,
311,2838,GEF,GEF,2012,2012,,2838/0311,40685-023,,,PRC,Jiangsu Yancheng Wetlands Protection - Additional Financing,EARD,EAER,09/18/2012,,,,,0,2.25,,,2.25,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,Water-Based Natural Resources Management,06/20/2012,,,Yes,,09/18/2012,,,,Under Administration,Sovereign,,,,,
287,2862-64,GEF,GEF,2012,2012,,2862-64/0287/8270,42169-013,,,BAN,Greater Dhaka Sustainable Urban Transport,SARD,SAUW,04/17/2012,,,,,0,4.6,,,4.6,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3700,Transport and ICT,,Urban Transport,,,,No,,04/17/2012,,,,Under Processing,Sovereign,,,,"no cofinancing approval yet as of 16 May 2012, RSES just sent second submission of CEO endorsement 14 May 2012  GEF confirmation on August 22, 2012","DR 2012. para on 2012 Highlights on FCAs, pp 30."
388,2915,GEF,GEF,2014,2014,,2915/0388,44007-013,,,PRC,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing,EARD,EATC,05/14/2014,,,,,0,2.55,,,2.55,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3700,Transport,,,10/04/2013,,,No,,05/14/2014,,,,Approved,Sovereign,,,,"Exact cofinancing amount from GEF is $2,546.30",
315,2934,GEF,GEF,2012,2012,,2934/2935/0315,39256-024,,,MON,Urban Transport Development Investment Program - Tranche 1,EARD,EASS,11/08/2012,,,,,0,1.5,,,1.5,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport and ICT,,Urban Transport,,,,No,,11/08/2012,,,,,Sovereign,,,,,"DR 2012. box in EARD section, pp 13."
325,2957,GEF,GEF,2012,2012,,2957/0324-0325/8266,41220-013,,,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,,,,,0,2.5,,,2.5,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,12/03/2012,,,,Approved,Sovereign,,,,,
331,2980,GEF,GEF,2012,2012,,2980/0331,44037-014,,,PRC,Shaanxi Weinan Luyang Integrated Saline Land Management,EARD,EAER,12/17/2012,,,,,0,2,,,2,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",11/01/2012,,,No,,12/17/2012,,,,,Sovereign,,,,,"DR 2012. para in EARD section on New Joint Initiatives, pp 12."
379,3094,GEF,GEF,2013,2013,,3094/0379,46421-001,,,INO,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,SERD,SEER,12/13/2013,,,,,0,8,,,8,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,Water-Based Natural Resources Management,,,,No,,12/13/2013,,,,Under Administration,Sovereign,,,,,
,3216,GEF,GEF,2014,2014,,3216/0420,45022-002,,,PRC,Jiangxi Ji'an Sustainable Urban Transport,EARD,EATC,12/09/2014,,,,,0,2.55,,,2.55,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport,,"Transport Policies and Institutional Development, Urban Roads and Traffic Management, Urban Public Transport",10/14/2014,,,No,,12/09/2014,,,,,Sovereign,,,,,
471,3250,GEF,GEF,2015,2015,,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,1.84,,,1.84,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport,,Urban Public Transport,03/10/2015,,,No,,03/10/2015,,,,Approved,Sovereign,,,,,
4357(L),4357(L),GEF,GEF,2004,2004,,4357(L),36445-022,,,PRC,Capacity Building to Combat Land Degradation,EARD,,06/28/2004,,,,,0,7.7,,,7.7,DVA,,Full Administration,Global Fund,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,06/28/2004,,,05/12/2010,,Sovereign,Successful,Successful,,,
404,3020,GEF-LDCF,GEF-LDCF,2014,2014,,3020/3021/0404,46260,,,TIM,Road Network Upgrading Sector ﾖ Additional Financing,PARD,PATE,09/11/2014,,,,,0,4.5,,,4.5,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport,,,07/09/2014,,,Yes,,09/11/2014,,,,,Sovereign,,,,,
461,3331,GEF-LDCF,GEF-LDCF,2015,2015,,3331/3332/0459/0460/0461,49319-001,,,VAN,Cyclone Pam Road Reconstruction Project,PARD,PLCO,11/25/2015,,,,,0,2.68,,,2.68,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport,,,10/08/2015,,,No,,11/25/2015,,,,Approved,Sovereign,,,,,
448,2699,HFPF-RMTF,HFPF-RMTF,2015,2015,,2699/0231/0448,41505-013,,,CAM,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,4,,,4,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/23/2015,,,Yes,,10/26/2015,,,,,Sovereign,,,,,
449,2699,HFPF-RMTF,HFPF-RMTF,2015,2015,,2699/0232/0449,41507-013,,,LAO,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/23/2015,,,Yes,,10/26/2015,,,,Approved,Sovereign,,,,,
450,2699,HFPF-RMTF,HFPF-RMTF,2015,2015,,2699/0450,41508-014,,,VIE,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,2.5,,,2.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/15/2015,,,Yes,,10/26/2015,,,,Approved,Sovereign,,,,,
102,2398-2399,HIV/AIDS Cooperation Fund,HIV/AIDS Cooperation Fund,2007,2007,,2398-2399/0102,40037,,,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,,,,,0,0.75,,,0.75,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3700,Transport and ICT,,,,,,,,12/18/2007,10/30/2008,,,,Sovereign,,,,,
,378,IFAD,IFAD,1978,1978,,378,11040,,,BAN,Pabna Irrigation and Rural Development,SARD,SAAE,12/12/1978,,,,,0,,30,,30,DVA,PS,Full Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/12/1978,05/08/1979,,09/27/1993,,Sovereign,,,,From multisector to agriculture,
,396,IFAD,IFAD,1979,1979,,396,,,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,,,,,0,,8,,8,DVA,PS,Full Administration,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,04/26/1979,09/14/1979,,02/02/1983,,Sovereign,,,,,
,615,IFAD,IFAD,1982,1982,,615,15077,,,BAN,Northwest Rural Development,SARD,SAAE,12/14/1982,,,,,0,,14.5,,14.5,DVA,PS,Full Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/14/1982,09/27/1983,,04/22/1992,,Sovereign,,,,,
,1581,IFAD,IFAD,1997,1997,,1581,28023,,,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,,,,,0,,11,,11,DVA,,Full Administration,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/20/1997,07/01/1998,,07/01/2005,,Sovereign,HS,,,Adj Dec06 from $11.7 to $11. ADB $70 to $62.4. IFAD closed 19Sep05. PCR sent,
192,2599,IFAD,IFAD,2009,2009,,2599/0186/0191/0192/8243,,,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0,6.69,,,6.69,DVA,,Full Administration,Multilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/08/2009,,,,,Sovereign,,,,,
246,2626,International Federation of Red Cross and Red Crescent Society,International Federation of Red Cross and Red Crescent Society,2010,2010,,2626/0246,44065-013,,,SRI,Conflict-Affected Region Emergency,SARD,SLRM,04/15/2010,,,,,0,1.5,,,1.5,DVA,PS,Full Administration,Multilateral,Grant,OCR,3700,Transport,,,,,,,,04/15/2010,09/02/2010,,,,Sovereign,,,,IFRC contribution of 1.6 million CHF,
365,365,ACEF,Japan,2013,2013,,365,46265-001,,,VIE,Energy Efficiency for Ho Chi Minh City Water Supply,SERD,SEUW,10/17/2013,,,,,0,2,,,2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2013,,,,,Sovereign,,,,,
429,409,JFJCM,"Japan,JFJCM",2015,2015,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,SARD,SAEN,03/19/2015,,,,,0,5,,,5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,Yes,,03/19/2015,,,,,Sovereign,,,,,
254,2453,ACEF,Japan,2011,2011,,2453/2454/0253/0254,40517-013,,,BAN,Public-Private Infrastructure Development Facility,SARD,SAPF,05/17/2011,,,,,0,2,,,2,DVA,,Full Administration,Bilateral,Grant,ATF,3200,Energy,,,,,,,,05/17/2011,02/24/2009,,,,Sovereign,,,,,
141,2463-2464,ACEF,Japan,2008,2008,,2463-2464/0119/0141,37399,,,BHU,Green Power Development,SARD,SAEN,10/29/2008,,,,,0,1,,,1,DVA,,Full Administration,Bilateral,Grant,OCR,3200,Energy,,,,,,,,10/29/2008,05/04/2009,,,,Sovereign,,,,,DR 2012. story (para) for ACEF pp48.
142,2507,ACEF,Japan,2009,2009,,2507/0142,42001,,,PHI,Philippine Energy Efficiency,SERD,,01/29/2009,,,,,0,1.5,,,1.5,DVA,,Full Administration,Bilateral,Grant,OCR,3200,Energy,,,,,,,,01/29/2009,05/28/2009,,,,Sovereign,Successful,,,,"DR 2009. Case Study: Promoting High-Quality CFLs, pp 22-23. supporting para for FPF, pp 17. DR 2010. para on climate change and energy efficiency, pp. 22. DR 2011. box on CEFPF, pp 26."
383,3117,ACEF,Japan,2014,2014,,3117/0383,39399-034,,,NEP,South Asia Tourism Infrastructure Development ﾖ Additional Financing,SARD,NRM,03/28/2014,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport,"3704, 3701",Air Transport,,,,Yes,,03/28/2014,,,,,Sovereign,,,,,
9000,9000,JFPR,Japan,2000,2000,,9000,,,,INO,Assisting Girl Street Children at Risk of Sexual Abuse,SERD,IRM,10/20/2000,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,08/11/2000,,,No,,10/20/2000,11/24/2000,04/30/2006,12/11/2006,Closed/Completed,Sovereign,Satisfactory,,,,
9001,9001,JFPR,Japan,2000,2000,,9001,35346-012,,,PHI,Supporting the Sustainable Livelihood for the Poor in Southern Philippines,SERD,SEAE,10/31/2000,,,,,0,2.8,,,2.8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,09/22/2000,,,No,,10/31/2000,10/22/2001,12/31/2007,04/21/2008,Closed/Completed,Sovereign,Partly Satisfactory,,,Attached to Loan 1772  Infrastructure of the Rural Productivity Enhancement approved in 31 Oct 2000,
9002,9002,JFPR,Japan,2000,2000,,9002,,,,PNG,"Low-Cost Sanitation, Community Awareness and Health Education Program",PARD,PNRM,12/14/2000,,,,,0,1.74,,,1.74,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,09/22/2000,,,No,,12/14/2000,02/13/2003,12/31/2007,01/27/2009,Closed/Completed,Sovereign,,,,,
9003,9003,JFPR,Japan,2000,2000,,9003,35348,,,PHI,On-Site Urban Upgrading for Vulnerable Slum Communities of Payatas,SERD,SESS,12/13/2000,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,09/22/2000,,,No,,12/13/2000,,,,Under Administration,Sovereign,,,,,
9004,9004,JFPR,Japan,2000,2000,,9004,35355,,,PHI,Off-Site and Off-City Relocation of Vulnerable Slum Communities of Muntinlupa City,SERD,SESS,12/21/2000,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,09/22/2000,,,No,,12/21/2000,,,,Under Administration,Sovereign,,,,,
9005,9005,JFPR,Japan,2001,2001,,9005,,,,REG,Improving Nutrition for Poor Mothers and Children,CWRD,CWPF,04/26/2001,,,,,0,6.85,,,6.85,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/18/2000,,,No,,04/26/2001,04/26/2001,03/31/2007,03/30/2011,Closed/Completed,Sovereign,,,,"Azerbaijan, Kazakhstan, Kyrgyz Republic, Mongolia, Tajikistan, Uzbekistan",
9006,9006,JFPR,Japan,2001,2001,,9006,,,,REG,Community Action for Preventing HIV/AIDS,SERD,SESS,05/08/2001,,,,,0,8,,,8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/18/2000,,,No,,05/08/2001,06/04/2001,01/31/2006,09/29/2006,Closed/Completed,Sovereign,HS,,,"Cambodia, Lao P.D.R., Viet Nam",
9007,9007,JFPR,Japan,2001,2001,,9007,,,,NEP,Supporting Poor and Disadvantaged  Farmers through Civil Society Organizations,SARD,NRM,05/15/2001,,,,,0,0.8,,,0.8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,04/03/2001,,,No,,05/15/2001,10/05/2001,12/31/2005,12/31/2005,Closed/Completed,Sovereign,Partly Satisfactory,,,,
9008,9008,JFPR,Japan,2001,2001,,9008,,,,TAJ,Tajikistan Rural Poverty Reduction,CWRD,CWAE,08/08/2001,,,,,0,2.9,,,2.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,02/20/2001,,,No,,08/08/2001,03/18/2002,12/31/2004,10/31/2006,Closed/Completed,Sovereign,Highly Successful,,,,
9009,9009,JFPR,Japan,2001,2001,,9009,,,,BAN,Supporting Livelihood Improvement for the Poor through Water Management Associations,SARD,BRM,08/17/2001,,,,,0,0.9,,,0.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,05/23/2001,,,No,,08/17/2001,11/25/2001,06/30/2006,03/28/2007,Closed/Completed,Sovereign,Generally Satisfactory,,,,"DR 2011. box on JFPR, pp 38."
9010,9010,JFPR,Japan,2001,2001,,9010,,,,UZB,Supporting Innovative Poverty Reduction in Karakalpakstan,CWRD,URM,10/25/2001,,,,,0,2.54,,,2.54,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,06/20/2001,,,No,,10/25/2001,11/02/2001,12/31/2005,06/21/2007,Closed/Completed,Sovereign,Satisfactory,,,,
9011,9011,JFPR,Japan,2001,2001,,9011,,,,PRC,Innovations for Participatory Flood Control by the Poor Along the Yellow River,EARD,EAER,11/16/2001,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,09/24/2001,,,No,,11/16/2001,01/13/2003,01/30/2006,01/23/2007,Closed/Completed,Sovereign,,,,,
9012,9012,JFPR,Japan,2001,2001,,9012,,,,LAO,Supporting the Community-Managed Livelihood Improvement,SERD,SEER,12/18/2001,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,09/20/2001,,,No,,12/18/2001,01/31/2012,12/31/2005,10/31/2007,Closed/Completed,Sovereign,,,,,
9013,9013,JFPR,Japan,2002,2002,,9013,,,,AZE,Integration of Internally Displaced Persons in Mingechevir Rayon,CWRD,CWUW,01/30/2002,,,,,0,2.5,,,2.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Slum Upgrading and Housing,11/13/2001,,,No,,01/30/2002,10/22/2002,12/31/2004,05/16/2007,Closed/Completed,Sovereign,,,,,
9014,9014,JFPR,Japan,2002,2002,,9014,,,,MON,Expanding Employment Opportunities for Poor Disabled Persons,EARD,MNRM,04/01/2002,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,12/21/2001,,,No,,04/01/2002,05/08/2002,03/31/2006,12/31/2006,Closed/Completed,Sovereign,Highly Satisfactory,,,,"DR 2009, Case Study: Helping Those with Disabilities, pp 10-11"
9015,9015,JFPR,Japan,2002,2002,,9015,,,,MON,Improving the Living Environment of the Poor in Ger Areas of Mongolia's Cities,EARD,EASS,05/07/2002,,,,,0,2.2,,,2.2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,12/21/2001,,,No,,05/07/2002,05/08/2002,03/31/2006,02/23/2008,Closed/Completed,Sovereign,Highly Successful,,,,
9016,9016,JFPR,Japan,2002,2002,,9016,,,,INO,Supporting the Community-Based Basic Education for the Poor,SERD,SEHS,05/07/2002,,,,,0,3.2,,,3.2,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,12/21/2001,,,No,,05/07/2002,07/23/2002,06/30/2006,05/25/2007,Closed/Completed,Sovereign,Successful,,,,
9017,9017,JFPR,Japan,2002,2002,,9017,,,,CAM,Community-Based Livelihood Enhancement for the Rural Poor,SERD,SEER,07/12/2002,,,,,0,1.8,,,1.8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,03/06/2002,,,No,,07/12/2002,08/14/2002,06/30/2007,01/23/2009,Closed/Completed,Sovereign,Successful,,,,
9018,9018,JFPR,Japan,2002,2002,,9018,36021,,,PHI,Social Protection for Poor Women Vendors in Mindanao Cities,SERD,SEHS,08/07/2002,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,Social Protection,03/06/2002,,,No,,08/07/2002,01/10/2003,12/31/2007,06/30/2008,Closed/Completed,Sovereign,Successful,,,,
9019,9019,JFPR,Japan,2002,2002,,9019,,,,AFG,Community-Based Gender-Sensitive Basic Education for the Poor,CWRD,CWPF,09/10/2002,,,,,0,4,,,4,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,06/28/2002,,,No,,09/10/2002,10/11/2002,10/31/2005,09/30/2006,Closed/Completed,Sovereign,Successful,,,,
9020,9020,JFICT,Japan,2002,2002,,9020,,,,VIE,Electronic Health Insurance Membership Card,SERD,,09/12/2002,,,,,0,0.5,,,0.5,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,09/12/2002,,,,,Sovereign,Satisfactory,,,,
9021,9021,JFPR,Japan,2002,2002,,9021,,,,IND,Rainwater Harvesting and Slum Development in Rajasthan,SARD,INRM,09/24/2002,,,,,0,1.9,,,1.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,12/21/2001,,,No,,09/24/2002,09/24/2003,01/31/2008,03/31/2009,Closed/Completed,Sovereign,,,,,
9022,9022,JFPR,Japan,2002,2002,,9022,36020,,,PHI,Strategic Private Sector Partnerships for Urban Poverty Reduction in Metro Manila,SERD,SEHS,09/24/2002,,,,,0,3.6,,,3.6,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,,,,No,,09/24/2002,11/08/2002,01/31/2007,04/30/2008,Closed/Completed,Sovereign,Successful,,,,
9023,9023,JFPR,Japan,2002,2002,,9023,,,,CAM,Income for the Poor through Community-Based Environmental Improvements in Phnom Penh,SERD,SEHS,09/25/2002,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,07/30/2002,,,No,,09/25/2002,10/24/2002,08/31/2005,10/31/2006,Closed/Completed,Sovereign,Successful,,,,
9024,9024,JFPR,Japan,2002,2002,,9024/0076,,,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons,CWRD,AFRM,10/03/2002,,,,,0,15,,,15,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,09/24/2002,,,No,,10/03/2002,10/11/2002,12/31/2008,11/16/2009,Closed/Completed,Sovereign,Successful,,,,
9025,9025,JFPR,Japan,2002,2002,,9025,,,,SRI,Infrastructure Maintenance to Reduce Rural Poverty,SARD,SAER,10/16/2002,,,,,0,0.9,,,0.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,08/07/2002,,,No,,10/16/2002,02/10/2003,04/30/2009,12/31/2010,Closed/Completed,Sovereign,Satisfactory,,,,
9026,9026,JFPR,Japan,2002,2002,,9026,,,,IND,Sustaining Income and Basic Human Needs of the Poor in Disaster Prone Areas of Gujarat,SARD,INRM,11/06/2002,,,,,0,3.4,,,3.4,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,12/21/2001,,,No,,11/06/2002,08/18/2003,12/31/2007,06/18/2008,Closed/Completed,Sovereign,,,,,
9027,9027,JFPR,Japan,2002,2002,,9027,,,,CAM,Improving the Livelihood of Poor Farmers in Southern Cambodia,SERD,SEER,11/11/2002,,,,,0,1.8,,,1.8,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,08/12/2002,,,No,,11/11/2002,02/05/2003,11/30/2008,03/31/2009,Closed/Completed,Sovereign,Highly Satisfactory,,,,
9028,9028,JFPR,Japan,2002,2002,,9028,,,,CAM,Targeted Assistance for Education of Poor Girls and Poor Children in Ethnic Minority Areas,SERD,CARM,11/25/2002,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,08/19/2002,,,No,,11/25/2002,12/17/2002,12/31/2006,10/21/2008,Closed/Completed,Sovereign,Successful,,,,
9029,9029,JFICT,Japan,2002,2002,,9029,,,,REG,"Development of a Business Plan for a Center for Learning, Information, Communication, and Knowledge for Asia and the Pacific",SDCC,,12/19/2002,,,,,0,0.18,,,0.18,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,Education Sector Development,,,,,,12/19/2002,,,,,Sovereign,Partly Successful,,,,
9030,9030,JFPR,Japan,2002,2002,,9030,,,,AFG,Primary Health Care Partnership for the Poor,CWRD,CWPF,12/19/2002,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,11/14/2002,,,No,,12/19/2002,05/15/2003,05/31/2007,11/20/2011,Closed/Completed,Sovereign,Successful,,,,
9031,9031,JFPR,Japan,2003,2003,,9031,,,,PAK,Mobilizing the Poor for Better Access to Health,CWRD,CWPF,05/06/2003,,,,,0,3.4,,,3.4,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,11/13/2002,,,No,,05/06/2003,10/01/2004,12/31/2007,10/31/2008,Closed/Completed,Sovereign,,,,,
9032,9032,JFPR,Japan,2003,2003,,9032,,,,NEP,Optimizing Productivity of Poor Water Users Associations,SARD,NRM,08/04/2003,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,09/20/2001,,,No,,08/04/2003,04/08/2004,03/31/2008,06/24/2008,Closed/Completed,Sovereign,Satisfactory,,,,
9033,9033,JFPR,Japan,2003,2003,,9033,,,,VIE,Promoting Silk Income for the Rural Poor in Central Highlands,SERD,SEER,10/30/2003,,,,,0,0.62,,,0.62,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,08/08/2003,,,No,,10/30/2003,10/27/2004,12/31/2008,06/24/2010,Closed/Completed,Sovereign,Successful,,,,
9034,9034,JFPR,Japan,2003,2003,,9034,,,,LAO,Reducing Poverty Among Ethnic Minority Women in the Nam Ngum River Basin,SERD,SEER,11/12/2003,,,,,0,0.53,,,0.53,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,08/08/2003,,,No,,11/12/2003,02/10/2004,02/10/2008,06/30/2009,Closed/Completed,Sovereign,Successful,,,,
9035,9035,JFPR,Japan,2003,2003,,9035,,,,LAO,Solid Waste Management and Income Generation for Vientiane's Poor,SERD,SEHS,12/16/2003,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,06/21/2003,,,No,,12/16/2003,03/31/2004,06/30/2007,04/30/2008,Closed/Completed,Sovereign,Satisfactory,,,,
9036,9036,JFPR,Japan,2003,2003,,9036,,,,REG,Improving Poor Farmers' Livelihoods through Postharvest Technology,SERD,SEER,12/18/2003,,,,,0,0.75,,,0.75,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,11/21/2003,,,No,,12/18/2003,07/11/2005,12/31/2008,05/20/2010,Closed/Completed,Sovereign,Successful,,,"Cambodia, Viet Nam",
9037,9037,JFPR,Japan,2003,2003,,9037,,,,AFG,Emergency Road Rehabilitation,CWRD,CWTC,12/19/2003,,,,,0,20,,,20,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,10/23/2003,,,No,,12/19/2003,09/16/2004,12/31/2007,04/29/2011,Closed/Completed,Sovereign,,,,,
9038,9038,JFPR,Japan,2003,2003,,9038,,,,AFG,Integrated Community Development in Northern Afghanistan,CWRD,AFRM,12/26/2003,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,12/19/2003,,,No,,12/26/2003,03/18/2004,04/30/2008,,Closed/Completed,Sovereign,Partly Successful,,,,
