Partner,Year,Approval Numbers CoFin,Proj No,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF,Total,Grants,Loans,Commercial,Total CF
Germany,1990,1022,,THA,Transmission System for Mae Moh Power (Units 10 & 11),SERD,,06/05/1990,,,,,0,,15.7,,15.7
Germany,1990,1025,,PAK,Third Telecommunications,CWRD,,08/16/1990,,,,,0,,30,,30
Germany,1990,1037,,NEP,Small Farmers Development III,SARD,,10/04/1990,,,,,0,1,,,1
Germany,1991,1111,,INO,Bogor and Palembang Urban Dev,SERD,SESS,10/31/1991,,,,,0,,7.3,,7.3
Germany,1991,1146,24268,PAK,Chasma Right Bank Irrigation III,CWRD,,12/17/1991,,,,,0,,43,,43
Germany,1992,1172,,INO,Power XXII,SERD,SEID,08/04/1992,,,,,0,,45.7,,45.7
Germany,1992,1209,,PAK,Flood Damage Restoration (Sector),CWRD,SAAE,12/15/1992,,,,,0,,10,,10
Germany,1994,1143,,PAK,WAPDA Twelfth Power (Sector),CWRD,,11/01/1994,,,,,0,,81.25,,81.25
Germany,1994,1300/2194(L),,MON,Telecommunications,EARD,EATC,06/16/1994,,,,,0,,7.02,,7.02
Germany,1994,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0,14.23,,,14.23
Germany,1995,1398,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,,,,,0,,27.8,,27.8
Germany,1996,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0,,147,,147
Germany,1996,1460,,VIE,Population and Family Health,SERD,,09/19/1996,,,,,0,15.02,,,15.02
Germany,1997,1525,,LAO,Secondary Towns Urban Development,SERD,SESS,06/26/1997,,,,,0,0.8,,,0.8
Germany,1997,1559,,INO,"Belawan, Balikpapan and Banjarmasin Ports",SERD,,07/11/1997,,,,,0,,25,,25
Germany,2001,1706/3632(L),29637,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,,,,,0,2.45,,,2.45
Germany,2001,1830,,BHU,Basic Skills Development,SARD,SASS,06/21/2001,,,,,0,2.5,,,2.5
Germany,2001,1846/3742(L),34442,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,,,,,0,2.5,,,2.5
Germany,2001,1871,,IND,Private Sector Infrastructure Facility at State Level,SARD,SAGF,12/11/2001,,,,,0,2,,,2
Germany,2001,1884-1885,,BAN,West Zone Power System Development,SARD,,12/17/2001,,,,,0,,30,,30
Germany,2002,1952,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,,,,,0,11.9,,,11.9
Germany,2002,1952,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,,,,,0,5,,,5
Germany,2004,2092,30232,NEP,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,,,,,0,0.7,,,0.7
Germany,2004,2095,34344,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0,,17,,17
Germany,2006,2254/0053,36224-01,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,,,,,0,3.6,,,3.6
Germany,2006,2254/0053,36224-01,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,,,,,0,21.6,,,21.6
Germany,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,,7.6,,7.6
Germany,2006,2281,36343,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,,,,,0,,151.8,,151.8
Germany,2006,2284,38335,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,,,,,0,,7.57,,7.57
Germany,2006,2301,37697,MON,Urban Development Sector,EARD,EASS,12/19/2006,,,,,0,1.2,,,1.2
Germany,2006,2301,37697,MON,Urban Development Sector,EARD,EASS,12/19/2006,,,,,0,0.24,,,0.24
Germany,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,,8,,8
Germany,2008,2462,40559,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,,,,,0,4.7,,,4.7
Germany,2008,2462,40559,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,,,,,0,36.1,,,36.1
Germany,2008,2476,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,,,,,0,,80,,80
Germany,2010,2620,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,,,,,0,,20,,20
Germany,2010,2632/0202/0203,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0,4.6,,,4.6
Germany,2010,2696,40515,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,,,,,0,15.9,,,15.9
Germany,2010,2731,39500,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,,,,,0,,36.4,,36.4
Germany,2011,2695/0323,39298-013,BAN,City Region Development,SARD,SAUW,10/31/2011,,,,,0,14.86,,,14.86
Germany,2012,2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0,8.8,,,8.8
Germany,2012,2914,41627-053,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,,,,,0,,200,,200
Germany,2012,2956,39500-033,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0,,276.6,,276.6
Germany,2014,3164,48134-001,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,,,,,0,,200,,200
Germany,2015,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0,,200,,200
"Germany,Germany",2014,3119/3120,42251-018,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,,,,,0,15.4,,,15.4
"Germany,KfW",2015,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,,,,,0,,57,,57
"Germany,KfW",2015,3356,49232-001,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,,,,,0,,166.65,,166.65
"Germany,KfW",2015,3365,44426-016,IND,Green Energy Corridor and Grid Strengthening Project,SARD,SAEN,12/09/2015,,,,,0,,625,,625
"Germany,KfW",2015,3374,42039-036,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,,,,,0,,71,,71
GPE,,,,,,,,,0,0,0,0,0,100,0,0,100
GPE,2015,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0,100,,,100
HFPF-RMTF,,,,,,,,,0,0,0,0,0,9.5,0,0,9.5
HFPF-RMTF,2015,2699/0231/0448,41505-013,CAM,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,4,,,4
HFPF-RMTF,2015,2699/0232/0449,41507-013,LAO,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,3,,,3
HFPF-RMTF,2015,2699/0450,41508-014,VIE,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,2.5,,,2.5
HIV/AIDS Cooperation Fund,,,,,,,,,0,0,0,0,0,0.75,0,0,0.75
HIV/AIDS Cooperation Fund,2007,2398-2399/0102,40037,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,,,,,0,0.75,,,0.75
IFAD,,,,,,,,,0,0,0,0,0,27.69,477.83,0,505.52
IFAD,1977,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,,,,,0,,12,,12
IFAD,1978,0378,11040,BAN,Pabna Irrigation and Rural Development,SARD,SAAE,12/12/1978,,,,,0,,30,,30
IFAD,1978,0387,,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,,,,,0,,13,,13
IFAD,1979,0396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,,,,,0,,8,,8
IFAD,1979,0418,,LAO,Casier Sud Pioneer Agricultural,SERD,SEAE,10/29/1979,,,,,0,,6.1,,6.1
IFAD,1979,0428,12035,PAK,South Rohri Fresh Groundwater Irrigation,CWRD,SAAE,11/27/1979,,,,,0,,16,,16
IFAD,1980,0496,13045,SRI,Anuradhapura Dry Zone Agriculture,SARD,SAAE,12/15/1980,,,,,0,,14.5,,14.5
IFAD,1981,0526,,SRI,Coconut Development,SARD,SAAE,09/24/1981,,,,,0,,8,,8
IFAD,1981,0548,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,,,,,0,,8,,8
IFAD,1981,0560,14049,NEP,Command Area Development,SARD,SAAE,12/15/1981,,,,,0,,11.1,,11.1
IFAD,1982,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,,,,,0,,6,,6
IFAD,1982,0615,15077,BAN,Northwest Rural Development,SARD,SAAE,12/14/1982,,,,,0,,14.5,,14.5
IFAD,1983,0624,16125,TON,Development and Redevelopment,PARD,,04/26/1983,,,,,0,,1,,1
IFAD,1983,0627,16003,INO,Irrigation Package II,SERD,SEAE,05/19/1983,,,,,0,,25,,25
IFAD,1983,0646,17086,SOL,Agricultural Development,PARD,,10/29/1983,,,,,0,,1.5,,1.5
IFAD,1985,0734,17017,PAK,Gujranwala Agricultural Development,CWRD,,02/19/1985,,,,,0,,8.5,,8.5
IFAD,1985,0772,18100,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,,,,,0,,28.55,,28.55
IFAD,1986,0792,18095,NEP,Second Aquaculture Development,SARD,AWAR,10/09/1986,,,,,0,,5,,5
IFAD,1986,0802,16115,PHI,Highland Agriculture Development,SERD,,11/25/1986,,,,,0,,4.6,,4.6
IFAD,1987,0838,20171,PAK,Chitral Area Development,CWRD,,08/27/1987,,,,,0,,11.1,,11.1
IFAD,1990,1012,21220,PAK,Second Barani Area Development,CWRD,,02/20/1990,,,,,0,,19.4,,19.4
IFAD,1990,1044,23373,PAK,Agricultural Credit,CWRD,SAGF,11/06/1990,,,,,0,,25,,25
IFAD,1996,1381/2564,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,,,,,0,,10.4,,10.4
IFAD,1996,1421,,PHI,Cordillera Highland Agricultural Resource (blended 1421/1422),SERD,,01/11/1996,,,,,0,,5.32,,5.32
IFAD,1996,1435,,PHI,Rural Microenterprise Finance,SERD,,04/23/1996,,,,,0,,13.49,,13.49
IFAD,1997,1581,28023,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,,,,,0,,11,,11
IFAD,1997,1583,29456,INO,Rural Income Generation,SERD,SEAE,11/25/1997,,,,,0,,20.28,,20.28
IFAD,2000,1787/8195,29586,PAK,North West Frontier Province Barani Area Development - Phase II,CWRD,SAAE,11/28/2000,,,,,0,,14.8,,14.8
IFAD,2006,2259/0056,35297,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,,,,,0,,3,,3
IFAD,2009,0144-0145,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,,,,,0,15,,,15
IFAD,2009,2542,39432,BAN,Participatory Small-Scale Water Resources Sector,SARD,SANS,09/04/2009,,,,,0,,22,,22
IFAD,2009,2599/0186/0191/0192/8243,41435,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0,,6.69,,6.69
IFAD,2009,2599/0186/0191/0192/8243,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0,6.69,,,6.69
IFAD,2010,2542,39432,BAN,Participatory Small-Scale Water Resources Sector (Supplementary),SARD,SANS,07/29/2010,,,,,0,,10,,10
IFAD,2012,2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0,,59,,59
IFAD,2012,2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0,1,,,1
IFAD,2012,2957/0324-0325/8266,41220-013,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,,,,,0,,20,,20
IFAD,2014,3198,47300-002,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0,,5,,5
IFAD,2014,3198,47300-002,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0,5,,,5
ILO,,,,,,,,,0,0,0,0,0,1,0,0,1
ILO,2000,1772,30552,PHI,Infrastructure for Rural Productivity Enhancement Sector,SERD,SEAE,10/31/2000,,,,,0,1,,,1
IMF,,,,,,,,,0,0,0,0,0,0,30,0,30
IMF,1991,1109,,MON,Special Assistance,EARD,,10/29/1991,,,,,0,,30,,30
India,,,,,,,,,0,0,0,0,0,0,71.32,0,71.32
India,1975,0231,,SRI,Urea Fertilizer,SARD,,09/18/1975,,,,,0,,12.5,,12.5
"India,Indian Commercial Bank",2015,3225/3226,44444-013,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0,,58.82,,58.82
Indian Commercial Bank,,,,,,,,,0,0,0,0,0,0,58.82,0,58.82
"India,Indian Commercial Bank",2015,3225/3226,44444-013,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0,,58.82,,58.82
International Federation of Red Cross and Red Crescent Society,,,,,,,,,0,0,0,0,0,1.5,0,0,1.5
International Federation of Red Cross and Red Crescent Society,2010,2626/0246,44065-013,SRI,Conflict-Affected Region Emergency,SARD,SLRM,04/15/2010,,,,,0,1.5,,,1.5
Iran,,,,,,,,,0,0,0,0,0,0,24.5,0,24.5
Iran,1975,0217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,,,,,0,,12.5,,12.5
Iran,2002,1903,35496,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,,,,,0,,12,,12
Ireland,,,,,,,,,0,0,0,0,0,15.6,0,0,15.6
Ireland,2005,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0,1.8,,,1.8
Ireland,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,3.8,,,3.8
Ireland,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,10,,,10
IsDB,,,,,,,,,0,0,0,0,0,0,1765.1,0,1765.1
IsDB,1978,0389/8030,48192,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,,,,,0,,10.01,,10.01
IsDB,1979,0426,40253-033,CAM,Bintulu Deepwater Port,SERD,,11/23/1979,,,,,0,,10.2,,10.2
IsDB,1981,0541,,BAN,Chittagong Urea Fertilizer,SARD,AWFN,11/01/1981,,,,,0,,16,,16
IsDB,1983,0673,,MAL,Second Vocational Education,SERD,,12/20/1983,,,,,0,,8.3,,8.3
IsDB,1984,0693,,INO,Fisheries Infrastructure Sector,SERD,SEAE,09/25/1984,,,,,0,,10.7,,10.7
IsDB,1984,0700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,,,,,0,,11.5,,11.5
IsDB,1986,0796,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,,,,,0,,2.23,,2.23
IsDB,1989,0957,,PAK,Flood Damage Restoration,CWRD,,03/30/1989,,,,,0,,10,,10
IsDB,1996,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0,,40,,40
IsDB,1996,1467,,PAK,Bahawalpur Rural Development,CWRD,SAAE,09/26/1996,,,,,0,,7,,7
IsDB,1999,1695,,MLD,Regional Development,SARD,,09/02/1999,,,,,0,,5.86,,5.86
IsDB,2000,1817,,TAJ,Power Rehabilitation,CWRD,,12/20/2000,,,,,0,,9.3,,9.3
IsDB,2003,2006,34234,KAZ,Rural Area Water Supply and Sanitation Sector,CWRD,CWSS,09/29/2003,,,,,0,,9.5,,9.5
IsDB,2005,2198,,PAK,New Bong Escape Hydropower (Laraib Energy Limited),PSOD,PSIF,11/21/2005,,,,,0,,37.3,,37.3
IsDB,2005,2205-2206,35457,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,,,,,0,,10.4,,10.4
IsDB,2006,2303/8230,40043-01,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,,,,,0,,10,,10
IsDB,2006,2304,40043-02,AFG,Regional Power Transmission Interconnection (Afghanistan and Tajikistan),CWRD,CWID,12/19/2006,,,,,0,,16.5,,16.5
IsDB,2008,2453/2454/0253/0254,40517-013,BAN,Public-Private Infrastructure Development Facility,SARD,SAGF,10/02/2008,,,,,0,,100,,100
IsDB,2009,2562,41121,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0,,170,,170
IsDB,2010,2701-2702,35049,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0,,140,,140
IsDB,2011,2769,37113-013,BAN,Power System Efficiency Improvement,SARD,SAEN,08/11/2011,,,,,0,,200,,200
IsDB,2011,2817,38479-034,INO,Regional Roads Development,SERD,SETC,11/24/2011,,,,,0,,65,,65
IsDB,2012,2867/0290,43566-013,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",SARD,SAPF,05/25/2012,,,,,0,,10.3,,10.3
IsDB,2012,2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0,,85,,85
IsDB,2013,3087,42378-016,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0,,220,,220
IsDB,2013,3090/3091/3092,47094-001,PAK,Jamshoro Power Generation,CWRD,CWEN,12/09/2013,,,,,0,,150,,150
IsDB,2014,0409/0410/0429,46122-003,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0,,10,,10
IsDB,2014,3090/3091/3092,47094-001,PAK,Jamshoro Power Generation (Supplementary),CWRD,CWEN,02/27/2014,,,,,0,,70,,70
IsDB,2015,3271,44318-026,UZB,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,CWRD,CWPF,08/20/2015,,,,,0,,100,,100
IsDB,2015,3350,42378-017,BAN,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,SARD,SAEN,12/08/2015,,,,,0,,220,,220
Italy,,,,,,,,,0,0,0,0,0,0,5,0,5
Italy,1985,0770,,PAK,Second Pirkoh Gas Development,CWRD,,12/12/1985,,,,,0,,5,,5
ITU,,,,,,,,,0,0,0,0,0,0.1,0,0,0.1
ITU,1989,0960,,SAM,Second Telecommunications,PARD,,06/01/1989,,,,,0,0.1,,,0.1
Japan,,,,,,,,,0,0,0,0,0,919.42,14862.06,0,15781.48
Japan,ERROR: Incorrect data type for operator or @Function: Time/Date expected,2009,,BHU,Rural Electrification and Network Expansion,SARD,SAEN,,,,,,0,1.7,,,1.7
Japan,ERROR: Incorrect data type for operator or @Function: Time/Date expected,2074-2075,,INO,Second Decentralized Health Services,SERD,SESS,,,,,,0,5,,,5
Japan,1970,0028,37218-01,LAO,Tha Ngon Agricultural Development,SERD,,03/10/1970,,,,,0,0.63,,,0.63
Japan,1970,0033,36252,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,,,,,0,,12.7,,12.7
Japan,1970,0050,,THA,Power Transmission and SubStation Expansion,SERD,,12/17/1970,,,,,0,,15.5,,15.5
Japan,1976,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,,,,,0,1.01,,,1.01
Japan,1978,0372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,,,,,0,,75.62,,75.62
Japan,1979,0414,46455-002,,Upper Warangoi Hydropower,PARD,PARD,08/27/1979,,,,,0,,14.8,,14.8
Japan,1979,0426,40253-033,CAM,Bintulu Deepwater Port,SERD,,11/23/1979,,,,,0,,58.2,,58.2
Japan,1979,0443,46455-004,,Second Bangkok Water Supply,SERD,,12/17/1979,,,,,0,,35,,35
Japan,1980,0000,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,,,,,0,,17.4,,17.4
Japan,1981,0521,,MAL,Batang-Ai Hydropower,SERD,,09/17/1981,,,,,0,,65.8,,65.8
Japan,1981,0541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/17/1981,,,,,0,,83.21,,83.21
Japan,1984,0717,,THA,Mae Moh (Unit 8) Power,SERD,,12/11/1984,,,,,0,,6.57,,6.57
Japan,1984,0718,,THA,Rural Telecommunications,SERD,,12/11/1984,,,,,0,,13.2,,13.2
Japan,1985,0735,,THA,Third Bangkok Water Supply,SERD,,03/21/1985,,,,,0,,88.6,,88.6
Japan,1985,0772,18100,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,,,,,0,,5.3,,5.3
Japan,1986,0796,,BAN,Chittagong Urea Fertilizer (Supplementary),SARD,,11/13/1986,,,,,0,,23.36,,23.36
Japan,1986,0828,,THA,Mae Moh (Unit 9) Power,SERD,,12/23/1986,,,,,0,,6.28,,6.28
Japan,1987,0000,,INO,Local Road Dev Project,SERD,,12/08/1987,,,,,0,,84.75,,84.75
Japan,1987,0835,16004,INO,Power XIX Sector,SERD,,08/20/1987,,,,,0,,27.5,,27.5
Japan,1987,0839,,BAN,Road Improvement,SARD,,08/27/1987,,,,,0,82,,,82
Japan,1987,0857,2115,IND,Railways,SARD,,11/10/1987,,,,,0,,110,,110
Japan,1988,0000,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,,,,,0,,46.6,,46.6
Japan,1988,0889,16116,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,,,,,0,,120,,120
Japan,1988,0925,17003,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,,,,,0,,100,,100
Japan,1988,9999INO2,,INO, Second Untied Loan (17 Bank Projects)  ,SERD,,08/09/1988,,,,,0,,576,,576
Japan,1989,0943,,THA,Second Highway (Sector),SERD,,01/12/1989,,,,,0,,30.5,,30.5
Japan,1989,0951,21214,INO,Ninth Port,SERD,,02/07/1989,,,,,0,,12.6,,12.6
Japan,1989,0966,22265,INO,Tenth Road (Sector),SERD,,08/10/1989,,,,,0,,50,,50
Japan,1989,0972,17125,PHI,Fisheries Sector Program,SERD,SEAE,09/26/1989,,,,,0,,70,,70
Japan,1989,0986,22229,PHI,Angat Water Supply Optimization,SERD,SESS,11/14/1989,,,,,0,,56.89,,56.89
Japan,1989,0997,22355,PNG,Agriculture Sector Program,PARD,POHQ,12/12/1989,,,,,0,,20,,20
Japan,1989,1005,,FIJ,Low Income Housing Development,PARD,,12/21/1989,,,,,0,1.3,,,1.3
Japan,1989,9999INO3,,INO,Third Untied Loan (11 Bank Projects),SERD,,12/15/1989,,,,,0,,350,,350
Japan,1990,1027,,THA,Third Highway (Sector),SERD,,08/28/1990,,,,,0,,97,,97
Japan,1990,1032,18138,INO,Power XX,SERD,SEEN,09/25/1990,,,,,0,,83.28,,83.28
Japan,1990,1042,24212,PHI,Sixteenth Power (Masinloc Thermal Power),SERD,,10/30/1990,,,,,0,,150,,150
Japan,1990,1047,21176,PHI,Road and Road Transport Program,SERD,,11/08/1990,,,,,0,,100,,100
Japan,1991,1081,25092,IND,Special Assistance,SARD,,04/04/1991,,,,,0,,150,,150
Japan,1991,1098,,THA,Fourth Highway (Sector),SERD,SEID,09/17/1991,,,,,0,,72.12,,72.12
Japan,1991,1148,25363,IND,Hydrocarbon Sector Program,SARD,,12/17/1991,,,,,0,,250,,250
Japan,1992,1162,21064,PRC,Laiwu Iron & Steel Mill Modernization & Expansion,EARD,EARD,03/31/1992,,,,,0,,35,,35
Japan,1992,1164/8135/8137,22138,FIJ,Second Road Upgrading,PARD,,06/18/1992,,,,,0,,6.5,,6.5
Japan,1992,1169,25370,THA,Bongkot Gas Transmission,SERD,SEID,07/02/1992,,,,,0,,52.3,,52.3
Japan,1992,1190,,LAO,Rehabilitation & Upgrading Vientiane Water Supply,SERD,,11/17/1992,,,,,0,19.3,,,19.3
Japan,1992,9999INO,,INO,Fourth Untied Loan (5 ADB Projects),SERD,,08/21/1992,,,,,0,,200,,200
Japan,1993,1222,,IND,Gas Flaring Reduction,SARD,,03/30/1993,,,,,0,,55.1,,55.1
Japan,1993,1239,,THA,Second Rural Telecommunications,SERD,,06/29/1993,,,,,0,,19.1,,19.1
Japan,1993,1266,26366,LAO,Airports Improvement,SERD,SEID,11/18/1993,,,,,0,4.1,,,4.1
Japan,1993,1272,,VIE,Road Improvement,SERD,,11/29/1993,,,,,0,,36,,36
Japan,1993,1276,26347,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,,,,,0,,70.4,,70.4
Japan,1993,1285,26346,IND,Gas Rehabilitation and Expansion,SARD,,12/07/1993,,,,,0,,63.83,,63.83
Japan,1993,1287,,BAN,Road Overlay and Improvement,SARD,,12/09/1993,,,,,0,,45,,45
Japan,1993,1293,,BAN,Third Natural Gas Development,SARD,SAID,12/21/1993,,,,,0,,15.23,,15.23
Japan,1994,1298,22237,BAN,Jamuna Bridge,SARD,SATC,03/08/1994,,,,,0,,200,,200
Japan,1994,1306,,THA,Regional Roads,SERD,MKRD,07/19/1994,,,,,0,,150,,150
Japan,1995,1356,,BAN,Rural Electrification,SARD,,05/30/1995,,,,,0,,13.5,,13.5
Japan,1995,1357,,INO,Gas Transmission and Distribution,SERD,SEID,06/08/1995,,,,,0,,104.72,,104.72
Japan,1995,1362,,LAO,Vientiane Integrated Urban Development,SERD,,08/17/1995,,,,,0,5.65,,,5.65
Japan,1995,1369,,LAO,Champassak Road Improvement,SERD,SEID,08/31/1995,,,,,0,70,,,70
Japan,1995,1398,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,,,,,0,,244,,244
Japan,1995,1402,,SRI,Plantation Reform,SARD,SAAE,11/09/1995,,,,,0,,40,,40
Japan,1995,1410,,THA,Samut Prakarn Wastewater Management,SERD,,12/07/1995,,,,,0,,70,,70
Japan,1995,1413,,PAK,National Drainage Program,CWRD,SAAE,12/12/1995,,,,,0,,100,,100
Japan,1995,1419,,PRC,Ping Hu Oil and Gas Development,EARD,EAEN,12/21/1995,,,,,0,,89.58,,89.58
Japan,1996,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0,,350,,350
Japan,1996,1444,,KGZ,Road Rehabilitation,CWRD,,06/13/1996,,,,,0,,20.84,,20.84
Japan,1996,1452,26362,NEP,"Kali Gandaki ""A"" Hydroelectric",SARD,SAID,07/23/1996,,,,,0,,100.6,,100.6
Japan,1996,1456,29163,LAO,Nam Leuk Hydropower Development,SERD,SEID,09/10/1996,,,,,0,,38.5,,38.5
Japan,1996,1473,23233,PHI,Sixth Road,SERD,,09/30/1996,,,,,0,,160,,160
Japan,1996,1478,,BAN,Jamuna Bridge Access Roads,SARD,SAID,11/05/1996,,,,,0,9.98,,,9.98
Japan,1996,1478,,BAN,Jamuna Bridge Access Roads,SARD,SAID,11/05/1996,,,,,0,,47.31,,47.31
Japan,1996,1487,,VIE,Second Road Improvement,SERD,SEID,11/21/1996,,,,,0,,40.4,,40.4
