proj_no,approval_number,partner,year,approval_numbers_cofin,loan_grant_title,coms_proj_no,coms_proj_title,coms_project_title
47037-004,3146,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,3147,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,0084,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,8290,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,47037-004,,GREEN POWER DEVT & ENERGY EFFICIENCY IMPROVEMENT INVESTMENT - T1
46391-001,3161,AIF,2014,3161/8286,Ha Noi and Ho Chi Minh City Power Grid Development Sector,not in CoMs,,not in CoMs
46391-001,8286,AIF,2014,3161/8286,Ha Noi and Ho Chi Minh City Power Grid Development Sector,46391-001,,HA NOI AND HO CHI MINH CITY POWER GRID DEVELOPMENT SECTOR PROJECT
48326-001,0411,AITF,2014,0411/0412,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,not in CoMs,,not in CoMs
48326-001,0412,AITF,2014,0411/0412,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,48326-001,,NORTHERN FLOOD-DAMAGED INFRASTRUCTURE EMERGENCY RE
46009-003,2852,"Australia,Australia",2014,2852/3125/0285,Flood Damage Emergency Reconstruction ﾖ Additional Financing,not in CoMs,,not in CoMs
46009-003,3125,"Australia,Australia",2014,2852/3125/0285,Flood Damage Emergency Reconstruction ﾖ Additional Financing,not in CoMs,,not in CoMs
46009-003,0285,"Australia,Australia",2014,2852/3125/0285,Flood Damage Emergency Reconstruction ﾖ Additional Financing,46009-001,,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT
42334-014,3151,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0401,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0402,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0466,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0467,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FIN
42334-014,8299,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,8300,"Australia,Australia",2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FINANCING)
47919-014,3130,Canada,2014,3130/7407/8281,Adjaristsqali Hydropower,not in CoMs,,not in CoMs
47919-014,7407,Canada,2014,3130/7407/8281,Adjaristsqali Hydropower,not in CoMs,,not in CoMs
47919-014,8281,Canada,2014,3130/7407/8281,Adjaristsqali Hydropower,,,LN8281-GEO: ADJARISTSQALI (CCFPS)
42182-013,2517,CEF-CEFPF,2014,2517/0384,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,not in CoMs,,not in CoMs
42182-013,0384,CEF-CEFPF,2014,2517/0384,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,42182-013,,ADDN FIN:RENEW ENERGY DEV&NET EXPANSN&REHAB FR REM
45200-002,3113,CTF,2014,3113/8279,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,not in CoMs,,not in CoMs
45200-002,8279,CTF,2014,3113/8279,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,45200-002,,SUSTNBLE URBAN TRNSPRT FR HO CHI MINH CITY MASS RAPID TRANSIT L2
48233-001,3219,CTF,2014,3219/7435/8289,Subyai Wind Power,not in CoMs,,not in CoMs
48233-001,7435,CTF,2014,3219/7435/8289,Subyai Wind Power,not in CoMs,,not in CoMs
48233-001,8289,CTF,2014,3219/7435/8289,Subyai Wind Power,,,LN8289-THA:CHAIYAPHUM WIND CTF
40080-024,3235,CTF,2014,3235/8291,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,not in CoMs,,not in CoMs
40080-024,8291,CTF,2014,3235/8291,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,40080-024,,STRENGTHENING SUSTAINABLEURBAN TRANSPORT FOR HA NOI METRO LINE 3
47937-001,7409,CTF,2014,7409/8283,Rantau Dedap Geothermal Development (Phase 1),not in CoMs,,not in CoMs
47937-001,8283,CTF,2014,7409/8283,Rantau Dedap Geothermal Development (Phase 1),,,LN8283- INO:RANTAU DEDAP
46416-002,3150,EBRD,2014,3150,Power Transmission Rehabilitation,not in CoMs,,not in CoMs
46416-002,3150,EBRD,2014,3150,Power Transmission Rehabilitation,not in CoMs,,not in CoMs
46455-004,0414,EC,2014,0414/0424/0443,Electricity Supply Security and Sustainability,not in CoMs,,not in CoMs
46455-004,0424,EC,2014,0414/0424/0443,Electricity Supply Security and Sustainability,46455-002,,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
46455-004,0443,EC,2014,0414/0424/0443,Electricity Supply Security and Sustainability,46455-002,,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
44482-025,0422,EC,2014,0422/0423,Transport Network Development Investment Program ﾖ Tranche 4,not in CoMs,,not in CoMs
44482-025,0423,EC,2014,0422/0423,Transport Network Development Investment Program ﾖ Tranche 4,44482-025,,MFF:TRANSPORT NETWORK DEVELOPMENT INVESTMENT_PROGR
46453-002,3193,EC,2014,3193/0415,Renewable Energy Sector,not in CoMs,,not in CoMs
46453-002,0415,EC,2014,3193/0415,Renewable Energy Sector,46453-002,,RENEWABLE ENERGY SECTOR PROJECT
46348-003,3212,EDB,2014,3212/0419,Toktogul Rehabilitation Phase 2,not in CoMs,,not in CoMs
46348-003,0419,EDB,2014,3212/0419,Toktogul Rehabilitation Phase 2,not in CoMs,,not in CoMs
46122-003,0409,EIB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,not in CoMs,,not in CoMs
46122-003,0410,EIB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV
46122-003,0429,EIB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG
42378-015,2966,EIB,2014,2966/0320,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),not in CoMs,,not in CoMs
42378-015,0320,EIB,2014,2966/0320,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),42378-015,,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM
43281-013,2990,EIB,2014,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
43281-013,2991,EIB,2014,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
44219-014,3139,EIB,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,not in CoMs,,not in CoMs
44219-014,0397,EIB,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
44219-014,0398,EIB,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
46168-001,3169,EIB,2014,3169/3170,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,not in CoMs,,not in CoMs
46168-001,3170,EIB,2014,3169/3170,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,not in CoMs,,not in CoMs
46268-002,3186,EIB,2014,3186,Clean Energy Finance Investment Program ﾖ Tranche 1 ,not in CoMs,,not in CoMs
45148-007,3029,France,2014,3029/3030/8282,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2,not in CoMs,,not in CoMs
45148-007,3030,France,2014,3029/3030/8282,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2,not in CoMs,,not in CoMs
45148-007,8282,France,2014,3029/3030/8282,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2,45148-007,,GREATER COLOMBO WATER & WWATER MGT IMPROVEMENT INVESTMENT PROG-P2
44253-013,3111,France,2014,3111,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,not in CoMs,,not in CoMs
47037-004,3146,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,3147,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,0084,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
47037-004,8290,"France,AFD",2014,3146/3147/0084/8290,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,47037-004,,GREEN POWER DEVT & ENERGY EFFICIENCY IMPROVEMENT INVESTMENT - T1
38097-013,9135,GDCF,2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
38097-013,0277,GDCF,2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
38097-013,0382,GDCF,2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
38097-013,0406,GDCF,2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
44007-013,2915,GEF,2014,2915/0388,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing,not in CoMs,,not in CoMs
44007-013,0388,GEF,2014,2915/0388,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing,44007-013,,JIANGXI FUZHOU URBAN INTEGRATED INFRASTRUCTURE IMP
45022-002,3216,GEF,2014,3216/0420,Jiangxi Ji'an Sustainable Urban Transport,not in CoMs,,not in CoMs
45022-002,0420,GEF,2014,3216/0420,Jiangxi Ji'an Sustainable Urban Transport,45022-002,,JIANGXI JI'AN SUSTAINABLE URBAN TRANSPORT PROJECT
48134-001,3164,Germany,2014,3164,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,not in CoMs,,not in CoMs
42251-018,3119,"Germany,Germany",2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
42251-018,3120,"Germany,Germany",2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
47300-002,3198,IFAD,2014,3198,Northern Smallholder Livestock Commercialization,not in CoMs,,not in CoMs
47300-002,3198,IFAD,2014,3198,Northern Smallholder Livestock Commercialization,not in CoMs,,not in CoMs
46122-003,0409,IsDB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,not in CoMs,,not in CoMs
46122-003,0410,IsDB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV
46122-003,0429,IsDB,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG
47094-001,3090,IsDB,2014,3090/3091/3092,Jamshoro Power Generation (Supplementary),not in CoMs,,not in CoMs
47094-001,3091,IsDB,2014,3090/3091/3092,Jamshoro Power Generation (Supplementary),not in CoMs,,not in CoMs
47094-001,3092,IsDB,2014,3090/3091/3092,Jamshoro Power Generation (Supplementary),not in CoMs,,not in CoMs
39399-034,3117,Japan,2014,3117/0383,South Asia Tourism Infrastructure Development ﾖ Additional Financing,not in CoMs,,not in CoMs
39399-034,0383,Japan,2014,3117/0383,South Asia Tourism Infrastructure Development ﾖ Additional Financing,39399-013,,SOUTH ASIA TOURISM INFRASTRUCTURE DEVELOPMENT PROJ
47187-001,9177,Japan,2014,9177,Pro-Poor Community Infrastructure and Basic Services,47187-001,,PRO-POOR COMMUNITY INFRASTRUCTURE AND BASIC SERVIC
46009-002,9178,"Japan,JFPR",2014,9178,Community-Based Disaster Risk Reduction,46009-002,,COMMUNITY-BASED DISASTER RISK REDUCTION
46270-002,9179,"Japan,JFPR",2014,9179,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin,46270-002,,COMMUNITY-BSD FLOOD RSK MNGT&DISASTR RESPONSE IN T
47015-001,3126,"Japan,JICA",2014,3126,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),not in CoMs,,not in CoMs
47293-001,3227,"Japan,JICA",2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
47293-001,3228,"Japan,JICA",2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
46009-002,9178,"Japan,JFPR",2014,9178,Community-Based Disaster Risk Reduction,46009-002,,COMMUNITY-BASED DISASTER RISK REDUCTION
46270-002,9179,"Japan,JFPR",2014,9179,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin,46270-002,,COMMUNITY-BSD FLOOD RSK MNGT&DISASTR RESPONSE IN T
47015-001,3126,"Japan,JICA",2014,3126,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),not in CoMs,,not in CoMs
47293-001,3227,"Japan,JICA",2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
47293-001,3228,"Japan,JICA",2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
42251-018,3119,Korea,2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
42251-018,3120,Korea,2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
42334-014,3151,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0401,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0402,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0466,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0467,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FIN
42334-014,8299,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,8300,Korea,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FINANCING)
43072-013,2795,MDTF-WFPF,2014,2795/0263/0387,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing,not in CoMs,,not in CoMs
43072-013,0263,MDTF-WFPF,2014,2795/0263/0387,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing,43072-013,,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT
43072-013,0387,MDTF-WFPF,2014,2795/0263/0387,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing,43072-013,,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT
42334-014,3151,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0401,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0402,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,0466,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,not in CoMs,,not in CoMs
42334-014,0467,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FIN
42334-014,8299,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II
42334-014,8300,NDF,2014,3151/401/402/466/467/8299/8300,Rural Roads Improvement II,42334-014,,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FINANCING)
44167-014,3138,Netherlands,2014,3138/0396,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1,not in CoMs,,not in CoMs
44167-014,0396,Netherlands,2014,3138/0396,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1,44167-014,,MFF:FLOOD&RIVERBANK EROSION RISK MGMT INVESTMENT P
40263-033,0127,New Zealand,2014,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
40263-033,0292,New Zealand,2014,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
40263-033,0293,New Zealand,2014,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
48192-001,0389,"New Zealand,New Zealand",2014,0389/0390,Cyclone Ian Recovery,not in CoMs,,not in CoMs
48192-001,0390,"New Zealand,New Zealand",2014,0389/0390,Cyclone Ian Recovery,48192-001,,CYCLONE IAN RECOVERY PROJECT
47314-001,0416,"New Zealand,New Zealand",2014,416,Strengthening Fiscal Stability Program,not in CoMs,,not in CoMs
44219-014,3139,Norway,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,not in CoMs,,not in CoMs
44219-014,0397,Norway,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
44219-014,0398,Norway,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
33209-014,3124,OFID,2014,3124/8288,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing,not in CoMs,,not in CoMs
33209-014,8288,OFID,2014,3124/8288,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing,33209-013,,PARTLY ADMIN:COMMUNITY-MANAGED IRRIGATED AGRICULTURE SECTOR-ADDFI
39295-013,3142,OFID,2014,3142/8285,Third Urban Governance and Infrastructure Improvement (Sector),not in CoMs,,not in CoMs
39295-013,8285,OFID,2014,3142/8285,Third Urban Governance and Infrastructure Improvement (Sector),39295-013,,THIRD URBAN GOVERNANCE AND INFRASTRUCTURE IMPROVEMENT(SECTOR PROJ
35173-013,3157,OFID,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,not in CoMs,,not in CoMs
35173-013,0405,OFID,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,35173-013,,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECT
35173-013,8304,OFID,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,35173-013,,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PROJECT
47052-002,3218,"P.R.C.,SpDB",2014,3218,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,not in CoMs,,not in CoMs
44212-013,3133,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,not in CoMs,,not in CoMs
44212-013,0394,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,0395,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,8284,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,3133,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,not in CoMs,,not in CoMs
44212-013,0394,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,0395,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,8284,SCF-PPCR,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
48901-014,3158,SCF-PPCR,2014,3158/8287,Spice Value Chain Development Project,not in CoMs,,not in CoMs
48901-014,8287,SCF-PPCR,2014,3158/8287,Spice Value Chain Development Project,not in CoMs,,not in CoMs
46122-003,0409,SCF-SREP,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,not in CoMs,,not in CoMs
46122-003,0410,SCF-SREP,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV
46122-003,0429,SCF-SREP,2014,0409/0410/0429,Preparing Outer Islands for Sustainable Energy Development,46122-003,,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG
44219-014,3139,SCF-SREP,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,not in CoMs,,not in CoMs
44219-014,0397,SCF-SREP,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
44219-014,0398,SCF-SREP,2014,3139/0397/0398,South Asia  Subregional Economic Cooperation Power System Expansion,44219-014,,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY
47052-002,3218,"P.R.C.,SpDB",2014,3218,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,not in CoMs,,not in CoMs
42466-015,3131,Switzerland,2014,3131/0391,Skills for Employment Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
42466-015,0391,Switzerland,2014,3131/0391,Skills for Employment Investment Program ﾖ Tranche 1,42466-015,,MFF: SKILLS FOR EMPLOYMENT INVESTMENT PROGRAM-TRAN
43253-025,3148,UFPF-UEIF,2014,3148/0399,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1,not in CoMs,,not in CoMs
43253-025,0399,UFPF-UEIF,2014,3148/0399,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1,43253-025,,MFF:KARNATAKA INTEGRATED URBAN WATER MNGMT INVESTM
45306-001,3141,"Uzbekistan,UFRD",2014,3141,Takhiatash Power Plant Efficiency Improvement,not in CoMs,,not in CoMs
38097-013,9135,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
38097-013,0277,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
38097-013,0382,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
38097-013,0406,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
45306-001,3141,"Uzbekistan,UFRD",2014,3141,Takhiatash Power Plant Efficiency Improvement,not in CoMs,,not in CoMs
38097-013,9135,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
38097-013,0277,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
38097-013,0382,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
38097-013,0406,"U.K.,United Kingdom",2014,9135/0277/0382/0406,Establishing Women and Children Service Centers ﾖ Additional Financing,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
44212-013,3133,WFPF-SFPTF,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,not in CoMs,,not in CoMs
44212-013,0394,WFPF-SFPTF,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,0395,WFPF-SFPTF,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
44212-013,8284,WFPF-SFPTF,2014,3133/0394/0395/8284,Coastal Towns Environmental Infrastructure,44212-013,,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT
35173-013,3157,WFPF-SFPTF,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,not in CoMs,,not in CoMs
35173-013,0405,WFPF-SFPTF,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,35173-013,,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECT
35173-013,8304,WFPF-SFPTF,2014,3157/0405/8304,Third Small Towns Water Supply and Sanitation Sector,35173-013,,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PROJECT
42267-026,3182,WFPF-SFPTF,2014,3182/3183/0413,Rajasthan Urban Sector Development Program,not in CoMs,,not in CoMs
42267-026,3183,WFPF-SFPTF,2014,3182/3183/0413,Rajasthan Urban Sector Development Program,not in CoMs,,not in CoMs
42267-026,0413,WFPF-SFPTF,2014,3182/3183/0413,Rajasthan Urban Sector Development Program,42267-026,,RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM
47314-001,0416,World Bank,2014,416,Strengthening Fiscal Stability Program,not in CoMs,,not in CoMs
46420-002,3100,World Bank,2014,3100,KALAHI-CIDSS National Community-Driven Development ,not in CoMs,,not in CoMs
42251-018,3119,World Bank,2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
42251-018,3120,World Bank,2014,3119/3120,Skills Sector Enhancement Program,not in CoMs,,not in CoMs
47015-001,3126,World Bank,2014,3126,Sustainable Energy Sector Reform Program ﾖ Subprogram 1,not in CoMs,,not in CoMs
47293-001,3227,World Bank,2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
