Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
2009,7275,REG,Implementing the Greater Mekong Subregion Human Resource Development Strategic Framework and Action Plan,RETA,J,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,17-Dec-2008,29-Apr-2009
2009,7275,REG,Implementing the Greater Mekong Subregion Human Resource Development Strategic Framework and Action Plan,RETA,J,C,Multisector,Special Fund,ADB,750.00,RCIF,11-Nov-2008,29-Apr-2009
2009,7277,REG,Governance and Capacity Development Initiative (Phase 2),RETA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,22-Feb-2008,28-Apr-2009
2009,7278,REG,Carbon Dioxide Capture and Storage Demonstration in Developing Countries - Analysis of Key Policy Issues and Barriers,RETA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,350.00,CCSF,22-Oct-2009,07-May-2009
2009,7282,REG,Creation of the Pacific Information Superhighway with the University of the South Pacific Network,R-PPTA,E,PS,Education,Bilateral,Single Donor,"1,000.00",IND,09-May-2009,12-May-2009
2009,7284,REG,Institutions for Regionalism: Enhancing Economic Cooperation and Integration in Asia and the Pacific ,RETA,E,C,Public Sector Management,Special Fund,ADB,"1,500.00",RCIF,30-Mar-2009,22-May-2009
2009,7286,PRC,Carbon Dioxide Capture and Storage Demonstration - Strategic Analysis and Capacity Strengthening,CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,000.00",CCSF,22-Oct-2009,22-May-2009
2009,7290,REG,Achieving Urban Water Security for South Asia,R-CDTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,850.00,ICFF,09-Oct-2008,01-Jun-2009
2009,7294,PRC,Municipal Waste to Energy Project,CDTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,653.00,CEF-CEFPF,05-May-2009,04-Jun-2009
2009,7297,MON,Road Database Development Using Geographic Information System,CDTA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,08-Apr-2009,09-Jun-2009
2009,7298,NEP,High Mountain Agribusiness and Livelihood Improvement (HIMALI) Project,PPTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,730.00,CCF,28-May-2009,08-Jun-2009
2009,7301,SAM,"Water Supply, Sanitation and Drainage Project",PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,AUS-PRIF,09-Apr-2009,23-Jun-2009
2009,7305,CAM,Tonle Sap Technology Demonstrations for Productivity Enhancement,CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,EAKPF,14-Jul-2008,01-Jul-2009
2009,7305,CAM,Tonle Sap Technology Demonstrations for Productivity Enhancement,CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,"2,700.00",Second Finnish Technical Assistance Grant Fund,23-Dec-2008,01-Jul-2009
2009,7306,PRC,Policy Study on Government Public Expenditure in Agricultural Production,PATA,J,C,Agriculture and Natural Resources,Special Fund,ADB,500.00,CCF,20-May-2009,06-Jul-2009
2009,7307,REG,"Regional Cooperation on Knowledge Management, Policy, and Institutional Support to the Coral Triangle Initiative",R-RDTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,500.00,RCIF,11-Nov-2008,08-Jul-2009
2009,7307,REG,"Regional Cooperation on Knowledge Management, Policy, and Institutional Support to the Coral Triangle Initiative",R-RDTA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,"1,200.00",GEF,11-Jul-2009,08-Jul-2009
2009,7315,REG,Sustainable Fuel Partnership Study: Exploring an Innovative Market Scheme to Advance Sustainable Transport and Fuel Security,R-RDTA,J,PS,Multisector,Bilateral,Single Donor,300.00,AUT,03-Aug-2009,21-Jul-2009
2009,7320,SRI,Supporting Capacity Development for Wastewater Management Services in Colombo,CDTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,150.00,MDTF-WFPF,17-Jun-2009,28-Jul-2009
2009,7321,PAK,Punjab Cities Improvement Investment Program,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,400.00,MDTF-WFPF,13-May-2009,29-Jul-2009
2009,7326,SRI,Strengthening Capacity for Climate Change Adaptation,CDTA,E,C,Multisector,Special Fund,ADB,700.00,CCF,28-May-2009,05-Aug-2009
2009,7329,REG,Promoting Access to Renewable Energy in the Pacific,R-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"3,000.00",CEF-CEFPF,08-Dec-2008,11-Aug-2009
2009,7334,IND,India Municipal Finance Study,PATA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,03-Aug-2009,24-Aug-2009
2009,7335,SOL,Transport Sector Development Project,PPTA,J,C,Transport and ICT,Bilateral,Single Donor,250.00,AUS-PRIF,05-Jun-2009,21-Aug-2009
2009,7337,REG,Deposit Insurance Establishment,R-PATA,E,C,Finance,Bilateral,Single Donor,500.00,PRC-PR Fund,17-Dec-2008,27-Aug-2009
2009,7338,INO,Strengthening Indonesia's Economic Early Warning System,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,29-May-2009,21-Aug-2009
2009,7345,VAN,Port Vila Urban Development Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,750.00,AUS-PRIF,05-Jun-2009,10-Sep-2009
2009,7348,REG,Capacity Development in Results-Based Monitoring and Evaluation for Countries under the Asian Development Bank's Central Asia Regional Economic Cooperation Program,R-CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,17-Dec-2008,17-Sep-2009
2009,7351,REG,Improving Public Services through Information and Communication Technology,RETA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,29-May-2009,22-Sep-2009
2009,7353,REG,Central Asia Regional Economic Cooperation: Working with the Private Sector in Trade Facilitation,R-PATA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,31-May-2009,25-Sep-2009
2009,7353,REG,Central Asia Regional Economic Cooperation: Working with the Private Sector in Trade Facilitation,R-PATA,J,C,Industry and Trade,Special Fund,ADB,"1,500.00",RCIF,30-Mar-2009,25-Sep-2009
2009,7356,REG,Developing Cross-Border Economic Zones between the People's Republic of Republic of China and Viet Nam,PATA,E,C,Industry and Trade,Special Fund,ADB,800.00,RCIF,30-Mar-2009,30-Sep-2009
2009,7359,KIR,Tarawa Sanitation Improvement Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,AUS-PRIF,08-Apr-2009,01-Oct-2009
2009,7365,MON,Capacity Building Program on Clean Development Mechanism,CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,21-Jul-2009,22-Oct-2009
2009,7367,PHI,Pasig River Catchment Sewerage Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,300.00,MDTF-WFPF,21-Aug-2009,26-Oct-2009
2009,7377,VIE,Climate Change Impact and Adaptation Study in the Mekong Delta,CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,AUS,18-May-2009,11-Nov-2009
2009,7377,VIE,Climate Change Impact and Adaptation Study in the Mekong Delta,CDTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,500.00,CCF,28-Sep-2009,11-Nov-2009
2009,7379,REG,Establishment of e-Systems in Support of Infrastructure Finance in Asia,CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,02-Sep-2009,13-Nov-2009
2009,7380,REG,Enhancing Border Trade Services and Rules for Small and Medium-Sized Enterprises,RETA,E,C,Finance,Special Fund,ADB,"1,500.00",RCIF,11-Nov-2009,18-Nov-2009
2009,7390,IND,Advanced Project Preparedness for Poverty Reduction-Madhya Pradesh State Roads III (Subproject 1),PPTA,E,PS,Transport and ICT,Bilateral,Single Donor,600.00,UKG,18-Nov-2009,11-Sep-2009
2009,7392,IND,Advanced Project Preparedness for Poverty Reduction-Support for the Jawaharial Nehru National Urban Renewal Mission (Phase II) (Subproject 2),CDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,200.00",UKG,19-Nov-2009,11-Sep-2009
2009,7394,REG,Strengthening the Capacity of the Pacific Developing Member Countries to Respond to Climate Change (Phase 1),R-CDTA,J,C,Multisector,Bilateral,Single Donor,325.00,Canada-Climate,06-Oct-2009,23-Nov-2009
2009,7394,REG,Strengthening the Capacity of the Pacific Developing Member Countries to Respond to Climate Change (Phase 1),R-CDTA,J,C,Multisector,Special Fund,ADB,"1,365.00",CCF,28-Sep-2009,23-Nov-2009
2009,7399,REG,Information and Communication Technology-Based Inclusive Growth and Poverty Reduction in the Pacific ,RETA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,13-Apr-2009,03-Dec-2009
2009,7402,PRC,Concentrating Solar Thermal Power Development,CDTA,E,C,Energy,Special Fund,ADB,"1,000.00",CCF,17-Sep-2009,03-Dec-2009
2009,7407,REG,Small Scale TA on Managing Climate Impacts on Health in Water and Agriculture Sectors and Disaster Risk Reduction,R-PATA,E,PS,Health and Social Protection,Bilateral,Single Donor,140.00,SWE,,09-Dec-2009
2009,7408,REG,Policy Options to Support Climate-Induced Migration,R-RDTA,E,C,Public Sector Management,Special Fund,ADB,700.00,CCF,,08-Dec-2009
2009,7410,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development for Sustainable Coastal Protection and Management (Subproject 3),C-CDTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,200.00,UKG,18-Nov-2009,04-Dec-2009
2009,7414,ARM,Institutional Modernization to Improve the Business Environment,CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,20-Nov-2008,08-Dec-2009
2009,7417,IND,Support for the National Action Plan on Climate Change,PATA,E,C,Multisector,Special Fund,ADB,750.00,CCF,,07-Dec-2009
2009,7423,REG,Regional Economics of Climate Change in South Asia Part II: Adaptation and Impact Assessment,PATA,J,PS,Multisector,Bilateral,Single Donor,700.00,UKG,15-Feb-2010,07-Dec-2009
2009,7430,REG,Pacific Private Sector Development Initiative Phase II,R-PATA,J,PS,Multisector,Bilateral,Single Donor,"9,000.00",AUS,24-Dec-2009,10-Dec-2009
2009,7432,BAN,Second Chittagong Hill Tracts Rural Development Project (CHTRDP II),PPTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,265.00,MDTF-WFPF,21-Aug-2009,07-Dec-2009
2009,7437,REG,Asia Pacific Procurement Partnership Initiative,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,31-May-2009,11-Dec-2009
2009,7439,PRC,Management and Policy Support to Combat Land Degradation,CDTA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,"2,727.46",GEF,04-Nov-2009,08-Dec-2009
2009,7442,PRC,Developing a Low-Carbon Economy in Yunnan Province,CDTA,E,C,Energy,Special Fund,ADB,400.00,CCF,17-Sep-2009,14-Dec-2009
2009,7443,PRC,Energy Efficiency Improvements in Inner Mongolia Autonomous Region,CDTA,E,C,Energy,Special Fund,ADB,500.00,CCF,,14-Dec-2009
2009,7444,THA,Small-Scale TA- Lamthakong Wind Farm Development Project,S-PPTA,E,C,Energy,Bilateral,Single Donor,160.00,ACEF,21-Oct-2009,08-Dec-2009
2009,7445,THA,Small-Scale TA-Chaiyapun Wind Farm Development Project,S-PPTA,E,C,Energy,Bilateral,Single Donor,160.00,ACEF,21-Oct-2009,08-Dec-2009
2009,7459,REG,Greater Mekong Subregion Biodiversity Conservation Corridors,PPTA,E,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2009,17-Dec-2009
2009,7460,CAM,Outcome Monitoring and Procurement Review,R-CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,400.00,AUS,,15-Dec-2009
2009,7462,MON,Ulaanbaatar Clean Air,PATA,E,C,Energy,Bilateral,Single Donor,500.00,ACEF,02-Jul-2009,14-Dec-2009
2009,7465,REG,Economics of Climate Change and Low Carbon Growth Strategies in Northeast Asia,R-RDTA,E,PS,Multisector,Bilateral,Single Donor,800.00,KOICA,17-Dec-2009,04-Dec-2009
2009,7472,CAM,Implementation of Subprogram 4 of the Financial Sector Program II,CDTA,J,PS,Finance,Bilateral,Single Donor,500.00,LUX,13-Oct-2009,18-Dec-2009
2009,7477,REG,ASEAN+3 Regional Guarantee and Investment Mechanisim (Phase 3),R-PATA,E,C,Finance,Bilateral,Single Donor,"1,370.00",ICFF,18-Dec-2009,21-Dec-2009
2009,7478,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development of Bihar Power Sector Entities (Subproject 4),CDTA,E,PS,Energy,Bilateral,Single Donor,500.00,UKG,18-Nov-2009,20-Nov-2009
2010,4573,IND,Advanced Project Preparedness for Poverty Reduction - Water Users Association Empowerment for Improved Irrigation Management in Chhattisgarh (Subproject 5) (3rd Supplementary),CDTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,150.00,MDTF-WFPF,18-Jan-2008,10-Aug-2010
2010,4573,IND,Advanced Project Preparedness for Poverty Reduction - Water Users Association Empowerment for Improved Irrigation Management in Chhattisgarh (Subproject 5) (2nd Supplementary),CDTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,700.00,UKG,18-Nov-2009,03-Feb-2010
2010,6143,REG,Promoting Gender Equality and Women's Empowerment,R-CDTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,835.00,GDCF,25-Aug-2010,23-Sep-2010
2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,422.00,KfW,24-Nov-2010,13-Dec-2010
2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",AUT,02-Aug-2010,15-Oct-2010
2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,92.00,NDF,01-Oct-2009,01-Feb-2010
2010,6293,REG,Managing the Cities in Asia,R-RDTA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,365.00",SWE,10-Dec-2009,01-Feb-2010
2010,6353,REG,Private Sector Development Initiative,R-PATA,J,C,Public Sector Management,Bilateral,Single Donor,600.00,AUS,29-Jan-2010,04-Mar-2010
2010,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",R-PATA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,09-Dec-2009,22-Feb-2010
2010,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",R-PATA,J,C,Public Sector Management,Special Fund,ADB,"1,000.00",RCIF,,22-Feb-2010
2010,6432,REG,Private Sector-Led Integration and Free Trade Agreements in South Asia,R-CDTA,E,PS,Industry and Trade,Bilateral,Single Donor,131.25,UKG,11-Oct-2010,12-Oct-2010
2010,6438,REG,Implementation of the Technical Support Facility under the Carbon Market Initiative,R-RDTA,J,PS,Energy,Bilateral,Single Donor,400.00,AUT,18-Nov-2009,16-Feb-2010
2010,6455,REG,Supporting the Third High-Level Forum on Aid Effectiveness and its Preparatory Consultation Process,R-PATA,E,PS,Public Sector Management,Bilateral,Single Donor,66.00,GTZ,23-Nov-2010,10-Dec-2010
2010,6485,REG,Promoting Energy Efficiency in the Pacific,R-PATA,J,PS,Energy,Global Fund,Multidonor,200.00,GEF,08-Apr-2010,13-Apr-2010
2010,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program,R-CDTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"1,500.00",MDTF-WFPF,09-Mar-2010,26-Mar-2010
2010,6522,REG,Establishment of the Pacific Infrastructure Advisory Center (Supplementary),R-PATA,E,PS,Multisector,Bilateral,Single Donor,"1,050.00",AUS,04-Jun-2010,19-Nov-2010
2010,7045,VIE,Central Mekong Delta Region Connectivity Project,PPTA,J,PS,Transport and ICT,Bilateral,Single Donor,"1,450.00",AUS,15-Mar-2010,06-Jan-2010
2010,7091,VIE,Ho Chi Min City Water Supply Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,300.00,MDTF-WFPF,09-Mar-2010,16-Apr-2010
2010,7173,NEP,Strengthening Capacity for Managing Climate Change and the Environment,CDTA,J,C,Public Sector Management,Special Fund,ADB,400.00,CCF,15-Dec-2008,11-Aug-2010
2010,7189,INO,Institutional Strengthening for Integrated Water Resources Management in the 6 Cis River Basin Territory,CDTA,E,C,Multisector,Special Fund,ADB,850.00,CCF,05-May-2009,29-Jul-2010
2010,7189,INO,Institutional Strengthening for Integrated Water Resources Management in the 6 Cis River Basin Territory,CDTA,E,C,Multisector,Special Fund,ADB,"1,700.00",CCF,20-May-2009,29-Jul-2010
2010,7215,VIE,Sustainable Rural Infrastructure Development Project in the Northern Mountain Provinces,S-PPTA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,50.00,GEF-SCCF,09-Jul-2009,21-Jan-2010
2010,7307,REG,"Regional Cooperation on Knowledge Management, Policy, and Institutional Support to the Coral Triangle Initiative",R-PATA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,168.00,AUS,11-Jun-2010,03-Sep-2010
2010,7359,KIR,Tarawa Sanitation Improvement Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,AUS-PRIF,11-Feb-2010,23-Dec-2010
2010,7379,REG,Establishment of e-Systems in Support of Infrastructure Finance in Asia,R-CDTA,J,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,02-Sep-2009,07-Sep-2010
2010,7394,REG,Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change (Phase 1),R-CDTA,E,C,Multisector,Bilateral,Single Donor,"1,500.00",ACEF,19-Feb-2010,30-Aug-2010
2010,7400,PNG,Strengthening Rural Primary Health Services Delivery,S-PPTA,J,C,Health and Social Protection,Bilateral,Single Donor,90.00,NZL,16-Dec-2009,04-May-2010
2010,7410,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development for Sustainable Coastal Protection and Management (Subproject 3),C-CDTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,90.00,UKG,22-Nov-2010,22-Nov-2010
2010,7431,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management IV,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,09-Dec-2009,05-Feb-2010
2010,7460,CAM,Outcome Monitoring and Procurement Review (Supplementary),R-CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,100.00,AUS,20-Apr-2010,15-Apr-2010
2010,7490,BAN,Second Urban Primary Health Care Project,S-CDTA,E,PS,Health and Social Protection,Bilateral,Single Donor,225.00,UKG,04-Feb-2010,21-Jan-2010
2010,7500,LAO,Enhancing Financial Sector Supervision,CDTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,250.00,RTFSI,15-Mar-2010,05-Feb-2010
2010,7503,REG,Capacity Strengthening and Institutional Development for Border Management and Trade and Tourism in the Pacific,R-CDTA,J,C,Industry and Trade,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2009,08-Mar-2010
2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,100.00,Second Finnish Technical Assistance Grant Fund,30-Apr-2009,05-Mar-2010
2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,323.00,Denmark-Energy,12-May-2009,05-Mar-2010
2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,510.00,Denmark-Energy 2,12-May-2009,05-Mar-2010
2010,7509,LAO,Capacity Enhancement for Coping with Climate Change,CDTA,J,PS,Multisector,Multilateral,Multidonor,"2,800.00",NDF,25-Jan-2010,11-Mar-2010
2010,7510,REG,Needs Assessment and Development of the Solar Energy Program,R-CDTA,E,C,Energy,Bilateral,Single Donor,"1,000.00",ACEF,03-Feb-2010,17-Mar-2010
2010,7512,REG,Empowering the Poor through Increasing Access to Energy,R-PPTA,J,C,Energy,Bilateral,Single Donor,150.00,Denmark-Energy,14-May-2010,03-Jun-2010
2010,7512,REG,Empowering the Poor through Increasing Access to Energy,R-PPTA,E,C,Energy,Bilateral,Single Donor,"2,000.00",ACEF,10-Feb-2010,09-Apr-2010
2010,7513,PHI,Computer Access Mentorship Program-a Public-Private Partnership for Enhancing Education Quality,CDTA,E,C,Education,Bilateral,Single Donor,500.00,EAKPF,21-Jul-2009,12-Apr-2010
2010,7519,REG,Evidence-Based Advocacy for Fighting HIV/AIDS in Asia and the Pacific: Regional HIV/AIDS Data Hub,R-CDTA,E,C,Health and Social Protection,Special Fund,ADB,500.00,RCIF,09-Nov-2009,14-Apr-2010
2010,7521,REG,"Strengthening Local Chambers of Commerce and Industry along the East-West Economic Corridor to Promote Trade, Investment and Value Chains",R-PATA,E,C,Industry and Trade,Bilateral,Single Donor,600.00,ICFF,02-Dec-2008,30-Mar-2010
2010,7524,NEP,Supporting Government Planning in Building Climate Resilience,S-PATA,E,PS,Multisector,Global Fund,Multidonor,225.00,SCF-PPCR,16-Mar-2010,24-Mar-2010
2010,7525,REG,Establishment of Microinsurance,R-PATA,E,C,Finance,Special Fund,ADB,750.00,RCIF,13-Nov-2009,26-Apr-2010
2010,7527,REG,Best Practice for Regulatory Framework and Use of Credit Rating Information of Domestic Credit Rating Agencies in South Asia,R-PATA,E,C,Finance,Bilateral,Single Donor,550.00,ICFF,09-Apr-2010,11-May-2010
2010,7529,REG,Study on a South Asia Regional Power Exchange,R-RDTA,E,C,Energy,Special Fund,ADB,750.00,RCIF,30-Mar-2009,13-May-2010
2010,7532,REG,Water and Adaptation Interventions in Central and West Asia,R-CDTA,E,C,Multisector,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2009,13-May-2010
2010,7534,REG,Strengthening Carbon Financing for Regional Grassland Management in Northeast Asia,R-CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,400.00,PRC-PR Fund,03-Jun-2005,17-May-2010
2010,7534,REG,Strengthening Carbon Financing for Regional Grassland Management in Northeast Asia,R-CDTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2010,17-May-2010
2010,7535,REG,Strengthening the Asia Pacific Adaptation Network,R-RDTA,E,C,Multisector,Bilateral,Single Donor,350.00,Second Finnish Technical Assistance Grant Fund,17-Nov-2009,20-May-2010
2010,7536,REG,Improving Liquidity of Bond Market in ASEAN+3,R-PATA,E,C,Finance,Bilateral,Single Donor,"1,250.00",ICFF,09-Apr-2010,19-May-2010
2010,7538,IND,Advanced Project Preparedness for Poverty Reduction-Land Transport Management and Master Plan for Sikkim (Subproject 6),PATA,E,PS,Transport and ICT,Bilateral,Single Donor,"1,100.00",UKG,18-Nov-2009,21-May-2010
2010,7539,REG,"Asian Bonds Online Website Project, Phase III",R-RDTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",JFPR,03-May-2010,31-May-2010
2010,7540,THA,Mainstreaming Public-Private Partnerships,PATA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,07-Apr-2010,02-Jun-2010
2010,7543,REG,Sharing Knowledge on Community-Driven Development in Asia and the Pacific,R-CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,19-Mar-2010,14-Jun-2010
2010,7549,REG,Developing a Regional Social Investment Exchange Initiative,R-RDTA,E,C,Multisector,Bilateral,Single Donor,600.00,ICFF,23-Dec-2009,18-Jun-2010
2010,7551,GEO,Developing a Geospatial Urban Water Supply and Sanitation Utility Management Systes,CDTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,800.00,SPA,29-Apr-2010,23-Jun-2010
2010,7552,REG,Support for Trade Facilitation in the Brunei Darussalam-Indonesia-Malaysia-Philippines East ASEAN Growth Area,R-PATA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,EAKPF,22-Feb-2010,14-Jun-2010
2010,7552,REG,Support for Trade Facilitation in the Brunei Darussalam-Indonesia-Malaysia-Philippines East ASEAN Growth Area,R-PATA,J,C,Industry and Trade,Bilateral,Single Donor,"1,000.00",ICFF,09-Apr-2010,14-Jun-2010
2010,7554,INO,Analytical and Capacity Development Partnership,CDTA,J,PS,Education,Bilateral,Single Donor,"23,000.00",AUS,23-Dec-2010,15-Jun-2010
2010,7554,INO,Analytical and Capacity Development Partnership,CDTA,J,PS,Education,Multilateral,Multidonor,"27,000.00",EC,13-Jul-2010,15-Jun-2010
2010,7556,MON,Public Transport Information and Communication Technology,CDTA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,22-Jan-2010,29-Jun-2010
2010,7557,REG,Promoting Regional Infrastructure Development,R-RDTA,J,C,Transport and ICT,Special Fund,ADB,"1,000.00",RCIF,18-May-2010,29-Jun-2010
2010,7558,REG,Central Asia Regional Economic Cooperation: Power Sector Regional Master Plan,R-RDTA,E,C,Energy,Special Fund,ADB,"1,500.00",RCIF,18-May-2010,30-Jun-2010
2010,7559,GEO,Regional Power Transmission Enhancement Project,PPTA,J,C,Energy,Bilateral,Single Donor,850.00,SPA,13-Jul-2010,28-Jul-2010
2010,7561,REG,Strengthening the Coordination of the GMS Program,R-PATA,J,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,05-Jul-2010,15-Jul-2010
2010,7561,REG,Strengthening the Coordination of the GMS Program,R-PATA,J,C,Multisector,Special Fund,ADB,450.00,RCIF,18-May-2010,15-Jul-2010
2010,7562,INO,Capacity Development for Metropolitan Sanitation Management and Health,CDTA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,000.00",AUS,31-May-2010,19-Jul-2010
2010,7564,PRC,Innovative Financing Mechanisms for Energy Efficiency and Emission Reduction in Small and Medium-Sized Enterprises,PATA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,300.00,CEF-CEFPF,07-May-2010,21-Jul-2010
2010,7565,IND,Advanced Project Preparedness for Poverty Reduction-Preparing an Investment Plan for Himachal Pradesh Urban Development (Subproject 7),PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,UKG,18-Nov-2009,14-Jul-2010
2010,7569,PHI,Three Wind Farm Projects in Luzon,PPTA,E,C,Energy,Bilateral,Single Donor,630.00,ACEF,25-Jun-2010,30-Jul-2010
2010,7571,MON,Reforming Higher Education for a Knowledge Society,PATA,E,C,Education,Bilateral,Single Donor,400.00,JFPR,10-Jun-2010,04-Aug-2010
2010,7573,NEP,Decentralized Rural Infrastructure and Livelihood II,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,JFPR,30-Jul-2010,09-Aug-2010
2010,7575,REG,Determining the Potential for Carbon Capture and Storage in Southeast Asia,R-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,900.00,CCSF,07-May-2010,11-Aug-2010
2010,7576,REG,Promoting an Interlinked ASEAN Capital Market,R-PATA,J,C,Finance,Bilateral,Single Donor,500.00,EAKPF,20-Apr-2010,09-Aug-2010
2010,7576,REG,Promoting an Interlinked ASEAN Capital Market,R-PATA,J,C,Finance,Bilateral,Single Donor,"1,500.00",ICFF,27-Apr-2010,09-Aug-2010
2010,7580,REG,Capacity Development of Selected Devloping Member Countries on International Taxation: Eighteenth Tax Conference,R-CDTA,E,C,Public Sector Management,Bilateral,Single Donor,181.00,JFPR,06-Aug-2010,20-Aug-2010
