,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
969,WFPF-SFPTF,2014.0,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
970,WFPF-SFPTF,2014.0,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
971,WFPF-SFPTF,2014.0,3182/3183/0413,3182,42267-026,Rajasthan Urban Sector Development Program
972,WFPF-SFPTF,2014.0,3182/3183/0413,3183,42267-026,Rajasthan Urban Sector Development Program
973,WFPF-SFPTF,2014.0,3182/3183/0413,0413,42267-026,Rajasthan Urban Sector Development Program
974,World Bank,2014.0,416,0416,47314-001,Strengthening Fiscal Stability Program
975,World Bank,2014.0,3100,3100,46420-002,KALAHI-CIDSS National Community-Driven Development 
976,World Bank,2014.0,3119/3120,3119,42251-018,Skills Sector Enhancement Program
977,World Bank,2014.0,3119/3120,3120,42251-018,Skills Sector Enhancement Program
978,World Bank,2014.0,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1
979,World Bank,2014.0,3227/3228,3227,47293-001,Improving Competitiveness Program
980,World Bank,2014.0,3227/3228,3228,47293-001,Improving Competitiveness Program
981,"France,AFD",2015.0,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
985,"France,AFD",2015.0,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
986,"France,AFD",2015.0,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
987,"France,AFD",2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
988,"France,AFD",2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
989,"France,AFD",2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
990,AIF,2015.0,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
991,AIF,2015.0,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
992,AIF,2015.0,3310/8294,3310,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
993,AIF,2015.0,3310/8294,8294,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
994,AIF,2015.0,3315/8296,3315,46443-003,Second Greater Mekong Subregion Corridors Towns Development
995,AIF,2015.0,3315/8296,8296,46443-003,Second Greater Mekong Subregion Corridors Towns Development
996,AIF,2015.0,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
997,AIF,2015.0,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
998,AITF,2015.0,0126/0437,0126,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
999,AITF,2015.0,0126/0437,0437,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
1001,AITF,2015.0,0464/0465,0464,47282-003,Energy Supply Improvement ProgramﾗTranche 1
1002,AITF,2015.0,0464/0465,0465,47282-003,Energy Supply Improvement ProgramﾗTranche 1
1003,AsIF,2015.0,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
1004,AsIF,2015.0,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
1005,AsIF,2015.0,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
1006,AsIF,2015.0,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
1007,AsIF,2015.0,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
1008,Australia,2015.0,0414/0424/0443,0414,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
1009,Australia,2015.0,0414/0424/0443,0424,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
1010,Australia,2015.0,0414/0424/0443,0443,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
1011,Australia,2015.0,0438/0439,0438,46346-002,Ebeye Water Supply and Sanitation
1012,Australia,2015.0,0438/0439,0439,46346-002,Ebeye Water Supply and Sanitation
1013,Australia,2015.0,442,0442,47318-001,Strengthened Fiscal Sustainability Program
1014,"Australia,Australia",2015.0,336,0336,45303-001,Rural EnergyﾗAdditional Financing
1015,"Australia,Australia",2015.0,458,0458,47320-001,Samoa Submarine Cable
1016,"Australia,Australia",2015.0,2686/0226/0425,2686,44304-014,Microfinance Expansion ﾗ Additional Financing
1017,"Australia,Australia",2015.0,2686/0226/0425,0226,44304-014,Microfinance Expansion ﾗ Additional Financing
1018,"Australia,Australia",2015.0,2686/0226/0425,0425,44304-014,Microfinance Expansion ﾗ Additional Financing
1019,"Australia,Australia",2015.0,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1023,CEF-CEFPF,2015.0,2979/8264/0468,2979,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
1024,CEF-CEFPF,2015.0,2979/8264/0468,8264,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
1025,CEF-CEFPF,2015.0,2979/8264/0468,0468,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
1026,CEF-CEFPF,2015.0,3309/0452/0453,3309,46535-001,Strengthening Technical and Vocational Education and Training
1027,CEF-CEFPF,2015.0,3309/0452/0453,0452,46535-001,Strengthening Technical and Vocational Education and Training
1028,CEF-CEFPF,2015.0,3309/0452/0453,0453,46535-001,Strengthening Technical and Vocational Education and Training
1029,CTF,2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1030,CTF,2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1031,CTF,2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1032,CTF,2015.0,3366/8301,3366,49263-001,Northeastern Thailand Wind Power
1033,CTF,2015.0,3366/8301,8301,49263-001,Northeastern Thailand Wind Power
1034,CTF,2015.0,8298,8298,49238-001,Off-Grid Prepaid Solar Leasing
1035,Denmark,2015.0,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1036,Denmark,2015.0,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1037,Denmark,2015.0,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1038,Denmark,2015.0,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1039,Denmark,2015.0,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1040,"U.K.,DFID",2015.0,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
1041,"U.K.,DFID",2015.0,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
1042,"France,DGT",2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1043,"France,DGT",2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1044,"France,DGT",2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1045,EC,2015.0,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1046,EC,2015.0,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1047,EC,2015.0,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1048,EC,2015.0,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1049,EC,2015.0,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
1050,EC,2015.0,0456/0457,0456,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
1051,EC,2015.0,0456/0457,0457,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
1052,EC,2015.0,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
1053,EDB,2015.0,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing
1054,EIB,2015.0,2783/2784,2783,43200-024,Bridge Replacement for Improved Rural Access Sector
1055,EIB,2015.0,2783/2784,2784,43200-024,Bridge Replacement for Improved Rural Access Sector
1059,EIB,2015.0,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
1060,EIB,2015.0,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
1061,EIB,2015.0,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
1062,EIB,2015.0,3348/3349,3348,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
1063,EIB,2015.0,3348/3349,3349,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
1064,EIB,2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1065,EIB,2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1066,EIB,2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1067,France,2015.0,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1068,France,2015.0,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1069,"France,AFD",2015.0,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1073,"France,AFD",2015.0,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
1074,"France,AFD",2015.0,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
1075,"France,AFD",2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1076,"France,AFD",2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1077,"France,AFD",2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1078,"France,DGT",2015.0,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1079,"France,DGT",2015.0,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1080,"France,DGT",2015.0,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
1081,GEF,2015.0,433,0433,40253-035,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
1082,GEF,2015.0,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
1083,GEF,2015.0,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
1084,GEF,2015.0,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
1085,GEF-LDCF,2015.0,3331/3332/0459/0460/0461,3331,49319-001,Cyclone Pam Road Reconstruction Project
1086,GEF-LDCF,2015.0,3331/3332/0459/0460/0461,3332,49319-001,Cyclone Pam Road Reconstruction Project
1087,GEF-LDCF,2015.0,3331/3332/0459/0460/0461,0459,49319-001,Cyclone Pam Road Reconstruction Project
1088,GEF-LDCF,2015.0,3331/3332/0459/0460/0461,0460,49319-001,Cyclone Pam Road Reconstruction Project
1089,GEF-LDCF,2015.0,3331/3332/0459/0460/0461,0461,49319-001,Cyclone Pam Road Reconstruction Project
1090,Germany,2015.0,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1091,Germany,2015.0,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1092,"Germany,KfW",2015.0,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1093,"Germany,KfW",2015.0,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1094,"Germany,KfW",2015.0,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
1095,"Germany,KfW",2015.0,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
1096,"Germany,KfW",2015.0,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
1097,GPE,2015.0,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
1098,HFPF-RMTF,2015.0,2699/0231/0448,2699,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1099,HFPF-RMTF,2015.0,2699/0231/0448,0231,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1100,HFPF-RMTF,2015.0,2699/0231/0448,0448,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1101,HFPF-RMTF,2015.0,2699/0232/0449,2699,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1102,HFPF-RMTF,2015.0,2699/0232/0449,0232,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1103,HFPF-RMTF,2015.0,2699/0232/0449,0449,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1104,HFPF-RMTF,2015.0,2699/0450,2699,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1105,HFPF-RMTF,2015.0,2699/0450,0450,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
1106,"India,Indian Commercial Bank",2015.0,3225/3226,3225,44444-013,Second Green Power Development
1107,"India,Indian Commercial Bank",2015.0,3225/3226,3226,44444-013,Second Green Power Development
1108,"India,Indian Commercial Bank",2015.0,3225/3226,3225,44444-013,Second Green Power Development
1109,"India,Indian Commercial Bank",2015.0,3225/3226,3226,44444-013,Second Green Power Development
1110,IsDB,2015.0,3271,3271,44318-026,Housing for Integrated Rural Development Investment ProgramﾗTranche 3
1111,IsDB,2015.0,3350,3350,42378-017,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3
1112,Japan,2015.0,3186,3186,46268-002,Clean Energy Finance Investment ProgramﾗTranche 1 
1113,Japan,2015.0,9180,9180,49202-001,Disaster Risk Reduction and Livelihood Restoration for Earthquake-Affected Communities
1114,"Japan,JFJCM",2015.0,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1115,"Japan,JFJCM",2015.0,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1116,"Japan,JFJCM",2015.0,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1117,"Japan,JFPR",2015.0,9181,9181,49320-001,Cycone Pam School Reconstruction
1118,"Japan,JFPR",2015.0,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
1119,"Japan,JFPR",2015.0,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
1120,"Japan,JFPR",2015.0,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
1121,"Japan,JFJCM",2015.0,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1122,"Japan,JFJCM",2015.0,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1123,"Japan,JFJCM",2015.0,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1124,"Japan,JFPR",2015.0,9181,9181,49320-001,Cycone Pam School Reconstruction
1125,"Japan,JFPR",2015.0,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
1126,"Japan,JFPR",2015.0,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
1127,"Japan,JFPR",2015.0,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
1128,"Germany,KfW",2015.0,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1129,"Germany,KfW",2015.0,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1130,"Germany,KfW",2015.0,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
1131,"Germany,KfW",2015.0,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
1132,"Germany,KfW",2015.0,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
1133,Korea,2015.0,3047,3047,44213-016,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary)
1134,Kuwait,2015.0,3124/8288,3124,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
1135,Kuwait,2015.0,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
1136,"Netherlands,Netherlands",2015.0,2200/0036/3302/0441,2200,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1137,"Netherlands,Netherlands",2015.0,2200/0036/3302/0441,0036,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1138,"Netherlands,Netherlands",2015.0,2200/0036/3302/0441,3302,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1139,"Netherlands,Netherlands",2015.0,2200/0036/3302/0441,0441,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1140,New Zealand,2015.0,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
1141,New Zealand,2015.0,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
1142,New Zealand,2015.0,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
1143,New Zealand,2015.0,442,0442,47318-001,Strengthened Fiscal Sustainability Program
1144,New Zealand,2015.0,2820/3249/0273/0427,2820,42392-013,Interisland Shipping SupportﾗAdditional Financing
1145,New Zealand,2015.0,2820/3249/0273/0427,3249,42392-013,Interisland Shipping SupportﾗAdditional Financing
1146,New Zealand,2015.0,2820/3249/0273/0427,0273,42392-013,Interisland Shipping SupportﾗAdditional Financing
1147,New Zealand,2015.0,2820/3249/0273/0427,0427,42392-013,Interisland Shipping SupportﾗAdditional Financing
1148,"New Zealand,New Zealand",2015.0,0456/0457,0456,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
1149,"New Zealand,New Zealand",2015.0,0456/0457,0457,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
1151,OFID,2015.0,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
1152,OFID,2015.0,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
1153,OFID,2015.0,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
1154,PriF,2015.0,2718,2718,44281-013,Road Rehabilitation (Supplementary)
1155,P.R.C.,2015.0,3308,3308,47051-002,Chemical Industry Energy Efficiency and Emission Reduction
1156,SCF-PPCR,2015.0,426,0426,40253-033,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
1157,SCF-PPCR,2015.0,447,0447,46495-002,Building Climate Resilience to Climate Change in Papua New Guinea
1158,SCF-PPCR,2015.0,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1162,SCF-PPCR,2015.0,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1166,SCF-PPCR,2015.0,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1167,SCF-PPCR,2015.0,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1168,SCF-PPCR,2015.0,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1169,SCF-PPCR,2015.0,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1170,SCF-PPCR,2015.0,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1171,SCF-PPCR,2015.0,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1172,UCCRTF,2015.0,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
1173,UCCRTF,2015.0,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
1174,UCCRTF,2015.0,3340/0462,3340,43237-013,Urban Environment and Climate Change Adaptation
1175,UCCRTF,2015.0,3340/0462,0462,43237-013,Urban Environment and Climate Change Adaptation
1176,UNICEF,2015.0,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
1177,Uzbekistan,2015.0,3286,3286,41340-015,Advanced Electricity Metering Phase 4
1178,U.K.,2015.0,3121/0434,3121,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
1179,U.K.,2015.0,3121/0434,0434,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
1180,U.K.,2015.0,3197/0435,3197,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
1181,U.K.,2015.0,3197/0435,0435,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
1182,U.K.,2015.0,3300/0440,3300,48402-001,National Motorway M-4 GojraﾖShorkot Section
1183,U.K.,2015.0,3300/0440,0440,48402-001,National Motorway M-4 GojraﾖShorkot Section
1184,"U.K.,DFID",2015.0,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
1185,"U.K.,DFID",2015.0,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
1186,World Bank,2015.0,442,0442,47318-001,Strengthened Fiscal Sustainability Program
1187,World Bank,2015.0,458,0458,47320-001,Samoa Submarine Cable
1188,World Bank,2015.0,2718,2718,44281-013,Road Rehabilitation (Supplementary)
1189,World Bank,2015.0,2718,2718,44281-013,Road Rehabilitation (Supplementary)
1190,World Bank,2015.0,3210,3210,48141-001,Transport Infrastructure Investment Sector
1191,World Bank,2015.0,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
1192,World Bank,2015.0,3279/3280,3279,47137-003,Health Sector Governance Program
1193,World Bank,2015.0,3279/3280,3280,47137-003,Health Sector Governance Program
1194,World Bank,2015.0,3279/3280,3279,47137-003,Health Sector Governance Program
1195,World Bank,2015.0,3279/3280,3280,47137-003,Health Sector Governance Program
1196,World Bank,2015.0,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1197,World Bank,2015.0,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
1198,World Bank,2015.0,3320,3320,44213-017,Secondary Education Sector Investment ProgramﾗTranche 2
1199,World Bank,2015.0,3321/3322,3321,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
1200,World Bank,2015.0,3321/3322,3322,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
1201,World Bank,2015.0,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
1202,World Bank,2015.0,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
1205,"Japan,JICA",2016.0,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1206,"Japan,JICA",2016.0,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1207,"Japan,JICA",2016.0,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1208,"Japan,JICA",2016.0,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1209,,2016.0,3369,3369,43407-014,Social Protection Support - Additional Financing
