,type,approval number,country,year,title,status
468,TA,4106,IND,2003,KERALA SUSTAINABLE URBAN DEVELOPMENT (UK),FIN COMPL
469,TA,4108,LAO,2003,INTGRTING POOR IN REGL TRADE THRU STDRD SETTING FOR PRIV SECTOR DEVT,FIN COMPL
470,TA,4110,SRI,2003,COMMUNITY INFORMATION SERVICES FOR THE POOR,FIN COMPL
471,TA,4124,INO,2003,SUSTAINABLE SOCIAL PROTECTION (TASF/DFID),FIN COMPL
472,TA,4128,IND,2003,"BUDGET PROCEDURE REFORM,COMPUTERIZATION & EXPENDITURE MNGMNT (ASSAM)",FIN COMPL
473,TA,4131,CAM,2003,PREVTG POVRTY & EMPWRING FEMALE WORKRS AFFCTD BY CHANGING INTL TRADE,FIN COMPL
474,TA,4137,INO,2003,CARBON SEQUESTRATION THROUGH THE CLEAN DEVELOPMENT MECHANISM (CCFCC),FIN COMPL
475,TA,4140,BAN,2003,SUPPORTING GOOD GOVERNANCE INITIATIVES,FIN COMPL
476,TA,4142,PRC,2003,PREVENTING HIV/AIDS ON ROAD PROJECTS IN YUNNAN PROVINCES,FIN COMPL
477,TA,4148,INO,2003,SUSTAINABLE AQUACULTURE DEVT FOR FOOD SECURITY AND POVERTY REDUCTION,FIN COMPL
478,TA,4150,IND,2003,ASSAM GOVERNANCE AND PUBLIC RESOURCE MANAGEMENT PROGRAM,FIN COMPL
479,TA,4153,IND,2003,ADMINISTRATION OF JUSTICE,FIN COMPL
480,TA,4158,PRC,2003,PARTICIPATORY POVERTY REDUCTION PLANNING FOR SMALL MINORITIES (CFPR),CANCELLED
481,TA,4159,INO,2003,"FLOOD MANAGEMENT IN SELECTED RIVER BASINS (TASF, NETH)",FIN COMPL
482,TA,4161,INO,2003,"STR CIVIL SOCIETY PARTCPTN IN THE DESIGN,IMPLEM,&MONITORING OF ADB PRJ",CANCELLED
483,TA,4163,VIE,2003,PROVINCIAL DEVELOPMENT PLANNING IN THE CENTRAL HIGHLANDS (GCF),FIN COMPL
484,TA,4169,CAM,2003,CAP BLDG OF ELECTRICITY AUTHORITY OF CAMBODIA (GCF),FIN COMPL
485,TA,4173,UZB,2003,OFF-GRID RENEWABLE ENERGY DEVELOPMENT (GOVT OF DENMARK),FIN COMPL
486,TA,4174,PHI,2003,REHAB OF RENEWBL ENRGY PROJ FOR RURAL ELECTRFCTN & LIVELIHOOD DEVT,FIN COMPL
487,TA,4176,INO,2003,SUPPORT FOR THE DEVT OF A POVERTY REDCTN STRAT TOWARDS ACHIEVING MDGS,FIN COMPL
488,TA,4182,IND,2003,URBAN CLEAN FUEL PROJECT (GOVT OF UK),FIN COMPL
489,TA,4183,PAK,2003,PUNJAB DEVOLVED SOCIAL SERVICES SECTOR DEVELOPMENT PROGRAM,FIN COMPL
490,TA,4190,KAZ,2003,SUPPORTING LOCAL GOVERNMENT REFORMS,FIN COMPL
491,TA,4191,KAZ,2003,STRENGTHENING GOVERNMENT PROGRAM PERFORMANCE,FIN COMPL
492,TA,4192,IND,2003,AGRIBUSINESS AND COMMERCIAL AGRICULTURE ASSESSMENT,FIN COMPL
493,TA,4193,PAK,2003,INDUSTRIAL ENVIRONMENTAL MANAGEMENT CAPACITY BUILDING,CANCELLED
494,TA,4197,CAM,2003,TONLE SAP SUSTAINABLE LIVELIHOODS PROJECT,FIN COMPL
495,TA,4200,PRC,2003,A FUND FOR STRATEGIC POLICY CONFERENCES AND STUDIES FOR POVERTY REDN,FIN COMPL
496,TA,4205,VIE,2003,EARLY CHILDHOOD DEVELOPMENT FOR THE POOR,FIN COMPL
497,TA,4207,PAK,2003,SUPPORT TO IMPLEMENTATION OF DECENTRALIZATION II,FIN COMPL
498,TA,4215,PRC,2003,SAFE DRINKING WATER AND SANITATION FOR THE RURAL POOR (PRCF),FIN COMPL
499,TA,4216,IND,2003,CHHATTISGARH IRRIGATION DEVELOPMENT SECTOR (UK),FIN COMPL
500,TA,4220,IND,2003,L/TA: RURAL ROADS SECTOR II,FIN COMPL
501,TA,4222,PRC,2003,"POLICY STUDY ON PVRTY REDN PROG OF PRC-TRENDS,CHALLENGES,FUTURE DIRCTN",FIN COMPL
502,TA,4226,IND,2003,PENSION REFORMS FOR THE UNORGANIZED SECTOR,FIN COMPL
503,TA,4230,PAK,2003,BALOCHISTAN RESOURCE MANAGEMENT PROGRAM,FIN COMPL
504,TA,4231,TAJ,2003,INSTITUTIONL DEVT FOR IMPROVED ENVIRONMENTAL STRATEGIC PLANNING/POLICY,FIN COMPL
505,TA,4241,IND,2003,L/TA-REORGANIZATION OF ASSAM STATE ELECTRICITY BOARD (ASEB) (DFID),FIN COMPL
506,TA,4242,IND,2003,L/TA-INSTITUTIONAL DEVELOPMENT FOR RURAL ELECTRIFICATION (DFID),FIN COMPL
507,TA,4243,IND,2003,L/TA-POLICY AND LEGAL SUPPORT FOR POWER SECTOR REFORM (DFID FINANCED),FIN COMPL
508,TA,4247,IND,2003,RURAL FINANCE SECTOR RESTRUCTURING AND DEVELOPMENT PROJECT(GOVT OF UK),FIN COMPL
509,TA,4252,VIE,2003,SUPPORT TO POVERTY REDUCTION ACTIVITIES IN VIET NAM,FIN COMPL
510,TA,4258,FSM,2003,STRENTHENING OF PUBLIC SECTOR MANAGEMENT & ADMINISTRATION (US),FIN COMPL
511,TA,4259,NEP,2003,STRENTHENING SELECTED RURAL FINANCIAL INSTITUTIONS (GERMANY),FIN COMPL
512,TA,4263,IND,2003,CAPACITY BUILDING FOR TAX ADMINISTRATION (UK),FIN COMPL
513,TA,4276,VIE,2003,DEVELOPING THE SOCIAL SECURITY SYSTEM (PRCF),FIN COMPL
514,TA,4277,PAK,2003,SUPPORT FOR POVERTY REDUCTION INITIATIVES IN PAKISTAN (NPRS PRF TASF),FIN COMPL
515,TA,4278,SRI,2003,POVERTY ASSESSMENT AND INFORMATION MANAGEMENT (NPRS),FIN COMPL
516,TA,4279,LAO,2003,ADVISORY ASSISTANCE ON SME AND PRIVATE SECTOR DEVELOPMENT,FIN COMPL
517,TA,4281,INO,2003,PROVINCIAL SMALL & MEDIUM INDUSTRIAL SECTOR DEVELOPMENT PROGRAM (UK),FIN COMPL
518,TA,4283,CAM,2003,PARTICIPATORY POVERTY ASSESSMENT OF THE TONLE SAP (PRCF),FIN COMPL
519,TA,4286,INO,2003,LOCAL GRIDS DEVELOPMENT PROJECT (UK),FIN COMPL
520,TA,4293,PHI,2003,L/TA: CAPACITY BUILDING FOR HOUSING MICROFINANCE,FIN COMPL
521,TA,4297,IND,2003,CAPACITY BUILDING FOR FISCAL REFORMS IN SIKKIM (UK),FIN COMPL
522,TA,4298,PRC,2003,CAP STRNGG OF PRC'S NATIONAL DEVELOPMENT PLANNING SERVICES (PRCF),FIN COMPL
523,TA,4303,BAN,2003,STRENGTHENING CAPACITIES FOR POVERTY MONITORING AND EVALUATION,FIN COMPL
524,TA,4307,PRC,2003,POVERTY REDUCTION IN KEY FORESTRY CONSERVATION PROGRAMS,FIN COMPL
525,TA,4308,PRC,2003,POVERTY REDUCTION IN GRASSLAND IMPROVEMENT PROGRAM (PRCF),FIN COMPL
526,TA,4309,PRC,2003,RENEWABLE ENERGY FOR POVERTY REDUCTION (DENMARK),FIN COMPL
527,TA,4319,PAK,2004,DETERMINNTS & DRIVERS OF POVRTY REDCTN & ADB'S CONTRIBTN IN RURAL PAK,FIN COMPL
528,TA,4320,BAN,2004,SOCIAL PROTECTION OF POOR FEMALE WORKERS IN THE GARMENT SECTOR IN THE,FIN COMPL
529,TA,4322,PRC,2004,POVERTY IMPACT OF AREA-WIDE ROAD NETWORKS (PRCF),FIN COMPL
530,TA,4324,PRC,2004,HUNAN FLOOD MANAGEMENT (GOVT OF SPAIN),FIN COMPL
531,TA,4327,PRC,2004,FLOOD MANAGEMENT STRATEGY STUDY,FIN COMPL
532,TA,4331,VIE,2004,SUPPORT FOR PRO-POOR HEALTH POLICIES,FIN COMPL
533,TA,4333,INO,2004,GAS GENERATION FROM WASTE (CANADIAN COOP FUND ON CLIMATE CHANGE),FIN COMPL
534,TA,4335,PRC,2004,TOWN-BASED URBANIZATION STRATEGY STUDY (GOVT OF SPAIN),FIN COMPL
535,TA,4339,LAO,2004,"STUDY OF GENDER INEQUALITY IN WOMEN'S ACCESS TO LAND, FORESTS & WATER",FIN COMPL
536,TA,4348,IND,2004,NORTH EASTERN REGION URBAN DEVELOPMENT (GOVT OF UK),FIN COMPL
537,TA,4353,NEP,2004,PROMOTING PRO POOR AND GENDER RESPONSIVE SERVICE,FIN COMPL
538,TA,4366,INO,2004,PARTICIPATORY APPROACHES TO SHELTER PROVISION (FINANCED BY GOVT OF UK),FIN COMPL
539,TA,4367,PAK,2004,BALOCHISTAN RURAL DEVELOPMENT AND DROUGHT MITIGATION PROJECT,FIN COMPL
540,TA,4368,INO,2004,FINANCING INTERGRATED SETTLEMENTS DEVELOPMENT PROJECT,FIN COMPL
541,TA,4369,VIE,2004,UPPER SECONDARY AND PROFESSIONAL TEACHER DEVELOPMENT PROJECT,FIN COMPL
542,TA,4370,IND,2004,WEST BENGAL DEVELOPMENT FINANCE,FIN COMPL
543,TA,4373,INO,2004,INTEGRATED COASTAL FISHERIES RESOURCE MANAGEMENT PROJECT,FIN COMPL
544,TA,4376,CAM,2004,CAPACITY BUILDING FOR THE TONLE SAP POVERTY REDUCTION INITIATIVE,FIN COMPL
545,TA,4378,IND,2004,NORTH EASTERN STATE ROADS,FIN COMPL
546,TA,4381,INO,2004,INTEGRATED CITARUM WATER RESOURCES MANAGEMENT (PART B),FIN COMPL
547,TA,4383,MON,2004,PARTICIPATORY POVERTY ASSESSMENT AND MONITORING,FIN COMPL
548,TA,4388,PNG,2004,STRENGTHENING THE CAPACITY OF THE PARLIAMENTARY ACCOUNTS COMMITTEE,CANCELLED
549,TA,4391,INO,2004,BASIC EDUCATION SECTOR CAPACITY SUPPORT PROGRAM (BESCSP),FIN COMPL
550,TA,4392,LAO,2004,MARKETING SUPPORT FOR ORGANIC PRODUCE OF ETHNIC MINORITIES,FIN COMPL
551,TA,4393,MON,2004,ESTABLISHING AN EFFECTIVE ANTI-MONEY LAUNDERING REGIME,FIN COMPL
552,TA,4401,PRC,2004,RURAL INCOME AND SUSTAINABLE DEVELOPMENT,FIN COMPL
553,TA,4402,PRC,2004,HEATING SUPPLY FOR URBAN POOR IN LIAONING PROVINCE,FIN COMPL
554,TA,4405,KGZ,2004,THE STUDY ON PRICING SYSTEMS & COST-RECOVERY MECHANISMS FOR IRRIGATION,FIN COMPL
555,TA,4406,LAO,2004,CAPACITY BUILDING FOR SMALLHOLDER LIVESTOCK SYSTEMS,FIN COMPL
556,TA,4407,IND,2004,AGRIBUSINESS DEVELOPMENT SUPPORT,FIN COMPL
557,TA,4408,KGZ,2004,"STUDY OF IMPACT OF LAND REFORM ON AGRICULTR, POVRTY REDUCTN, & ENVIRON",FIN COMPL
558,TA,4411,INO,2004,WATER SUPPLY AND SANITATION,FIN COMPL
559,TA,4412,BHU,2004,SMALL AND MEDIUM ENTERPRISE DEVELOPMENT,FIN COMPL
560,TA,4414,PAK,2004,NON-FORMAL PRIMARY EDUC & FUNCTIONAL LITERACY FOR RURAL WOMEN IN SBAP,FIN COMPL
561,TA,4415,AFG,2004,KABUL AIR QUALITY MANAGEMENT,FIN COMPL
562,TA,4418,VIE,2004,CAPACITY BUILDING FOR SMALL AND MEDIUM-SIZED ENTERPRISE DEVELOPMENT,FIN COMPL
563,TA,4420,AFG,2004,WESTERN BASINS WATER RESOURCES MGT & IRRIGATED AGRICULTURE DEVT,FIN COMPL
564,TA,4421,SRI,2004,IMPLEMENTING PRODUCTS & SERVICES FOR THE DOMESTC DEBT MRKT (TACLUSTER),FIN COMPL
565,TA,4423,TAJ,2004,DEVT OF COMMUNITY BASED MICRO-HYDROPOWER SUPPLY IN REMOTE RURAL AREAS,FIN COMPL
566,TA,4428,CAM,2004,STRENGTHENING NATIONAL PROGRAM BUDGETING FOR THE AGRICULTURE SECTOR,FIN COMPL
567,TA,4430,PRC,2004,RURAL FINANCE REFORMS & DEVELOPMENT OF MICROFINANCE INSTITUTIONS,FIN COMPL
568,TA,4434,LAO,2004,"POVERTY REDUCTN THRU LAND TENURE CONSOLIDATN, PARTCPATRY NR MGT & LCSB",FIN COMPL
569,TA,4437,IND,2004,PREPARING THE ADMINISTRATION OF JUSTICE PROJECT,FIN COMPL
570,TA,4442,SRI,2004,PSYCHOSOCIAL HEALTH IN CONFLICT-AFFECTED AREAS,FIN COMPL
571,TA,4443,PAK,2004,MOBILIZATN OF GRASSROOTS STAKEHOLDRS FOR PRO-POOR SOCIAL SERVC DELIVRY,CANCELLED
572,TA,4448,IND,2004,PREPARING SMALL & MEDIUM ENTERPRISE FINANCE SECTOR DEVELOPMENT PROJECT,CANCELLED
573,TA,4452,VIE,2004,GENDER MAINSTREAMING ACTION PLAN FOR AGRICULTURE & RURAL DEVELOPMENT,FIN COMPL
574,TA,4453,VIE,2004,SUPPORTING THE PREPARATION OF THE LAW ON GENDER EQUALITY,FIN COMPL
575,TA,4454,PRC,2004,DEVELOPING A POVERTY MONITORING SYSTEM AT THE COUNTRY LEVEL (PRCF),FIN COMPL
576,TA,4457,VAN,2004,SECURED TRANSACTIONS REFORMS,FIN COMPL
577,TA,4458,RMI,2004,INCREASING OWNERSHIP & EFFECTIVE DEMAND FOR IMPROVED EDUCATION (GCF),FIN COMPL
578,TA,4459,CAM,2004,IMPLEMENTATION OF ACTION PLAN FOR GENDER MAINSTREAMING IN AGRI SECTOR,FIN COMPL
579,TA,4461,AFG,2004,POVERTY REDUCTION & RURAL RENEWABLE ENERGY DEVELOPMENT (PRCF),FIN COMPL
580,TA,4467,VIE,2004,CAPACITY BUILDING SUPPORT TO GOVERNMENT INSPECTORATE OF VIET NAM (GCF),FIN COMPL
581,TA,4473,INO,2004,L/TA: SUPPORT FOR THE IMPLEMENTATION OF THE STATE AUDIT REFORM PROGRAM,FIN COMPL
582,TA,4474,INO,2004,L/TA: SUPPORT FOR THE IMPLEMENTATION OF THE STATE AUDIT REFORM INVEST,FIN COMPL
583,TA,4476,CAM,2004,L/TA: SMALL & MEDIUM ENTERPRISE DEVELOPMENT,FIN COMPL
584,TA,4479,INO,2004,GENDER RESPONSIVE PUBLIC POLICY & ADMINISTRATION,FIN COMPL
585,TA,4480,VIE,2004,DEVELOPING AGRICULTURAL INSURANCE (PRCF),FIN COMPL
586,TA,4481,LAO,2004,INTEGRATING THE POOR IN REGL TRADE THRU INDUSTRIAL STD DEVT-PHASE II,CANCELLED
587,TA,4482,SOL,2004,STATE-OWNED ENTERPRISE REFORMS & PRIVATE SECTOR PARTICIPATION,FIN COMPL
588,TA,4483,AFG,2004,CAPACITY BUILDING IN LAND POLICY & ADMINISTRATION REFORM,FIN COMPL
589,TA,4496,IND,2004,CAPACITY BUILDING FOR CLEAN DEVELOPMENT MECHANISM,FIN COMPL
590,TA,4497,IND,2004,CAPACITY BUILDING FOR MUNICIPAL SERVICE DELIVERY IN KERALA,FIN COMPL
591,TA,4500,PAK,2004,CAPACITY BUILDING OF THE ALTERNATIVE ENERGY DEVELOPMENT BOARD,FIN COMPL
592,TA,4504,PAK,2004,PUNJAB DEVOLVED SOCIAL SERVICES PROGRAM,FIN COMPL
593,TA,4515,IND,2004,L/TA: PREPARATN OF JAMMU & KASHMIR URBAN INFRASTRUCTR DEVT PROJ (DFID),FIN COMPL
594,TA,4524,PHI,2004,DEVT OF BASIC EDUCATION IN THE AUTONOMOUS REGION IN MUSLIM MINDANAO,FIN COMPL
595,TA,4527,SOL,2004,DIAGNOSTIC ASSESSMENT OF INTERISLAND TRANSPORT,FIN COMPL
596,TA,4534,PAK,2004,SINDH BASIC URBAN SERVICES (JSF),FIN COMPL
597,TA,4537,PAK,2004,IMPLEMENTING PUBLIC SAFETY REFORMS IN 4 DISTRICTS OF PROV OF PUNJAB,FIN COMPL
598,TA,4538,PAK,2004,IMPROVING GOVERNANCE IN THE NONPROFIT SECTOR OF PAKISTAN,FIN COMPL
599,TA,4541,AFG,2004,NATURAL RESOURCES MANAGEMENT & POVERTY REDUCTION,FIN COMPL
600,TA,4544,PHI,2004,ENHANCING ACCESS OF THE POOR TO MICROFINANCE SERVCES IN FRONTIER AREAS,FIN COMPL
601,TA,4546,TAJ,2004,IMPROVING AID COORDINATION AND PORTFOLIO MANAGEMENT,FIN COMPL
602,TA,4547,INO,2004,MADRASAH EDUCATION DEVELOPMENT (COFINANCED BY THE GOVT OF AUSTRALIA),FIN COMPL
603,TA,4550,INO,2004,DEVELOPMENT OF AN ANTI-MONEY-LAUNDERING REGIME II,FIN COMPL
604,TA,4554,INO,2004,ANALYSIS & DISSEMINATN OF LESSONS FR POVRTY REDUCTN PRGRM FOR LOC GOVT,FIN COMPL
605,TA,4562,BAN,2005,L/TA: EARLY WARNING SYSTEMS STUDY,FIN COMPL
606,TA,4564,THA,2005,PREPARING A DEVELOPMENT PLAN FOR THE TSUNAMI AFFECTED ANDAMAN REGION,FIN COMPL
607,TA,4566,PRC,2005,POVERTY REDUCTION IN COAL MINE AREAS IN SHANXI PROVINCE (PRCF),FIN COMPL
608,TA,4567,SRI,2005,SRI-LANKA POST TSUNAMI NEEDS ASSESS & PREP FR EMRGNCY ASSIST IMPL STRA,FIN COMPL
609,TA,4568,BAN,2005,SSTA FOR 2ND URBAN PRIMARY HEALTH CARE PROJECT BRIDGING SUPPORT (DFID),FIN COMPL
610,TA,4569,IND,2005,STUDY ON DEV OF AGCY TO FACILTATE ISSUANCE OF RESIDENTL MORT-BACKD SEC,FIN COMPL
611,TA,4573,IND,2005,L/TA: WATER USERS ASSN EMPWRMNT FOR IMPRVD IRRIGATN MGT IN CHHATTISGAR,FIN COMPL
612,TA,4574,CAM,2005,COMMUNITY SELF-RELIANCE & FLOOD RISK REDUCTION (PRCF),FIN COMPL
613,TA,4575,CAM,2005,CAMBODIA BUSINESS INITIATIVE IN RURAL DEVELOPMENT (PRCF),FIN COMPL
614,TA,4580,PRC,2005,NON-GOVT ORG-GOVT PARTNERSHIPS IN VILLAGE-LEVEL POVERTY ALLEVIATION,FIN COMPL
615,TA,4586,PRC,2005,GUIYANG INTEGRATED WATER RESOURCES MANAGEMENT,FIN COMPL
616,TA,4590,NAU,2005,REFORM OF THE NAURU PHOSPHATE CORPORATION,FIN COMPL
617,TA,4591,MLD,2005,DEVELOPING A RESULTS-ORIENTED 7TH NATIONAL DEVELOPMENT PLAN,FIN COMPL
618,TA,4595,THA,2005,SUPPORTING POST-TSUNAMI ACTIVITIES & COASTAL ZONE MANAGEMENT (ATF),FIN COMPL
619,TA,4597,THA,2005,PROMOTING INTL COOP ON ANTI-MONEY LAUNDERING & COMBATING FIN OF TERROR,FIN COMPL
620,TA,4598,TAJ,2005,RURAL DEVELOPMENT PROJECT,FIN COMPL
621,TA,4601,PHI,2005,STRENGTHENING THE ANTI-MONEY LAUNDERING REGIME (PHASE II) (RTFSI),FIN COMPL
622,TA,4602,PAK,2005,SUPPORT TO IMPLEMENTATION OF GENDER REFORM ACTION PLANS,FIN COMPL
623,TA,4603,VIE,2005,STRATEGIC SECONDARY EDUCATION PLANNING & COOPERATION,FIN COMPL
624,TA,4604,PRC,2005,NANJING WATER UTILITY LONG-TERM CAPITAL FINANCE IN COMMERCIAL MARKETS,FIN COMPL
625,TA,4612,VIE,2005,RESULTS-BASED MONITORING OF POVERTY REDUCTION & GROWTH,FIN COMPL
626,TA,4613,THA,2005,SUBREGIONAL DEVELOPMENT PLAN FOR THE TSUNAMI-AFFECTED ANDAMAN REGION,FIN COMPL
627,TA,4614,MLD,2005,PROMOTING SOUND ENVIRONMENTAL MGT IN THE AFTERMATH OF TSUNAMI DISASTER,FIN COMPL
628,TA,4616,PHI,2005,METRO MANILA URBAN SERVICES FOR THE POOR,FIN COMPL
629,TA,4624,LAO,2005,CAP DEV FOR MONITORING DEVT RESULTS OF NATL GROWTH & POVERTY ERADICATN,CANCELLED
630,TA,4625,VIE,2005,SONG BUNG 4 HYDROPOWER PHASE II,FIN COMPL
631,TA,4627,LAO,2005,PUBLIC EXPENDITURE PLANNING FOR NATL GROWTH & POVERTY ERADICATN STRAT,FIN COMPL
632,TA,4629,PRC,2005,INTEGRATED ECOSYSTEM MGT & ENVIRONMENTAL PROTECTN OF BAIYANGDIAN LAKE,FIN COMPL
633,TA,4632,MON,2005,URBAN DEVELOPMENT & HOUSING,FIN COMPL
634,TA,4637,AFG,2005,CAPACITY BUILDING FOR ECONOMIC MANAGEMENT,FIN COMPL
635,TA,4638,VIE,2005,IMPLEMENTING THE REGULATORY & SUPERVISORY FRAMEWORK FOR MICROFINANCE,FIN COMPL
636,TA,4640,PRC,2005,NINGXIA YINCHUAN INTEGRATED ECOSYSTEM MANAGEMENT,FIN COMPL
637,TA,4642,PAK,2005,PUNJAB IRRIGATED AGRICULTURE DEVELOPMENT SECTOR,FIN COMPL
638,TA,4644,VIE,2005,SUPPORT TO THUA THIEN HUE & QUANG TRI PROV FOR FORMULATING SUST PR&GP,FIN COMPL
639,TA,4645,CAM,2005,RESTRUCTURING OF THE RAILWAY IN CAMBODIA,FIN COMPL
640,TA,4649,PRC,2005,ALTERNATIVE ENERGY SUPPLY FOR RURAL POOR IN REMOTE AREAS (PRCF),FIN COMPL
641,TA,4651,BAN,2005,DHAKA WATER SUPPLY,FIN COMPL
642,TA,4653,RMI,2005,INCREASING OWNERSHIP OF & EFFECTIVE DEMAND FOR IMPROVD URBAN WASTE MGT,FIN COMPL
643,TA,4661,TAJ,2005,LOCAL GOVERNMENT FINANCE CAPACITY BUILDING,FIN COMPL
644,TA,4664,TAJ,2005,FARM ANALYSIS & AWARENESS-RAISING FOR DEBT RESOLUTION,FIN COMPL
645,TA,4669,CAM,2005,STUDY OF THE INFLUENCE OF BUILT STRUCTURES ON FISHERIES OF TONLE SAP,FIN COMPL
646,TA,4677,CAM,2005,FINANCIAL SECTOR BLUEPRINT UPDATE,FIN COMPL
647,TA,4678,IND,2005,NORTH EASTERN REGION URBAN DEVELOPMENT (PHASE II) PROJECT,FIN COMPL
648,TA,4679,VIE,2005,CAP BLDG SPPRT TO DAK NONG PROV FOR IMPRVNG POVRTY RDCTION & GRWTH PER,FIN COMPL
649,TA,4680,PRC,2005,ALTERNATIVE LIVELIHOOD OPTIONS TO FACILITATE COAL SECTOR RESTRUCTURING,FIN COMPL
650,TA,4689,VIE,2005,DVLPNG BEN SHARNG MECHANSMS FOR PEOPLE ADVERSLY AFFCTD BY PWR GEN PJT,FIN COMPL
651,TA,4690,VIE,2005,STRNGTHEN INST CAP OF LOCL STKEHOLDRS FOR IMPLMTN OF SON LA LIVLHD,FIN COMPL
652,TA,4692,IND,2005,INTEGRATED COASTAL MANAGEMENT AND RELATED INVESTMENT DEVELOPMENT,FIN COMPL
653,TA,4694,PRC,2005,URBAN POVERTY STRATEGY STUDY II,FIN COMPL
654,TA,4698,PRC,2005,ROAD SAFETY IMPROVEMENT,FIN COMPL
655,TA,4700,SOL,2005,SUPPORTING BUSINESS LAW REFORM,FIN COMPL
656,TA,4707,BAN,2005,PARTICIPATION OF THE URBAN POOR IN MUNICIPAL GOVERNANCE,FIN COMPL
657,TA,4709,UZB,2005,RURAL RENEWABLE ENERGY DEVELOPMENT PROJECT,FIN COMPL
658,TA,4711,VIE,2005,IMPLEMENTATION OF THE ENVIROMENTL MGT PLAN FOR THE SON LA HYDROPOWR PJ,FIN COMPL
659,TA,4713,VIE,2005,CAP BLDG IN THE STRATEGIC ENVIROMENTL ASSESSMNT OF THE HYDROPOWER SCTR,FIN COMPL
660,TA,4714,VIE,2005,"AIR POLLUTION, POVERTY AND HEALTH EFFECTS IN HO CHI MINH SITY",FIN COMPL
661,TA,4721,PRC,2005,SHAANXI-QINLING MOUNTAINS INTEGRATED ECOSYSTEM MANAGEMENT PROJECT,FIN COMPL
662,TA,4726,AZE,2005,RENEWABLE ENERGY DEVELOPMENT PROJECT,FIN COMPL
663,TA,4740,BAN,2005,SECOND COMMAND AREA DEVELOPMENT PROJECT,FIN COMPL
664,TA,4754,NEP,2005,PREPARING THE EDUCATION SECTOR DEVELOPING PROGRAM I,FIN COMPL
665,TA,4755,CAM,2005,DEVELOPING DEPOSIT SERVICES IN RURAL CAMBODIA,FIN COMPL
666,TA,4759,NEP,2005,REACHING THE MOST DISADVANTAGED GROUPS IN MAINSTREAM RURAL DEVELOPMENT,FIN COMPL
667,TA,4760,NEP,2006,ENHANCING POVERTY REDUCTION IMPACT OF ROAD PROJECTS,FIN COMPL
668,TA,4761,SRI,2006,MICROINSURANCE SECTOR DEVELOPMENT,FIN COMPL
669,TA,4762,INO,2006,PRO-POOR PLANNING AND BUDGETING,FIN COMPL
670,TA,4763,INO,2006,METROPOLITAN SANITATION MANAGEMENT AND HEALTH PROJECT (JSF),FIN COMPL
671,TA,4765,NEP,2006,OPERATIONALIZATION OF MANAGING FOR DEVELOPMENT RESULTS,FIN COMPL
672,TA,4766,BHU,2006,ACCELARATED RURAL ELECTRIFICATION,FIN COMPL
673,TA,4767,NEP,2006,CAPACITY BUILDING FOR GENDER EQUALITY AND EMPOWERMENT OF WOMEN,FIN COMPL
674,TA,4770,LAO,2006,PROMOTING GOVERNANCE IN FINANCIAL TRANSACTIONS,FIN COMPL
675,TA,4774,NEP,2006,ECONOMIC AND SOCIAL INCLUSION OF THE DISADVANTAGED POOR THROUGH MIS,FIN COMPL
676,TA,4776,NEP,2006,ENABLING THE PS TO UNDERTAKE POVERTY-FOCUSED WATER DISTRIBUTION & STRN,FIN COMPL
677,TA,4777,CAM,2006,DORMITORIES AND LEARNING CENTERS FOR SECONDARY SCHOOLGIRLS,FIN COMPL
678,TA,4779,IND,2006,PRJT IMPLEMENTATION & URBAN MGT IMPROVEMENT IN THE NER (PHASE 1),FIN COMPL
679,TA,4780,IND,2006,KNOWLEDGE MANAGEMENT AND CAPACITY BUILDING,FIN COMPL
680,TA,4787,LAO,2006,SSTA FOR REVITALIZING COMMUNITY DEMAND FOR IMMUNIZATION,FIN COMPL
681,TA,4791,SAM,2006,POWER SECTOR EXPANSION PROGRAM,FIN COMPL
682,TA,4798,PNG,2006,"DEMOGRAPHIC AND HEALTH SURVEY IN PNG (JSF, AUS, NZL)",FIN COMPL
683,TA,4801,KGZ,2006,DEVELOPMENT OF A MONITORING AND EVALUATION SYSTEM AT OBLAST LEVEL,FIN COMPL
684,TA,4813,PRC,2006,STRENGTHENING FLOOD MANAGEMENT SUSTAINABILITY IN HUNAN PROVINCE,FIN COMPL
685,TA,4814,IND,2006,PROJ PROC & CAPACITY DEVT,FIN COMPL
686,TA,4815,IND,2006,ORISSA INTEGRATED IRRIGATED AGRICULTURE AND WATER MANAGEMENT PROJECT,FIN COMPL
687,TA,4819,PRC,2006,ENERGY CONSERVATION AND RESOURCE MANAGEMENT,FIN COMPL
688,TA,4820,UZB,2006,IMPLEMENTATION & MONITORING OF POLICY REFORMS IN THE AGRICULTURE SECTR,FIN COMPL
689,TA,4827,LAO,2006,INSTITUTIONAL STRENGTHENING FOR RURAL FINANCE,FIN COMPL
690,TA,4848,CAM,2006,WATER RESOURCES MANAGEMENT (SECTOR) PROJECT,FIN COMPL
691,TA,4853,SRI,2006,SMALL TOWNS & RURAL ARID AREAS WATER SUPPLY AND SANITATION,FIN COMPL
692,TA,4859,VIE,2006,CAP BLDG FOR FOREST LIVELIHOOD IMPROVEMENT IN THE CENTRAL HIGHLANDS,ACTIVE
693,TA,4860,TAJ,2006,STRENGTHENING RESULTS MANAGEMENT IN SUPPORT OF PR IN TAJIKISTAN,FIN COMPL
694,TA,4862,VIE,2006,HO CHI MINH CITY METRO RAIL SYSTEM PROJECT,FIN COMPL
